"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/27/2018 16:19:20:159 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","oii"
"true","10","false","false","0","105","false","false","true","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","279","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","254","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","252","0","true",,,,,,,,,,,,
"4","3","0","true",,,,,,,,,,,,
"5","248","0","true",,,,,,,,,,,,
"6","5","0","true",,,,,,,,,,,,
"7","246","0","true",,,,,,,,,,,,
"8","3","0","true",,,,,,,,,,,,
"9","248","0","true",,,,,,,,,,,,
"10","9","0","true",,,,,,,,,,,,
"11","242","0","true",,,,,,,,,,,,
"12","5","0","true",,,,,,,,,,,,
"13","242","0","true",,,,,,,,,,,,
"14","11","0","true",,,,,,,,,,,,
"15","236","0","true",,,,,,,,,,,,
"16","3","0","true",,,,,,,,,,,,
"17","248","0","true",,,,,,,,,,,,
"18","9","0","true",,,,,,,,,,,,
"19","242","0","true",,,,,,,,,,,,
"20","9","0","true",,,,,,,,,,,,
"21","230","0","true",,,,,,,,,,,,
"22","15","0","true",,,,,,,,,,,,
"23","224","0","true",,,,,,,,,,,,
"24","5","0","true",,,,,,,,,,,,
"25","242","0","true",,,,,,,,,,,,
"26","15","0","true",,,,,,,,,,,,
"27","232","0","true",,,,,,,,,,,,
"28","11","0","true",,,,,,,,,,,,
"29","224","0","true",,,,,,,,,,,,
"30","21","0","true",,,,,,,,,,,,
"31","214","0","true",,,,,,,,,,,,
"32","3","0","true",,,,,,,,,,,,
"33","248","0","true",,,,,,,,,,,,
"34","9","0","true",,,,,,,,,,,,
"35","242","0","true",,,,,,,,,,,,
"36","9","0","true",,,,,,,,,,,,
"37","230","0","true",,,,,,,,,,,,
"38","15","0","true",,,,,,,,,,,,
"39","224","0","true",,,,,,,,,,,,
