"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/27/2018 13:08:15:573 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","oii"
"true","10","false","false","0","109","false","true","true","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","281","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","255","0","true",,,,,,,,,,,,
"2","5","0","true",,,,,,,,,,,,
"3","252","0","true",,,,,,,,,,,,
"4","7","0","true",,,,,,,,,,,,
"5","253","0","true",,,,,,,,,,,,
"6","10","0","true",,,,,,,,,,,,
"7","247","0","true",,,,,,,,,,,,
"8","13","0","true",,,,,,,,,,,,
"9","250","0","true",,,,,,,,,,,,
"10","13","0","true",,,,,,,,,,,,
"11","245","0","true",,,,,,,,,,,,
"12","18","0","true",,,,,,,,,,,,
"13","245","0","true",,,,,,,,,,,,
"14","19","0","true",,,,,,,,,,,,
"15","242","0","true",,,,,,,,,,,,
"16","21","0","true",,,,,,,,,,,,
"17","243","0","true",,,,,,,,,,,,
"18","24","0","true",,,,,,,,,,,,
"19","237","0","true",,,,,,,,,,,,
"20","27","0","true",,,,,,,,,,,,
"21","240","0","true",,,,,,,,,,,,
"22","27","0","true",,,,,,,,,,,,
"23","235","0","true",,,,,,,,,,,,
"24","32","0","true",,,,,,,,,,,,
"25","235","0","true",,,,,,,,,,,,
"26","33","0","true",,,,,,,,,,,,
"27","232","0","true",,,,,,,,,,,,
"28","35","0","true",,,,,,,,,,,,
"29","233","0","true",,,,,,,,,,,,
"30","38","0","true",,,,,,,,,,,,
"31","227","0","true",,,,,,,,,,,,
"32","41","0","true",,,,,,,,,,,,
"33","230","0","true",,,,,,,,,,,,
"34","41","0","true",,,,,,,,,,,,
"35","225","0","true",,,,,,,,,,,,
"36","46","0","true",,,,,,,,,,,,
"37","225","0","true",,,,,,,,,,,,
"38","47","0","true",,,,,,,,,,,,
"39","222","0","true",,,,,,,,,,,,
"40","49","0","true",,,,,,,,,,,,
"41","223","0","true",,,,,,,,,,,,
"42","52","0","true",,,,,,,,,,,,
"43","217","0","true",,,,,,,,,,,,
"44","55","0","true",,,,,,,,,,,,
"45","220","0","true",,,,,,,,,,,,
"46","55","0","true",,,,,,,,,,,,
"47","215","0","true",,,,,,,,,,,,
"48","60","0","true",,,,,,,,,,,,
"49","215","0","true",,,,,,,,,,,,
"50","61","0","true",,,,,,,,,,,,
"51","212","0","true",,,,,,,,,,,,
"52","63","0","true",,,,,,,,,,,,
"53","213","0","true",,,,,,,,,,,,
"54","66","0","true",,,,,,,,,,,,
"55","207","0","true",,,,,,,,,,,,
"56","69","0","true",,,,,,,,,,,,
"57","210","0","true",,,,,,,,,,,,
"58","69","0","true",,,,,,,,,,,,
"59","205","0","true",,,,,,,,,,,,
"60","74","0","true",,,,,,,,,,,,
"61","205","0","true",,,,,,,,,,,,
"62","75","0","true",,,,,,,,,,,,
"63","202","0","true",,,,,,,,,,,,
"64","77","0","true",,,,,,,,,,,,
"65","203","0","true",,,,,,,,,,,,
"66","80","0","true",,,,,,,,,,,,
"67","197","0","true",,,,,,,,,,,,
"68","83","0","true",,,,,,,,,,,,
"69","200","0","true",,,,,,,,,,,,
"70","83","0","true",,,,,,,,,,,,
"71","195","0","true",,,,,,,,,,,,
"72","88","0","true",,,,,,,,,,,,
"73","195","0","true",,,,,,,,,,,,
"74","89","0","true",,,,,,,,,,,,
"75","192","0","true",,,,,,,,,,,,
"76","91","0","true",,,,,,,,,,,,
"77","193","0","true",,,,,,,,,,,,
"78","94","0","true",,,,,,,,,,,,
"79","187","0","true",,,,,,,,,,,,
"80","97","0","true",,,,,,,,,,,,
"81","190","0","true",,,,,,,,,,,,
"82","97","0","true",,,,,,,,,,,,
"83","185","0","true",,,,,,,,,,,,
"84","102","0","true",,,,,,,,,,,,
"85","185","0","true",,,,,,,,,,,,
"86","103","0","true",,,,,,,,,,,,
"87","182","0","true",,,,,,,,,,,,
"88","105","0","true",,,,,,,,,,,,
"89","183","0","true",,,,,,,,,,,,
"90","108","0","true",,,,,,,,,,,,
"91","177","0","true",,,,,,,,,,,,
"92","111","0","true",,,,,,,,,,,,
"93","180","0","true",,,,,,,,,,,,
"94","111","0","true",,,,,,,,,,,,
"95","175","0","true",,,,,,,,,,,,
"96","116","0","true",,,,,,,,,,,,
"97","175","0","true",,,,,,,,,,,,
"98","117","0","true",,,,,,,,,,,,
"99","172","0","true",,,,,,,,,,,,
"100","119","0","true",,,,,,,,,,,,
"101","173","0","true",,,,,,,,,,,,
"102","122","0","true",,,,,,,,,,,,
"103","167","0","true",,,,,,,,,,,,
"104","125","0","true",,,,,,,,,,,,
"105","170","0","true",,,,,,,,,,,,
"106","125","0","true",,,,,,,,,,,,
"107","165","0","true",,,,,,,,,,,,
"108","130","0","true",,,,,,,,,,,,
"109","165","0","true",,,,,,,,,,,,
"110","131","0","true",,,,,,,,,,,,
"111","162","0","true",,,,,,,,,,,,
"112","133","0","true",,,,,,,,,,,,
"113","163","0","true",,,,,,,,,,,,
"114","136","0","true",,,,,,,,,,,,
"115","157","0","true",,,,,,,,,,,,
"116","139","0","true",,,,,,,,,,,,
"117","160","0","true",,,,,,,,,,,,
"118","139","0","true",,,,,,,,,,,,
"119","155","0","true",,,,,,,,,,,,
"120","144","0","true",,,,,,,,,,,,
"121","155","0","true",,,,,,,,,,,,
"122","145","0","true",,,,,,,,,,,,
"123","152","0","true",,,,,,,,,,,,
"124","147","0","true",,,,,,,,,,,,
"125","153","0","true",,,,,,,,,,,,
"126","150","0","true",,,,,,,,,,,,
"127","147","0","true",,,,,,,,,,,,
"128","153","0","true",,,,,,,,,,,,
"129","150","0","true",,,,,,,,,,,,
"130","147","0","true",,,,,,,,,,,,
"131","153","0","true",,,,,,,,,,,,
"132","150","0","true",,,,,,,,,,,,
"133","147","0","true",,,,,,,,,,,,
"134","153","0","true",,,,,,,,,,,,
"135","150","0","true",,,,,,,,,,,,
"136","147","0","true",,,,,,,,,,,,
"137","153","0","true",,,,,,,,,,,,
"138","150","0","true",,,,,,,,,,,,
"139","147","0","true",,,,,,,,,,,,
"140","153","0","true",,,,,,,,,,,,
"141","150","0","true",,,,,,,,,,,,
"142","147","0","true",,,,,,,,,,,,
"143","153","0","true",,,,,,,,,,,,
"144","150","0","true",,,,,,,,,,,,
"145","147","0","true",,,,,,,,,,,,
"146","153","0","true",,,,,,,,,,,,
"147","150","0","true",,,,,,,,,,,,
"148","147","0","true",,,,,,,,,,,,
"149","153","0","true",,,,,,,,,,,,
"150","150","0","true",,,,,,,,,,,,
"151","147","0","true",,,,,,,,,,,,
"152","153","0","true",,,,,,,,,,,,
"153","150","0","true",,,,,,,,,,,,
"154","147","0","true",,,,,,,,,,,,
"155","153","0","true",,,,,,,,,,,,
"156","150","0","true",,,,,,,,,,,,
"157","147","0","true",,,,,,,,,,,,
"158","153","0","true",,,,,,,,,,,,
"159","150","0","true",,,,,,,,,,,,
"160","147","0","true",,,,,,,,,,,,
"161","153","0","true",,,,,,,,,,,,
"162","150","0","true",,,,,,,,,,,,
"163","147","0","true",,,,,,,,,,,,
"164","153","0","true",,,,,,,,,,,,
"165","150","0","true",,,,,,,,,,,,
"166","147","0","true",,,,,,,,,,,,
"167","153","0","true",,,,,,,,,,,,
"168","150","0","true",,,,,,,,,,,,
"169","147","0","true",,,,,,,,,,,,
"170","153","0","true",,,,,,,,,,,,
"171","150","0","true",,,,,,,,,,,,
"172","147","0","true",,,,,,,,,,,,
"173","153","0","true",,,,,,,,,,,,
"174","150","0","true",,,,,,,,,,,,
"175","147","0","true",,,,,,,,,,,,
"176","153","0","true",,,,,,,,,,,,
"177","150","0","true",,,,,,,,,,,,
"178","147","0","true",,,,,,,,,,,,
"179","153","0","true",,,,,,,,,,,,
"180","150","0","true",,,,,,,,,,,,
"181","147","0","true",,,,,,,,,,,,
"182","153","0","true",,,,,,,,,,,,
"183","150","0","true",,,,,,,,,,,,
"184","147","0","true",,,,,,,,,,,,
"185","153","0","true",,,,,,,,,,,,
"186","150","0","true",,,,,,,,,,,,
"187","147","0","true",,,,,,,,,,,,
"188","153","0","true",,,,,,,,,,,,
"189","150","0","true",,,,,,,,,,,,
"190","147","0","true",,,,,,,,,,,,
"191","153","0","true",,,,,,,,,,,,
"192","150","0","true",,,,,,,,,,,,
"193","147","0","true",,,,,,,,,,,,
"194","153","0","true",,,,,,,,,,,,
"195","150","0","true",,,,,,,,,,,,
"196","147","0","true",,,,,,,,,,,,
"197","153","0","true",,,,,,,,,,,,
"198","150","0","true",,,,,,,,,,,,
"199","147","0","true",,,,,,,,,,,,
"200","153","0","true",,,,,,,,,,,,
"201","150","0","true",,,,,,,,,,,,
"202","147","0","true",,,,,,,,,,,,
"203","153","0","true",,,,,,,,,,,,
"204","150","0","true",,,,,,,,,,,,
"205","147","0","true",,,,,,,,,,,,
"206","153","0","true",,,,,,,,,,,,
"207","150","0","true",,,,,,,,,,,,
"208","147","0","true",,,,,,,,,,,,
"209","153","0","true",,,,,,,,,,,,
"210","150","0","true",,,,,,,,,,,,
"211","147","0","true",,,,,,,,,,,,
"212","153","0","true",,,,,,,,,,,,
"213","150","0","true",,,,,,,,,,,,
"214","147","0","true",,,,,,,,,,,,
"215","153","0","true",,,,,,,,,,,,
"216","150","0","true",,,,,,,,,,,,
"217","147","0","true",,,,,,,,,,,,
"218","153","0","true",,,,,,,,,,,,
"219","150","0","true",,,,,,,,,,,,
"220","147","0","true",,,,,,,,,,,,
"221","153","0","true",,,,,,,,,,,,
"222","150","0","true",,,,,,,,,,,,
"223","147","0","true",,,,,,,,,,,,
"224","153","0","true",,,,,,,,,,,,
"225","150","0","true",,,,,,,,,,,,
"226","147","0","true",,,,,,,,,,,,
"227","153","0","true",,,,,,,,,,,,
"228","150","0","true",,,,,,,,,,,,
"229","147","0","true",,,,,,,,,,,,
"230","153","0","true",,,,,,,,,,,,
"231","150","0","true",,,,,,,,,,,,
"232","147","0","true",,,,,,,,,,,,
"233","153","0","true",,,,,,,,,,,,
"234","150","0","true",,,,,,,,,,,,
"235","147","0","true",,,,,,,,,,,,
"236","153","0","true",,,,,,,,,,,,
"237","150","0","true",,,,,,,,,,,,
"238","147","0","true",,,,,,,,,,,,
"239","153","0","true",,,,,,,,,,,,
"240","150","0","true",,,,,,,,,,,,
"241","147","0","true",,,,,,,,,,,,
"242","153","0","true",,,,,,,,,,,,
"243","150","0","true",,,,,,,,,,,,
"244","147","0","true",,,,,,,,,,,,
"245","153","0","true",,,,,,,,,,,,
"246","150","0","true",,,,,,,,,,,,
"247","147","0","true",,,,,,,,,,,,
"248","153","0","true",,,,,,,,,,,,
"249","150","0","true",,,,,,,,,,,,
"250","147","0","true",,,,,,,,,,,,
"251","153","0","true",,,,,,,,,,,,
"252","150","0","true",,,,,,,,,,,,
"253","147","0","true",,,,,,,,,,,,
"254","153","0","true",,,,,,,,,,,,
"255","150","0","true",,,,,,,,,,,,
"256","147","0","true",,,,,,,,,,,,
"257","153","0","true",,,,,,,,,,,,
"258","150","0","true",,,,,,,,,,,,
"259","147","0","true",,,,,,,,,,,,
"260","153","0","true",,,,,,,,,,,,
"261","150","0","true",,,,,,,,,,,,
"262","147","0","true",,,,,,,,,,,,
"263","153","0","true",,,,,,,,,,,,
"264","150","0","true",,,,,,,,,,,,
"265","147","0","true",,,,,,,,,,,,
"266","153","0","true",,,,,,,,,,,,
"267","150","0","true",,,,,,,,,,,,
"268","147","0","true",,,,,,,,,,,,
"269","153","0","true",,,,,,,,,,,,
"270","150","0","true",,,,,,,,,,,,
"271","147","0","true",,,,,,,,,,,,
"272","153","0","true",,,,,,,,,,,,
"273","150","0","true",,,,,,,,,,,,
"274","147","0","true",,,,,,,,,,,,
"275","153","0","true",,,,,,,,,,,,
"276","150","0","true",,,,,,,,,,,,
"277","147","0","true",,,,,,,,,,,,
"278","153","0","true",,,,,,,,,,,,
"279","150","0","true",,,,,,,,,,,,
"280","147","0","true",,,,,,,,,,,,
"281","153","0","true",,,,,,,,,,,,
"282","150","0","true",,,,,,,,,,,,
