"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 23:09:51:473 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","true","false","0","110","false","true","true","true","false","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","163","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","48","0","true",,,,,,,,,,,,
"2","69","0","true",,,,,,,,,,,,
"3","68","0","true",,,,,,,,,,,,
"4","101","0","true",,,,,,,,,,,,
"5","60","0","true",,,,,,,,,,,,
"6","80","0","true",,,,,,,,,,,,
"7","99","0","true",,,,,,,,,,,,
"8","105","0","true",,,,,,,,,,,,
"9","76","0","true",,,,,,,,,,,,
"10","89","0","true",,,,,,,,,,,,
"11","102","0","true",,,,,,,,,,,,
"12","100","0","true",,,,,,,,,,,,
"13","109","0","true",,,,,,,,,,,,
"14","126","0","true",,,,,,,,,,,,
"15","121","0","true",,,,,,,,,,,,
"16","133","0","true",,,,,,,,,,,,
"17","121","0","true",,,,,,,,,,,,
"18","123","0","true",,,,,,,,,,,,
"19","122","0","true",,,,,,,,,,,,
"20","136","0","true",,,,,,,,,,,,
"21","139","0","true",,,,,,,,,,,,
"22","135","0","true",,,,,,,,,,,,
"23","129","0","true",,,,,,,,,,,,
"24","132","0","true",,,,,,,,,,,,
"25","139","0","true",,,,,,,,,,,,
"26","148","0","true",,,,,,,,,,,,
"27","156","0","true",,,,,,,,,,,,
"28","142","0","true",,,,,,,,,,,,
"29","131","0","true",,,,,,,,,,,,
"30","143","0","true",,,,,,,,,,,,
"31","147","0","true",,,,,,,,,,,,
"32","155","0","true",,,,,,,,,,,,
"33","143","0","true",,,,,,,,,,,,
"34","129","0","true",,,,,,,,,,,,
"35","125","0","true",,,,,,,,,,,,
"36","136","0","true",,,,,,,,,,,,
"37","144","0","true",,,,,,,,,,,,
"38","140","0","true",,,,,,,,,,,,
"39","150","0","true",,,,,,,,,,,,
"40","147","0","true",,,,,,,,,,,,
"41","146","0","true",,,,,,,,,,,,
"42","142","0","true",,,,,,,,,,,,
"43","140","0","true",,,,,,,,,,,,
"44","137","0","true",,,,,,,,,,,,
"45","141","0","true",,,,,,,,,,,,
"46","151","0","true",,,,,,,,,,,,
"47","154","0","true",,,,,,,,,,,,
"48","150","0","true",,,,,,,,,,,,
"49","134","0","true",,,,,,,,,,,,
"50","145","0","true",,,,,,,,,,,,
"51","118","0","true",,,,,,,,,,,,
"52","126","0","true",,,,,,,,,,,,
"53","156","0","true",,,,,,,,,,,,
"54","142","0","true",,,,,,,,,,,,
"55","140","0","true",,,,,,,,,,,,
"56","138","0","true",,,,,,,,,,,,
"57","135","0","true",,,,,,,,,,,,
"58","133","0","true",,,,,,,,,,,,
"59","142","0","true",,,,,,,,,,,,
"60","154","0","true",,,,,,,,,,,,
"61","147","0","true",,,,,,,,,,,,
"62","138","0","true",,,,,,,,,,,,
"63","130","0","true",,,,,,,,,,,,
"64","141","0","true",,,,,,,,,,,,
"65","148","0","true",,,,,,,,,,,,
"66","139","0","true",,,,,,,,,,,,
"67","145","0","true",,,,,,,,,,,,
"68","147","0","true",,,,,,,,,,,,
"69","126","0","true",,,,,,,,,,,,
"70","144","0","true",,,,,,,,,,,,
"71","144","0","true",,,,,,,,,,,,
"72","148","0","true",,,,,,,,,,,,
"73","148","0","true",,,,,,,,,,,,
"74","158","0","true",,,,,,,,,,,,
"75","140","0","true",,,,,,,,,,,,
"76","143","0","true",,,,,,,,,,,,
