"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/24/2018 15:43:32:075 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"true","10","true","false","0","110","false","true","true","false","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","161","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","2","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","3","0","true",,,,,,,,,,,,
"4","5","0","true",,,,,,,,,,,,
"5","3","0","true",,,,,,,,,,,,
"6","5","0","true",,,,,,,,,,,,
"7","6","0","true",,,,,,,,,,,,
"8","8","0","true",,,,,,,,,,,,
"9","5","0","true",,,,,,,,,,,,
"10","6","0","true",,,,,,,,,,,,
"11","8","0","true",,,,,,,,,,,,
"12","8","0","true",,,,,,,,,,,,
"13","8","0","true",,,,,,,,,,,,
"14","11","0","true",,,,,,,,,,,,
"15","11","0","true",,,,,,,,,,,,
"16","13","0","true",,,,,,,,,,,,
"17","9","0","true",,,,,,,,,,,,
"18","11","0","true",,,,,,,,,,,,
"19","11","0","true",,,,,,,,,,,,
"20","13","0","true",,,,,,,,,,,,
"21","14","0","true",,,,,,,,,,,,
"22","16","0","true",,,,,,,,,,,,
"23","14","0","true",,,,,,,,,,,,
"24","14","0","true",,,,,,,,,,,,
"25","13","0","true",,,,,,,,,,,,
"26","13","0","true",,,,,,,,,,,,
"27","17","0","true",,,,,,,,,,,,
"28","22","0","true",,,,,,,,,,,,
"29","20","0","true",,,,,,,,,,,,
"30","16","0","true",,,,,,,,,,,,
