"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:43:32:239 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"false","10","true","true","0","19","false","false","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","282","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","256","0","true",,,,,,,,,,,,
"2","0","0","true",,,,,,,,,,,,
"3","257","0","true",,,,,,,,,,,,
"4","0","0","true",,,,,,,,,,,,
"5","257","0","true",,,,,,,,,,,,
"6","0","0","true",,,,,,,,,,,,
"7","257","0","true",,,,,,,,,,,,
"8","0","0","true",,,,,,,,,,,,
"9","257","0","true",,,,,,,,,,,,
"10","0","0","true",,,,,,,,,,,,
"11","257","0","true",,,,,,,,,,,,
"12","0","0","true",,,,,,,,,,,,
"13","257","0","true",,,,,,,,,,,,
"14","0","0","true",,,,,,,,,,,,
"15","257","0","true",,,,,,,,,,,,
"16","0","0","true",,,,,,,,,,,,
"17","257","0","true",,,,,,,,,,,,
"18","0","0","true",,,,,,,,,,,,
"19","257","0","true",,,,,,,,,,,,
"20","0","0","true",,,,,,,,,,,,
"21","257","0","true",,,,,,,,,,,,
"22","0","0","true",,,,,,,,,,,,
"23","257","0","true",,,,,,,,,,,,
"24","0","0","true",,,,,,,,,,,,
"25","257","0","true",,,,,,,,,,,,
"26","0","0","true",,,,,,,,,,,,
"27","257","0","true",,,,,,,,,,,,
"28","0","0","true",,,,,,,,,,,,
"29","257","0","true",,,,,,,,,,,,
"30","0","0","true",,,,,,,,,,,,
"31","257","0","true",,,,,,,,,,,,
"32","0","0","true",,,,,,,,,,,,
"33","257","0","true",,,,,,,,,,,,
"34","0","0","true",,,,,,,,,,,,
"35","257","0","true",,,,,,,,,,,,
"36","0","0","true",,,,,,,,,,,,
"37","257","0","true",,,,,,,,,,,,
"38","0","0","true",,,,,,,,,,,,
"39","257","0","true",,,,,,,,,,,,
"40","0","0","true",,,,,,,,,,,,
"41","257","0","true",,,,,,,,,,,,
"42","0","0","true",,,,,,,,,,,,
"43","257","0","true",,,,,,,,,,,,
"44","0","0","true",,,,,,,,,,,,
"45","257","0","true",,,,,,,,,,,,
"46","0","0","true",,,,,,,,,,,,
"47","257","0","true",,,,,,,,,,,,
"48","0","0","true",,,,,,,,,,,,
"49","257","0","true",,,,,,,,,,,,
"50","0","0","true",,,,,,,,,,,,
"51","257","0","true",,,,,,,,,,,,
"52","0","0","true",,,,,,,,,,,,
"53","257","0","true",,,,,,,,,,,,
"54","0","0","true",,,,,,,,,,,,
"55","257","0","true",,,,,,,,,,,,
"56","0","0","true",,,,,,,,,,,,
"57","257","0","true",,,,,,,,,,,,
"58","0","0","true",,,,,,,,,,,,
"59","257","0","true",,,,,,,,,,,,
"60","0","0","true",,,,,,,,,,,,
"61","257","0","true",,,,,,,,,,,,
"62","0","0","true",,,,,,,,,,,,
"63","257","0","true",,,,,,,,,,,,
"64","0","0","true",,,,,,,,,,,,
"65","257","0","true",,,,,,,,,,,,
"66","0","0","true",,,,,,,,,,,,
"67","257","0","true",,,,,,,,,,,,
"68","0","0","true",,,,,,,,,,,,
"69","257","0","true",,,,,,,,,,,,
"70","0","0","true",,,,,,,,,,,,
"71","257","0","true",,,,,,,,,,,,
"72","0","0","true",,,,,,,,,,,,
"73","257","0","true",,,,,,,,,,,,
"74","0","0","true",,,,,,,,,,,,
"75","257","0","true",,,,,,,,,,,,
"76","0","0","true",,,,,,,,,,,,
"77","257","0","true",,,,,,,,,,,,
"78","0","0","true",,,,,,,,,,,,
"79","257","0","true",,,,,,,,,,,,
"80","0","0","true",,,,,,,,,,,,
"81","257","0","true",,,,,,,,,,,,
"82","0","0","true",,,,,,,,,,,,
"83","257","0","true",,,,,,,,,,,,
"84","0","0","true",,,,,,,,,,,,
"85","257","0","true",,,,,,,,,,,,
"86","0","0","true",,,,,,,,,,,,
"87","257","0","true",,,,,,,,,,,,
"88","0","0","true",,,,,,,,,,,,
"89","257","0","true",,,,,,,,,,,,
"90","0","0","true",,,,,,,,,,,,
"91","257","0","true",,,,,,,,,,,,
