"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:45:27:466 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"false","10","false","true","0","20","false","true","false","true","false","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","10","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","2","0","true",,,,,,,,,,,,
"2","1","0","true",,,,,,,,,,,,
"3","2","0","true",,,,,,,,,,,,
"4","1","0","true",,,,,,,,,,,,
"5","2","0","true",,,,,,,,,,,,
"6","1","0","true",,,,,,,,,,,,
"7","2","0","true",,,,,,,,,,,,
"8","1","0","true",,,,,,,,,,,,
"9","2","0","true",,,,,,,,,,,,
"10","1","0","true",,,,,,,,,,,,
"11","2","0","true",,,,,,,,,,,,
"12","1","0","true",,,,,,,,,,,,
"13","2","0","true",,,,,,,,,,,,
"14","1","0","true",,,,,,,,,,,,
"15","2","0","true",,,,,,,,,,,,
"16","1","0","true",,,,,,,,,,,,
"17","2","0","true",,,,,,,,,,,,
"18","1","0","true",,,,,,,,,,,,
"19","2","0","true",,,,,,,,,,,,
"20","1","0","true",,,,,,,,,,,,
"21","2","0","true",,,,,,,,,,,,
"22","1","0","true",,,,,,,,,,,,
"23","2","0","true",,,,,,,,,,,,
"24","1","0","true",,,,,,,,,,,,
"25","2","0","true",,,,,,,,,,,,
"26","1","0","true",,,,,,,,,,,,
"27","2","0","true",,,,,,,,,,,,
"28","1","0","true",,,,,,,,,,,,
"29","2","0","true",,,,,,,,,,,,
"30","1","0","true",,,,,,,,,,,,
