"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:48:51:805 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"false","10","false","true","0","21","false","true","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","254","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","231","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","253","0","true",,,,,,,,,,,,
"4","3","0","true",,,,,,,,,,,,
"5","253","0","true",,,,,,,,,,,,
"6","3","0","true",,,,,,,,,,,,
"7","253","0","true",,,,,,,,,,,,
"8","3","0","true",,,,,,,,,,,,
"9","253","0","true",,,,,,,,,,,,
"10","3","0","true",,,,,,,,,,,,
"11","253","0","true",,,,,,,,,,,,
"12","3","0","true",,,,,,,,,,,,
"13","253","0","true",,,,,,,,,,,,
"14","3","0","true",,,,,,,,,,,,
"15","253","0","true",,,,,,,,,,,,
"16","3","0","true",,,,,,,,,,,,
"17","253","0","true",,,,,,,,,,,,
"18","3","0","true",,,,,,,,,,,,
"19","253","0","true",,,,,,,,,,,,
"20","3","0","true",,,,,,,,,,,,
"21","253","0","true",,,,,,,,,,,,
"22","3","0","true",,,,,,,,,,,,
"23","253","0","true",,,,,,,,,,,,
"24","3","0","true",,,,,,,,,,,,
"25","253","0","true",,,,,,,,,,,,
"26","3","0","true",,,,,,,,,,,,
"27","253","0","true",,,,,,,,,,,,
"28","3","0","true",,,,,,,,,,,,
"29","253","0","true",,,,,,,,,,,,
"30","3","0","true",,,,,,,,,,,,
"31","253","0","true",,,,,,,,,,,,
"32","3","0","true",,,,,,,,,,,,
"33","253","0","true",,,,,,,,,,,,
"34","3","0","true",,,,,,,,,,,,
"35","253","0","true",,,,,,,,,,,,
"36","3","0","true",,,,,,,,,,,,
"37","253","0","true",,,,,,,,,,,,
"38","3","0","true",,,,,,,,,,,,
"39","253","0","true",,,,,,,,,,,,
"40","3","0","true",,,,,,,,,,,,
"41","253","0","true",,,,,,,,,,,,
"42","3","0","true",,,,,,,,,,,,
"43","253","0","true",,,,,,,,,,,,
"44","3","0","true",,,,,,,,,,,,
"45","253","0","true",,,,,,,,,,,,
"46","3","0","true",,,,,,,,,,,,
"47","253","0","true",,,,,,,,,,,,
"48","3","0","true",,,,,,,,,,,,
"49","253","0","true",,,,,,,,,,,,
"50","3","0","true",,,,,,,,,,,,
"51","253","0","true",,,,,,,,,,,,
"52","3","0","true",,,,,,,,,,,,
"53","253","0","true",,,,,,,,,,,,
"54","3","0","true",,,,,,,,,,,,
"55","253","0","true",,,,,,,,,,,,
"56","3","0","true",,,,,,,,,,,,
"57","253","0","true",,,,,,,,,,,,
"58","3","0","true",,,,,,,,,,,,
"59","253","0","true",,,,,,,,,,,,
"60","3","0","true",,,,,,,,,,,,
"61","253","0","true",,,,,,,,,,,,
"62","3","0","true",,,,,,,,,,,,
"63","253","0","true",,,,,,,,,,,,
"64","3","0","true",,,,,,,,,,,,
"65","253","0","true",,,,,,,,,,,,
"66","3","0","true",,,,,,,,,,,,
"67","253","0","true",,,,,,,,,,,,
"68","3","0","true",,,,,,,,,,,,
"69","253","0","true",,,,,,,,,,,,
"70","3","0","true",,,,,,,,,,,,
"71","253","0","true",,,,,,,,,,,,
"72","3","0","true",,,,,,,,,,,,
"73","253","0","true",,,,,,,,,,,,
"74","3","0","true",,,,,,,,,,,,
"75","253","0","true",,,,,,,,,,,,
"76","3","0","true",,,,,,,,,,,,
"77","253","0","true",,,,,,,,,,,,
"78","3","0","true",,,,,,,,,,,,
"79","253","0","true",,,,,,,,,,,,
"80","3","0","true",,,,,,,,,,,,
"81","253","0","true",,,,,,,,,,,,
"82","3","0","true",,,,,,,,,,,,
"83","253","0","true",,,,,,,,,,,,
"84","3","0","true",,,,,,,,,,,,
"85","253","0","true",,,,,,,,,,,,
"86","3","0","true",,,,,,,,,,,,
"87","253","0","true",,,,,,,,,,,,
"88","3","0","true",,,,,,,,,,,,
"89","253","0","true",,,,,,,,,,,,
"90","3","0","true",,,,,,,,,,,,
"91","253","0","true",,,,,,,,,,,,
"92","3","0","true",,,,,,,,,,,,
"93","253","0","true",,,,,,,,,,,,
"94","3","0","true",,,,,,,,,,,,
"95","253","0","true",,,,,,,,,,,,
"96","3","0","true",,,,,,,,,,,,
"97","253","0","true",,,,,,,,,,,,
"98","3","0","true",,,,,,,,,,,,
"99","253","0","true",,,,,,,,,,,,
"100","3","0","true",,,,,,,,,,,,
"101","253","0","true",,,,,,,,,,,,
"102","3","0","true",,,,,,,,,,,,
"103","253","0","true",,,,,,,,,,,,
"104","3","0","true",,,,,,,,,,,,
"105","253","0","true",,,,,,,,,,,,
"106","3","0","true",,,,,,,,,,,,
"107","253","0","true",,,,,,,,,,,,
"108","3","0","true",,,,,,,,,,,,
"109","253","0","true",,,,,,,,,,,,
"110","3","0","true",,,,,,,,,,,,
"111","253","0","true",,,,,,,,,,,,
"112","3","0","true",,,,,,,,,,,,
"113","253","0","true",,,,,,,,,,,,
"114","3","0","true",,,,,,,,,,,,
"115","253","0","true",,,,,,,,,,,,
"116","3","0","true",,,,,,,,,,,,
"117","253","0","true",,,,,,,,,,,,
"118","3","0","true",,,,,,,,,,,,
"119","253","0","true",,,,,,,,,,,,
"120","3","0","true",,,,,,,,,,,,
"121","253","0","true",,,,,,,,,,,,
"122","3","0","true",,,,,,,,,,,,
"123","253","0","true",,,,,,,,,,,,
"124","3","0","true",,,,,,,,,,,,
"125","253","0","true",,,,,,,,,,,,
"126","3","0","true",,,,,,,,,,,,
"127","253","0","true",,,,,,,,,,,,
"128","3","0","true",,,,,,,,,,,,
"129","253","0","true",,,,,,,,,,,,
"130","3","0","true",,,,,,,,,,,,
"131","253","0","true",,,,,,,,,,,,
"132","3","0","true",,,,,,,,,,,,
"133","253","0","true",,,,,,,,,,,,
"134","3","0","true",,,,,,,,,,,,
"135","253","0","true",,,,,,,,,,,,
"136","3","0","true",,,,,,,,,,,,
"137","253","0","true",,,,,,,,,,,,
"138","3","0","true",,,,,,,,,,,,
"139","253","0","true",,,,,,,,,,,,
"140","3","0","true",,,,,,,,,,,,
"141","253","0","true",,,,,,,,,,,,
"142","3","0","true",,,,,,,,,,,,
"143","253","0","true",,,,,,,,,,,,
"144","3","0","true",,,,,,,,,,,,
"145","253","0","true",,,,,,,,,,,,
"146","3","0","true",,,,,,,,,,,,
"147","253","0","true",,,,,,,,,,,,
"148","3","0","true",,,,,,,,,,,,
"149","253","0","true",,,,,,,,,,,,
"150","3","0","true",,,,,,,,,,,,
"151","253","0","true",,,,,,,,,,,,
"152","3","0","true",,,,,,,,,,,,
"153","253","0","true",,,,,,,,,,,,
"154","3","0","true",,,,,,,,,,,,
"155","253","0","true",,,,,,,,,,,,
"156","3","0","true",,,,,,,,,,,,
"157","253","0","true",,,,,,,,,,,,
"158","3","0","true",,,,,,,,,,,,
"159","253","0","true",,,,,,,,,,,,
"160","3","0","true",,,,,,,,,,,,
"161","253","0","true",,,,,,,,,,,,
"162","3","0","true",,,,,,,,,,,,
"163","253","0","true",,,,,,,,,,,,
"164","3","0","true",,,,,,,,,,,,
"165","253","0","true",,,,,,,,,,,,
"166","3","0","true",,,,,,,,,,,,
"167","253","0","true",,,,,,,,,,,,
"168","3","0","true",,,,,,,,,,,,
"169","253","0","true",,,,,,,,,,,,
"170","3","0","true",,,,,,,,,,,,
"171","253","0","true",,,,,,,,,,,,
"172","3","0","true",,,,,,,,,,,,
"173","253","0","true",,,,,,,,,,,,
"174","3","0","true",,,,,,,,,,,,
"175","253","0","true",,,,,,,,,,,,
"176","3","0","true",,,,,,,,,,,,
"177","253","0","true",,,,,,,,,,,,
"178","3","0","true",,,,,,,,,,,,
"179","253","0","true",,,,,,,,,,,,
"180","3","0","true",,,,,,,,,,,,
"181","253","0","true",,,,,,,,,,,,
"182","3","0","true",,,,,,,,,,,,
"183","253","0","true",,,,,,,,,,,,
"184","3","0","true",,,,,,,,,,,,
"185","253","0","true",,,,,,,,,,,,
"186","3","0","true",,,,,,,,,,,,
"187","253","0","true",,,,,,,,,,,,
"188","3","0","true",,,,,,,,,,,,
"189","253","0","true",,,,,,,,,,,,
"190","3","0","true",,,,,,,,,,,,
"191","253","0","true",,,,,,,,,,,,
"192","3","0","true",,,,,,,,,,,,
"193","253","0","true",,,,,,,,,,,,
"194","3","0","true",,,,,,,,,,,,
"195","253","0","true",,,,,,,,,,,,
"196","3","0","true",,,,,,,,,,,,
"197","253","0","true",,,,,,,,,,,,
"198","3","0","true",,,,,,,,,,,,
"199","253","0","true",,,,,,,,,,,,
"200","3","0","true",,,,,,,,,,,,
"201","253","0","true",,,,,,,,,,,,
"202","3","0","true",,,,,,,,,,,,
"203","253","0","true",,,,,,,,,,,,
"204","3","0","true",,,,,,,,,,,,
"205","253","0","true",,,,,,,,,,,,
"206","3","0","true",,,,,,,,,,,,
"207","253","0","true",,,,,,,,,,,,
"208","3","0","true",,,,,,,,,,,,
"209","253","0","true",,,,,,,,,,,,
"210","3","0","true",,,,,,,,,,,,
"211","253","0","true",,,,,,,,,,,,
"212","3","0","true",,,,,,,,,,,,
