"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:50:58:783 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"false","10","true","true","0","22","false","true","false","true","false","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","153","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","66","0","true",,,,,,,,,,,,
"2","37","0","true",,,,,,,,,,,,
"3","87","0","true",,,,,,,,,,,,
"4","44","0","true",,,,,,,,,,,,
"5","70","0","true",,,,,,,,,,,,
"6","40","0","true",,,,,,,,,,,,
"7","92","0","true",,,,,,,,,,,,
"8","52","0","true",,,,,,,,,,,,
"9","77","0","true",,,,,,,,,,,,
"10","45","0","true",,,,,,,,,,,,
"11","87","0","true",,,,,,,,,,,,
"12","49","0","true",,,,,,,,,,,,
"13","85","0","true",,,,,,,,,,,,
"14","56","0","true",,,,,,,,,,,,
"15","82","0","true",,,,,,,,,,,,
"16","57","0","true",,,,,,,,,,,,
"17","86","0","true",,,,,,,,,,,,
"18","62","0","true",,,,,,,,,,,,
"19","82","0","true",,,,,,,,,,,,
"20","59","0","true",,,,,,,,,,,,
"21","91","0","true",,,,,,,,,,,,
"22","77","0","true",,,,,,,,,,,,
"23","79","0","true",,,,,,,,,,,,
"24","67","0","true",,,,,,,,,,,,
"25","92","0","true",,,,,,,,,,,,
"26","78","0","true",,,,,,,,,,,,
"27","80","0","true",,,,,,,,,,,,
"28","70","0","true",,,,,,,,,,,,
"29","67","0","true",,,,,,,,,,,,
"30","85","0","true",,,,,,,,,,,,
"31","76","0","true",,,,,,,,,,,,
"32","72","0","true",,,,,,,,,,,,
"33","71","0","true",,,,,,,,,,,,
"34","76","0","true",,,,,,,,,,,,
"35","87","0","true",,,,,,,,,,,,
"36","95","0","true",,,,,,,,,,,,
"37","74","0","true",,,,,,,,,,,,
"38","95","0","true",,,,,,,,,,,,
"39","71","0","true",,,,,,,,,,,,
"40","73","0","true",,,,,,,,,,,,
"41","65","0","true",,,,,,,,,,,,
"42","91","0","true",,,,,,,,,,,,
"43","83","0","true",,,,,,,,,,,,
"44","107","0","true",,,,,,,,,,,,
"45","62","0","true",,,,,,,,,,,,
"46","86","0","true",,,,,,,,,,,,
"47","75","0","true",,,,,,,,,,,,
"48","78","0","true",,,,,,,,,,,,
"49","80","0","true",,,,,,,,,,,,
"50","86","0","true",,,,,,,,,,,,
"51","85","0","true",,,,,,,,,,,,
"52","106","0","true",,,,,,,,,,,,
"53","80","0","true",,,,,,,,,,,,
"54","81","0","true",,,,,,,,,,,,
"55","83","0","true",,,,,,,,,,,,
"56","92","0","true",,,,,,,,,,,,
"57","94","0","true",,,,,,,,,,,,
"58","93","0","true",,,,,,,,,,,,
"59","88","0","true",,,,,,,,,,,,
"60","106","0","true",,,,,,,,,,,,
"61","77","0","true",,,,,,,,,,,,
"62","86","0","true",,,,,,,,,,,,
"63","89","0","true",,,,,,,,,,,,
"64","87","0","true",,,,,,,,,,,,
"65","96","0","true",,,,,,,,,,,,
"66","110","0","true",,,,,,,,,,,,
"67","74","0","true",,,,,,,,,,,,
"68","90","0","true",,,,,,,,,,,,
"69","77","0","true",,,,,,,,,,,,
"70","105","0","true",,,,,,,,,,,,
"71","77","0","true",,,,,,,,,,,,
"72","104","0","true",,,,,,,,,,,,
"73","81","0","true",,,,,,,,,,,,
"74","96","0","true",,,,,,,,,,,,
"75","97","0","true",,,,,,,,,,,,
"76","107","0","true",,,,,,,,,,,,
"77","81","0","true",,,,,,,,,,,,
"78","93","0","true",,,,,,,,,,,,
"79","82","0","true",,,,,,,,,,,,
"80","104","0","true",,,,,,,,,,,,
"81","102","0","true",,,,,,,,,,,,
"82","89","0","true",,,,,,,,,,,,
"83","87","0","true",,,,,,,,,,,,
"84","96","0","true",,,,,,,,,,,,
"85","104","0","true",,,,,,,,,,,,
"86","88","0","true",,,,,,,,,,,,
"87","107","0","true",,,,,,,,,,,,
"88","93","0","true",,,,,,,,,,,,
"89","98","0","true",,,,,,,,,,,,
"90","81","0","true",,,,,,,,,,,,
"91","96","0","true",,,,,,,,,,,,
"92","82","0","true",,,,,,,,,,,,
"93","105","0","true",,,,,,,,,,,,
"94","90","0","true",,,,,,,,,,,,
"95","115","0","true",,,,,,,,,,,,
"96","74","0","true",,,,,,,,,,,,
"97","98","0","true",,,,,,,,,,,,
"98","94","0","true",,,,,,,,,,,,
"99","86","0","true",,,,,,,,,,,,
"100","70","0","true",,,,,,,,,,,,
"101","88","0","true",,,,,,,,,,,,
"102","84","0","true",,,,,,,,,,,,
"103","85","0","true",,,,,,,,,,,,
"104","94","0","true",,,,,,,,,,,,
"105","85","0","true",,,,,,,,,,,,
"106","78","0","true",,,,,,,,,,,,
"107","91","0","true",,,,,,,,,,,,
"108","76","0","true",,,,,,,,,,,,
"109","70","0","true",,,,,,,,,,,,
"110","87","0","true",,,,,,,,,,,,
"111","99","0","true",,,,,,,,,,,,
"112","79","0","true",,,,,,,,,,,,
"113","87","0","true",,,,,,,,,,,,
"114","93","0","true",,,,,,,,,,,,
"115","101","0","true",,,,,,,,,,,,
"116","87","0","true",,,,,,,,,,,,
"117","69","0","true",,,,,,,,,,,,
"118","106","0","true",,,,,,,,,,,,
"119","82","0","true",,,,,,,,,,,,
"120","96","0","true",,,,,,,,,,,,
"121","68","0","true",,,,,,,,,,,,
"122","102","0","true",,,,,,,,,,,,
"123","89","0","true",,,,,,,,,,,,
"124","92","0","true",,,,,,,,,,,,
"125","95","0","true",,,,,,,,,,,,
"126","91","0","true",,,,,,,,,,,,
"127","97","0","true",,,,,,,,,,,,
"128","80","0","true",,,,,,,,,,,,
"129","114","0","true",,,,,,,,,,,,
"130","89","0","true",,,,,,,,,,,,
"131","81","0","true",,,,,,,,,,,,
"132","99","0","true",,,,,,,,,,,,
"133","115","0","true",,,,,,,,,,,,
"134","90","0","true",,,,,,,,,,,,
"135","80","0","true",,,,,,,,,,,,
"136","103","0","true",,,,,,,,,,,,
"137","84","0","true",,,,,,,,,,,,
"138","79","0","true",,,,,,,,,,,,
"139","107","0","true",,,,,,,,,,,,
"140","79","0","true",,,,,,,,,,,,
"141","88","0","true",,,,,,,,,,,,
"142","95","0","true",,,,,,,,,,,,
"143","95","0","true",,,,,,,,,,,,
"144","88","0","true",,,,,,,,,,,,
"145","95","0","true",,,,,,,,,,,,
"146","103","0","true",,,,,,,,,,,,
"147","87","0","true",,,,,,,,,,,,
"148","76","0","true",,,,,,,,,,,,
"149","76","0","true",,,,,,,,,,,,
"150","78","0","true",,,,,,,,,,,,
"151","89","0","true",,,,,,,,,,,,
"152","93","0","true",,,,,,,,,,,,
"153","95","0","true",,,,,,,,,,,,
"154","87","0","true",,,,,,,,,,,,
"155","91","0","true",,,,,,,,,,,,
"156","92","0","true",,,,,,,,,,,,
"157","99","0","true",,,,,,,,,,,,
"158","78","0","true",,,,,,,,,,,,
"159","103","0","true",,,,,,,,,,,,
"160","70","0","true",,,,,,,,,,,,
"161","109","0","true",,,,,,,,,,,,
"162","90","0","true",,,,,,,,,,,,
"163","103","0","true",,,,,,,,,,,,
"164","78","0","true",,,,,,,,,,,,
"165","94","0","true",,,,,,,,,,,,
"166","86","0","true",,,,,,,,,,,,
"167","85","0","true",,,,,,,,,,,,
"168","101","0","true",,,,,,,,,,,,
"169","93","0","true",,,,,,,,,,,,
"170","86","0","true",,,,,,,,,,,,
"171","100","0","true",,,,,,,,,,,,
"172","86","0","true",,,,,,,,,,,,
"173","90","0","true",,,,,,,,,,,,
"174","108","0","true",,,,,,,,,,,,
"175","86","0","true",,,,,,,,,,,,
"176","70","0","true",,,,,,,,,,,,
"177","85","0","true",,,,,,,,,,,,
"178","80","0","true",,,,,,,,,,,,
"179","82","0","true",,,,,,,,,,,,
"180","88","0","true",,,,,,,,,,,,
"181","91","0","true",,,,,,,,,,,,
"182","88","0","true",,,,,,,,,,,,
"183","69","0","true",,,,,,,,,,,,
"184","85","0","true",,,,,,,,,,,,
"185","75","0","true",,,,,,,,,,,,
"186","98","0","true",,,,,,,,,,,,
"187","79","0","true",,,,,,,,,,,,
"188","86","0","true",,,,,,,,,,,,
"189","78","0","true",,,,,,,,,,,,
"190","99","0","true",,,,,,,,,,,,
"191","97","0","true",,,,,,,,,,,,
"192","89","0","true",,,,,,,,,,,,
"193","90","0","true",,,,,,,,,,,,
"194","110","0","true",,,,,,,,,,,,
"195","92","0","true",,,,,,,,,,,,
"196","99","0","true",,,,,,,,,,,,
"197","106","0","true",,,,,,,,,,,,
"198","91","0","true",,,,,,,,,,,,
"199","88","0","true",,,,,,,,,,,,
"200","84","0","true",,,,,,,,,,,,
"201","74","0","true",,,,,,,,,,,,
"202","107","0","true",,,,,,,,,,,,
"203","85","0","true",,,,,,,,,,,,
"204","94","0","true",,,,,,,,,,,,
"205","83","0","true",,,,,,,,,,,,
"206","92","0","true",,,,,,,,,,,,
"207","92","0","true",,,,,,,,,,,,
"208","96","0","true",,,,,,,,,,,,
"209","88","0","true",,,,,,,,,,,,
"210","88","0","true",,,,,,,,,,,,
"211","85","0","true",,,,,,,,,,,,
"212","99","0","true",,,,,,,,,,,,
"213","74","0","true",,,,,,,,,,,,
"214","109","0","true",,,,,,,,,,,,
"215","72","0","true",,,,,,,,,,,,
"216","101","0","true",,,,,,,,,,,,
"217","82","0","true",,,,,,,,,,,,
"218","103","0","true",,,,,,,,,,,,
"219","91","0","true",,,,,,,,,,,,
"220","94","0","true",,,,,,,,,,,,
"221","82","0","true",,,,,,,,,,,,
"222","94","0","true",,,,,,,,,,,,
"223","96","0","true",,,,,,,,,,,,
"224","96","0","true",,,,,,,,,,,,
"225","104","0","true",,,,,,,,,,,,
"226","86","0","true",,,,,,,,,,,,
"227","98","0","true",,,,,,,,,,,,
"228","92","0","true",,,,,,,,,,,,
"229","103","0","true",,,,,,,,,,,,
"230","94","0","true",,,,,,,,,,,,
"231","86","0","true",,,,,,,,,,,,
"232","86","0","true",,,,,,,,,,,,
"233","83","0","true",,,,,,,,,,,,
"234","91","0","true",,,,,,,,,,,,
"235","82","0","true",,,,,,,,,,,,
"236","90","0","true",,,,,,,,,,,,
"237","99","0","true",,,,,,,,,,,,
"238","100","0","true",,,,,,,,,,,,
"239","109","0","true",,,,,,,,,,,,
"240","94","0","true",,,,,,,,,,,,
"241","86","0","true",,,,,,,,,,,,
"242","83","0","true",,,,,,,,,,,,
"243","100","0","true",,,,,,,,,,,,
"244","101","0","true",,,,,,,,,,,,
"245","102","0","true",,,,,,,,,,,,
"246","93","0","true",,,,,,,,,,,,
"247","84","0","true",,,,,,,,,,,,
"248","87","0","true",,,,,,,,,,,,
"249","88","0","true",,,,,,,,,,,,
"250","105","0","true",,,,,,,,,,,,
"251","94","0","true",,,,,,,,,,,,
"252","91","0","true",,,,,,,,,,,,
"253","87","0","true",,,,,,,,,,,,
"254","102","0","true",,,,,,,,,,,,
"255","93","0","true",,,,,,,,,,,,
"256","98","0","true",,,,,,,,,,,,
"257","90","0","true",,,,,,,,,,,,
"258","91","0","true",,,,,,,,,,,,
"259","83","0","true",,,,,,,,,,,,
"260","83","0","true",,,,,,,,,,,,
"261","109","0","true",,,,,,,,,,,,
"262","86","0","true",,,,,,,,,,,,
"263","90","0","true",,,,,,,,,,,,
"264","80","0","true",,,,,,,,,,,,
"265","97","0","true",,,,,,,,,,,,
