"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/24/2018 17:50:57:668 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"false","10","true","true","0","22","false","true","false","false","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","211","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","3","0","true",,,,,,,,,,,,
"2","2","0","true",,,,,,,,,,,,
"3","6","0","true",,,,,,,,,,,,
"4","2","0","true",,,,,,,,,,,,
"5","6","0","true",,,,,,,,,,,,
"6","4","0","true",,,,,,,,,,,,
"7","12","0","true",,,,,,,,,,,,
"8","2","0","true",,,,,,,,,,,,
"9","6","0","true",,,,,,,,,,,,
"10","4","0","true",,,,,,,,,,,,
"11","12","0","true",,,,,,,,,,,,
"12","4","0","true",,,,,,,,,,,,
"13","12","0","true",,,,,,,,,,,,
"14","8","0","true",,,,,,,,,,,,
"15","24","0","true",,,,,,,,,,,,
"16","2","0","true",,,,,,,,,,,,
"17","6","0","true",,,,,,,,,,,,
"18","4","0","true",,,,,,,,,,,,
"19","12","0","true",,,,,,,,,,,,
"20","4","0","true",,,,,,,,,,,,
"21","12","0","true",,,,,,,,,,,,
"22","8","0","true",,,,,,,,,,,,
"23","24","0","true",,,,,,,,,,,,
"24","4","0","true",,,,,,,,,,,,
"25","12","0","true",,,,,,,,,,,,
"26","8","0","true",,,,,,,,,,,,
"27","24","0","true",,,,,,,,,,,,
"28","8","0","true",,,,,,,,,,,,
"29","24","0","true",,,,,,,,,,,,
"30","16","0","true",,,,,,,,,,,,
"31","48","0","true",,,,,,,,,,,,
"32","2","0","true",,,,,,,,,,,,
"33","6","0","true",,,,,,,,,,,,
"34","4","0","true",,,,,,,,,,,,
"35","12","0","true",,,,,,,,,,,,
"36","4","0","true",,,,,,,,,,,,
"37","12","0","true",,,,,,,,,,,,
"38","8","0","true",,,,,,,,,,,,
"39","24","0","true",,,,,,,,,,,,
"40","4","0","true",,,,,,,,,,,,
"41","12","0","true",,,,,,,,,,,,
"42","8","0","true",,,,,,,,,,,,
"43","24","0","true",,,,,,,,,,,,
"44","8","0","true",,,,,,,,,,,,
"45","24","0","true",,,,,,,,,,,,
"46","16","0","true",,,,,,,,,,,,
"47","48","0","true",,,,,,,,,,,,
"48","4","0","true",,,,,,,,,,,,
"49","12","0","true",,,,,,,,,,,,
"50","8","0","true",,,,,,,,,,,,
"51","24","0","true",,,,,,,,,,,,
"52","8","0","true",,,,,,,,,,,,
"53","24","0","true",,,,,,,,,,,,
"54","16","0","true",,,,,,,,,,,,
"55","48","0","true",,,,,,,,,,,,
"56","8","0","true",,,,,,,,,,,,
"57","24","0","true",,,,,,,,,,,,
"58","16","0","true",,,,,,,,,,,,
"59","48","0","true",,,,,,,,,,,,
"60","16","0","true",,,,,,,,,,,,
"61","48","0","true",,,,,,,,,,,,
"62","32","0","true",,,,,,,,,,,,
"63","96","0","true",,,,,,,,,,,,
"64","2","0","true",,,,,,,,,,,,
"65","6","0","true",,,,,,,,,,,,
"66","4","0","true",,,,,,,,,,,,
"67","12","0","true",,,,,,,,,,,,
"68","4","0","true",,,,,,,,,,,,
"69","12","0","true",,,,,,,,,,,,
"70","8","0","true",,,,,,,,,,,,
"71","24","0","true",,,,,,,,,,,,
"72","4","0","true",,,,,,,,,,,,
"73","12","0","true",,,,,,,,,,,,
"74","8","0","true",,,,,,,,,,,,
"75","24","0","true",,,,,,,,,,,,
"76","8","0","true",,,,,,,,,,,,
"77","24","0","true",,,,,,,,,,,,
"78","16","0","true",,,,,,,,,,,,
"79","48","0","true",,,,,,,,,,,,
"80","4","0","true",,,,,,,,,,,,
"81","12","0","true",,,,,,,,,,,,
"82","8","0","true",,,,,,,,,,,,
"83","24","0","true",,,,,,,,,,,,
"84","8","0","true",,,,,,,,,,,,
"85","24","0","true",,,,,,,,,,,,
"86","16","0","true",,,,,,,,,,,,
"87","48","0","true",,,,,,,,,,,,
"88","8","0","true",,,,,,,,,,,,
"89","24","0","true",,,,,,,,,,,,
"90","16","0","true",,,,,,,,,,,,
"91","48","0","true",,,,,,,,,,,,
"92","16","0","true",,,,,,,,,,,,
"93","48","0","true",,,,,,,,,,,,
"94","32","0","true",,,,,,,,,,,,
"95","96","0","true",,,,,,,,,,,,
"96","4","0","true",,,,,,,,,,,,
"97","12","0","true",,,,,,,,,,,,
"98","8","0","true",,,,,,,,,,,,
"99","24","0","true",,,,,,,,,,,,
"100","8","0","true",,,,,,,,,,,,
"101","24","0","true",,,,,,,,,,,,
"102","16","0","true",,,,,,,,,,,,
"103","48","0","true",,,,,,,,,,,,
"104","8","0","true",,,,,,,,,,,,
"105","24","0","true",,,,,,,,,,,,
"106","16","0","true",,,,,,,,,,,,
"107","48","0","true",,,,,,,,,,,,
"108","16","0","true",,,,,,,,,,,,
"109","48","0","true",,,,,,,,,,,,
"110","32","0","true",,,,,,,,,,,,
"111","96","0","true",,,,,,,,,,,,
"112","8","0","true",,,,,,,,,,,,
"113","24","0","true",,,,,,,,,,,,
"114","16","0","true",,,,,,,,,,,,
"115","48","0","true",,,,,,,,,,,,
"116","16","0","true",,,,,,,,,,,,
"117","48","0","true",,,,,,,,,,,,
"118","32","0","true",,,,,,,,,,,,
"119","96","0","true",,,,,,,,,,,,
"120","16","0","true",,,,,,,,,,,,
"121","48","0","true",,,,,,,,,,,,
"122","32","0","true",,,,,,,,,,,,
"123","96","0","true",,,,,,,,,,,,
"124","32","0","true",,,,,,,,,,,,
"125","96","0","true",,,,,,,,,,,,
"126","64","0","true",,,,,,,,,,,,
"127","192","0","true",,,,,,,,,,,,
"128","2","0","true",,,,,,,,,,,,
"129","2","0","true",,,,,,,,,,,,
"130","6","0","true",,,,,,,,,,,,
"131","2","0","true",,,,,,,,,,,,
"132","6","0","true",,,,,,,,,,,,
"133","4","0","true",,,,,,,,,,,,
"134","12","0","true",,,,,,,,,,,,
"135","2","0","true",,,,,,,,,,,,
"136","6","0","true",,,,,,,,,,,,
"137","4","0","true",,,,,,,,,,,,
"138","12","0","true",,,,,,,,,,,,
"139","4","0","true",,,,,,,,,,,,
"140","12","0","true",,,,,,,,,,,,
"141","8","0","true",,,,,,,,,,,,
"142","24","0","true",,,,,,,,,,,,
"143","2","0","true",,,,,,,,,,,,
"144","6","0","true",,,,,,,,,,,,
"145","4","0","true",,,,,,,,,,,,
"146","12","0","true",,,,,,,,,,,,
"147","4","0","true",,,,,,,,,,,,
"148","12","0","true",,,,,,,,,,,,
"149","8","0","true",,,,,,,,,,,,
"150","24","0","true",,,,,,,,,,,,
"151","4","0","true",,,,,,,,,,,,
"152","12","0","true",,,,,,,,,,,,
"153","8","0","true",,,,,,,,,,,,
"154","24","0","true",,,,,,,,,,,,
"155","8","0","true",,,,,,,,,,,,
"156","24","0","true",,,,,,,,,,,,
"157","16","0","true",,,,,,,,,,,,
"158","48","0","true",,,,,,,,,,,,
"159","2","0","true",,,,,,,,,,,,
"160","6","0","true",,,,,,,,,,,,
"161","4","0","true",,,,,,,,,,,,
"162","12","0","true",,,,,,,,,,,,
"163","4","0","true",,,,,,,,,,,,
"164","12","0","true",,,,,,,,,,,,
"165","8","0","true",,,,,,,,,,,,
"166","24","0","true",,,,,,,,,,,,
"167","4","0","true",,,,,,,,,,,,
"168","12","0","true",,,,,,,,,,,,
"169","8","0","true",,,,,,,,,,,,
"170","24","0","true",,,,,,,,,,,,
"171","8","0","true",,,,,,,,,,,,
"172","24","0","true",,,,,,,,,,,,
"173","16","0","true",,,,,,,,,,,,
"174","48","0","true",,,,,,,,,,,,
"175","4","0","true",,,,,,,,,,,,
"176","12","0","true",,,,,,,,,,,,
"177","8","0","true",,,,,,,,,,,,
"178","24","0","true",,,,,,,,,,,,
"179","8","0","true",,,,,,,,,,,,
"180","24","0","true",,,,,,,,,,,,
"181","16","0","true",,,,,,,,,,,,
"182","48","0","true",,,,,,,,,,,,
"183","8","0","true",,,,,,,,,,,,
"184","24","0","true",,,,,,,,,,,,
"185","16","0","true",,,,,,,,,,,,
"186","48","0","true",,,,,,,,,,,,
"187","16","0","true",,,,,,,,,,,,
"188","48","0","true",,,,,,,,,,,,
"189","32","0","true",,,,,,,,,,,,
"190","96","0","true",,,,,,,,,,,,
"191","2","0","true",,,,,,,,,,,,
"192","6","0","true",,,,,,,,,,,,
"193","4","0","true",,,,,,,,,,,,
"194","12","0","true",,,,,,,,,,,,
"195","4","0","true",,,,,,,,,,,,
"196","12","0","true",,,,,,,,,,,,
"197","8","0","true",,,,,,,,,,,,
"198","24","0","true",,,,,,,,,,,,
"199","4","0","true",,,,,,,,,,,,
"200","12","0","true",,,,,,,,,,,,
"201","8","0","true",,,,,,,,,,,,
"202","24","0","true",,,,,,,,,,,,
"203","8","0","true",,,,,,,,,,,,
"204","24","0","true",,,,,,,,,,,,
"205","16","0","true",,,,,,,,,,,,
"206","48","0","true",,,,,,,,,,,,
"207","4","0","true",,,,,,,,,,,,
"208","12","0","true",,,,,,,,,,,,
"209","8","0","true",,,,,,,,,,,,
"210","24","0","true",,,,,,,,,,,,
"211","8","0","true",,,,,,,,,,,,
"212","24","0","true",,,,,,,,,,,,
"213","16","0","true",,,,,,,,,,,,
"214","48","0","true",,,,,,,,,,,,
"215","8","0","true",,,,,,,,,,,,
"216","24","0","true",,,,,,,,,,,,
"217","16","0","true",,,,,,,,,,,,
"218","48","0","true",,,,,,,,,,,,
"219","16","0","true",,,,,,,,,,,,
"220","48","0","true",,,,,,,,,,,,
"221","32","0","true",,,,,,,,,,,,
"222","96","0","true",,,,,,,,,,,,
"223","4","0","true",,,,,,,,,,,,
"224","12","0","true",,,,,,,,,,,,
"225","8","0","true",,,,,,,,,,,,
"226","24","0","true",,,,,,,,,,,,
"227","8","0","true",,,,,,,,,,,,
"228","24","0","true",,,,,,,,,,,,
"229","16","0","true",,,,,,,,,,,,
"230","48","0","true",,,,,,,,,,,,
"231","8","0","true",,,,,,,,,,,,
"232","24","0","true",,,,,,,,,,,,
"233","16","0","true",,,,,,,,,,,,
"234","48","0","true",,,,,,,,,,,,
"235","16","0","true",,,,,,,,,,,,
"236","48","0","true",,,,,,,,,,,,
"237","32","0","true",,,,,,,,,,,,
"238","96","0","true",,,,,,,,,,,,
"239","8","0","true",,,,,,,,,,,,
"240","24","0","true",,,,,,,,,,,,
"241","16","0","true",,,,,,,,,,,,
"242","48","0","true",,,,,,,,,,,,
"243","16","0","true",,,,,,,,,,,,
"244","48","0","true",,,,,,,,,,,,
"245","32","0","true",,,,,,,,,,,,
"246","96","0","true",,,,,,,,,,,,
"247","16","0","true",,,,,,,,,,,,
"248","48","0","true",,,,,,,,,,,,
"249","32","0","true",,,,,,,,,,,,
"250","96","0","true",,,,,,,,,,,,
"251","32","0","true",,,,,,,,,,,,
"252","96","0","true",,,,,,,,,,,,
"253","64","0","true",,,,,,,,,,,,
"254","192","0","true",,,,,,,,,,,,
"255","2","0","true",,,,,,,,,,,,
"256","4","0","true",,,,,,,,,,,,
"257","2","0","true",,,,,,,,,,,,
"258","6","0","true",,,,,,,,,,,,
