"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:53:22:143 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"false","10","true","true","0","23","false","true","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","276","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","251","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","255","0","true",,,,,,,,,,,,
"4","2","0","true",,,,,,,,,,,,
"5","255","0","true",,,,,,,,,,,,
"6","2","0","true",,,,,,,,,,,,
"7","255","0","true",,,,,,,,,,,,
"8","2","0","true",,,,,,,,,,,,
"9","255","0","true",,,,,,,,,,,,
"10","2","0","true",,,,,,,,,,,,
"11","255","0","true",,,,,,,,,,,,
"12","2","0","true",,,,,,,,,,,,
"13","255","0","true",,,,,,,,,,,,
"14","2","0","true",,,,,,,,,,,,
"15","255","0","true",,,,,,,,,,,,
"16","2","0","true",,,,,,,,,,,,
"17","255","0","true",,,,,,,,,,,,
"18","2","0","true",,,,,,,,,,,,
"19","255","0","true",,,,,,,,,,,,
"20","2","0","true",,,,,,,,,,,,
"21","255","0","true",,,,,,,,,,,,
"22","2","0","true",,,,,,,,,,,,
"23","255","0","true",,,,,,,,,,,,
"24","2","0","true",,,,,,,,,,,,
"25","255","0","true",,,,,,,,,,,,
"26","2","0","true",,,,,,,,,,,,
"27","255","0","true",,,,,,,,,,,,
"28","2","0","true",,,,,,,,,,,,
"29","255","0","true",,,,,,,,,,,,
"30","2","0","true",,,,,,,,,,,,
"31","255","0","true",,,,,,,,,,,,
"32","2","0","true",,,,,,,,,,,,
"33","255","0","true",,,,,,,,,,,,
"34","2","0","true",,,,,,,,,,,,
"35","255","0","true",,,,,,,,,,,,
"36","2","0","true",,,,,,,,,,,,
"37","255","0","true",,,,,,,,,,,,
"38","2","0","true",,,,,,,,,,,,
"39","255","0","true",,,,,,,,,,,,
