"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:57:37:478 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","false","true","0","25","false","false","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","245","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","223","0","true",,,,,,,,,,,,
"2","32","0","true",,,,,,,,,,,,
"3","196","0","true",,,,,,,,,,,,
"4","58","0","true",,,,,,,,,,,,
"5","184","0","true",,,,,,,,,,,,
"6","58","0","true",,,,,,,,,,,,
"7","187","0","true",,,,,,,,,,,,
"8","54","0","true",,,,,,,,,,,,
"9","189","0","true",,,,,,,,,,,,
"10","54","0","true",,,,,,,,,,,,
"11","190","0","true",,,,,,,,,,,,
"12","55","0","true",,,,,,,,,,,,
"13","185","0","true",,,,,,,,,,,,
"14","62","0","true",,,,,,,,,,,,
"15","180","0","true",,,,,,,,,,,,
"16","63","0","true",,,,,,,,,,,,
"17","183","0","true",,,,,,,,,,,,
"18","58","0","true",,,,,,,,,,,,
"19","186","0","true",,,,,,,,,,,,
"20","58","0","true",,,,,,,,,,,,
"21","185","0","true",,,,,,,,,,,,
"22","58","0","true",,,,,,,,,,,,
"23","185","0","true",,,,,,,,,,,,
"24","59","0","true",,,,,,,,,,,,
"25","183","0","true",,,,,,,,,,,,
"26","61","0","true",,,,,,,,,,,,
"27","183","0","true",,,,,,,,,,,,
"28","59","0","true",,,,,,,,,,,,
"29","185","0","true",,,,,,,,,,,,
"30","58","0","true",,,,,,,,,,,,
"31","185","0","true",,,,,,,,,,,,
"32","59","0","true",,,,,,,,,,,,
"33","183","0","true",,,,,,,,,,,,
"34","61","0","true",,,,,,,,,,,,
"35","182","0","true",,,,,,,,,,,,
"36","61","0","true",,,,,,,,,,,,
"37","182","0","true",,,,,,,,,,,,
"38","61","0","true",,,,,,,,,,,,
"39","182","0","true",,,,,,,,,,,,
"40","61","0","true",,,,,,,,,,,,
"41","182","0","true",,,,,,,,,,,,
"42","61","0","true",,,,,,,,,,,,
"43","182","0","true",,,,,,,,,,,,
"44","61","0","true",,,,,,,,,,,,
"45","182","0","true",,,,,,,,,,,,
"46","61","0","true",,,,,,,,,,,,
"47","182","0","true",,,,,,,,,,,,
"48","61","0","true",,,,,,,,,,,,
"49","182","0","true",,,,,,,,,,,,
"50","61","0","true",,,,,,,,,,,,
"51","182","0","true",,,,,,,,,,,,
"52","61","0","true",,,,,,,,,,,,
"53","182","0","true",,,,,,,,,,,,
"54","61","0","true",,,,,,,,,,,,
"55","182","0","true",,,,,,,,,,,,
"56","61","0","true",,,,,,,,,,,,
"57","182","0","true",,,,,,,,,,,,
"58","61","0","true",,,,,,,,,,,,
"59","182","0","true",,,,,,,,,,,,
"60","61","0","true",,,,,,,,,,,,
"61","182","0","true",,,,,,,,,,,,
"62","61","0","true",,,,,,,,,,,,
"63","182","0","true",,,,,,,,,,,,
"64","61","0","true",,,,,,,,,,,,
"65","182","0","true",,,,,,,,,,,,
"66","61","0","true",,,,,,,,,,,,
"67","182","0","true",,,,,,,,,,,,
"68","61","0","true",,,,,,,,,,,,
"69","182","0","true",,,,,,,,,,,,
"70","61","0","true",,,,,,,,,,,,
"71","182","0","true",,,,,,,,,,,,
"72","61","0","true",,,,,,,,,,,,
"73","182","0","true",,,,,,,,,,,,
"74","61","0","true",,,,,,,,,,,,
"75","182","0","true",,,,,,,,,,,,
"76","61","0","true",,,,,,,,,,,,
"77","182","0","true",,,,,,,,,,,,
"78","61","0","true",,,,,,,,,,,,
"79","182","0","true",,,,,,,,,,,,
"80","61","0","true",,,,,,,,,,,,
"81","182","0","true",,,,,,,,,,,,
"82","61","0","true",,,,,,,,,,,,
"83","182","0","true",,,,,,,,,,,,
"84","61","0","true",,,,,,,,,,,,
"85","182","0","true",,,,,,,,,,,,
"86","61","0","true",,,,,,,,,,,,
"87","182","0","true",,,,,,,,,,,,
"88","61","0","true",,,,,,,,,,,,
"89","182","0","true",,,,,,,,,,,,
"90","61","0","true",,,,,,,,,,,,
"91","182","0","true",,,,,,,,,,,,
"92","61","0","true",,,,,,,,,,,,
"93","182","0","true",,,,,,,,,,,,
"94","61","0","true",,,,,,,,,,,,
"95","182","0","true",,,,,,,,,,,,
"96","61","0","true",,,,,,,,,,,,
"97","182","0","true",,,,,,,,,,,,
"98","61","0","true",,,,,,,,,,,,
"99","182","0","true",,,,,,,,,,,,
"100","61","0","true",,,,,,,,,,,,
"101","182","0","true",,,,,,,,,,,,
"102","61","0","true",,,,,,,,,,,,
"103","182","0","true",,,,,,,,,,,,
"104","61","0","true",,,,,,,,,,,,
"105","182","0","true",,,,,,,,,,,,
"106","61","0","true",,,,,,,,,,,,
"107","182","0","true",,,,,,,,,,,,
"108","61","0","true",,,,,,,,,,,,
"109","182","0","true",,,,,,,,,,,,
"110","61","0","true",,,,,,,,,,,,
"111","182","0","true",,,,,,,,,,,,
"112","61","0","true",,,,,,,,,,,,
"113","182","0","true",,,,,,,,,,,,
"114","61","0","true",,,,,,,,,,,,
"115","182","0","true",,,,,,,,,,,,
"116","61","0","true",,,,,,,,,,,,
"117","182","0","true",,,,,,,,,,,,
"118","61","0","true",,,,,,,,,,,,
"119","182","0","true",,,,,,,,,,,,
"120","61","0","true",,,,,,,,,,,,
"121","182","0","true",,,,,,,,,,,,
"122","61","0","true",,,,,,,,,,,,
"123","182","0","true",,,,,,,,,,,,
"124","61","0","true",,,,,,,,,,,,
"125","182","0","true",,,,,,,,,,,,
"126","61","0","true",,,,,,,,,,,,
"127","182","0","true",,,,,,,,,,,,
"128","61","0","true",,,,,,,,,,,,
"129","182","0","true",,,,,,,,,,,,
"130","61","0","true",,,,,,,,,,,,
"131","182","0","true",,,,,,,,,,,,
"132","61","0","true",,,,,,,,,,,,
"133","182","0","true",,,,,,,,,,,,
"134","61","0","true",,,,,,,,,,,,
"135","182","0","true",,,,,,,,,,,,
"136","61","0","true",,,,,,,,,,,,
"137","182","0","true",,,,,,,,,,,,
"138","61","0","true",,,,,,,,,,,,
"139","182","0","true",,,,,,,,,,,,
"140","61","0","true",,,,,,,,,,,,
"141","182","0","true",,,,,,,,,,,,
"142","61","0","true",,,,,,,,,,,,
"143","182","0","true",,,,,,,,,,,,
"144","61","0","true",,,,,,,,,,,,
"145","182","0","true",,,,,,,,,,,,
"146","61","0","true",,,,,,,,,,,,
"147","182","0","true",,,,,,,,,,,,
