"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:56:33:823 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","false","true","0","25","false","false","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","281","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","255","0","true",,,,,,,,,,,,
"2","2","0","true",,,,,,,,,,,,
"3","253","0","true",,,,,,,,,,,,
"4","4","0","true",,,,,,,,,,,,
"5","252","0","true",,,,,,,,,,,,
"6","4","0","true",,,,,,,,,,,,
"7","252","0","true",,,,,,,,,,,,
"8","4","0","true",,,,,,,,,,,,
"9","252","0","true",,,,,,,,,,,,
"10","4","0","true",,,,,,,,,,,,
"11","252","0","true",,,,,,,,,,,,
"12","4","0","true",,,,,,,,,,,,
"13","252","0","true",,,,,,,,,,,,
"14","4","0","true",,,,,,,,,,,,
"15","252","0","true",,,,,,,,,,,,
"16","4","0","true",,,,,,,,,,,,
"17","252","0","true",,,,,,,,,,,,
"18","4","0","true",,,,,,,,,,,,
"19","252","0","true",,,,,,,,,,,,
"20","4","0","true",,,,,,,,,,,,
"21","252","0","true",,,,,,,,,,,,
"22","4","0","true",,,,,,,,,,,,
"23","252","0","true",,,,,,,,,,,,
"24","4","0","true",,,,,,,,,,,,
"25","252","0","true",,,,,,,,,,,,
"26","4","0","true",,,,,,,,,,,,
"27","252","0","true",,,,,,,,,,,,
"28","4","0","true",,,,,,,,,,,,
"29","252","0","true",,,,,,,,,,,,
"30","4","0","true",,,,,,,,,,,,
"31","252","0","true",,,,,,,,,,,,
"32","4","0","true",,,,,,,,,,,,
"33","252","0","true",,,,,,,,,,,,
"34","4","0","true",,,,,,,,,,,,
"35","252","0","true",,,,,,,,,,,,
"36","4","0","true",,,,,,,,,,,,
"37","252","0","true",,,,,,,,,,,,
"38","4","0","true",,,,,,,,,,,,
"39","252","0","true",,,,,,,,,,,,
"40","4","0","true",,,,,,,,,,,,
"41","252","0","true",,,,,,,,,,,,
"42","4","0","true",,,,,,,,,,,,
"43","252","0","true",,,,,,,,,,,,
"44","4","0","true",,,,,,,,,,,,
"45","252","0","true",,,,,,,,,,,,
"46","4","0","true",,,,,,,,,,,,
"47","252","0","true",,,,,,,,,,,,
"48","4","0","true",,,,,,,,,,,,
"49","252","0","true",,,,,,,,,,,,
"50","4","0","true",,,,,,,,,,,,
"51","252","0","true",,,,,,,,,,,,
"52","4","0","true",,,,,,,,,,,,
"53","252","0","true",,,,,,,,,,,,
"54","4","0","true",,,,,,,,,,,,
"55","252","0","true",,,,,,,,,,,,
"56","4","0","true",,,,,,,,,,,,
"57","252","0","true",,,,,,,,,,,,
"58","4","0","true",,,,,,,,,,,,
"59","252","0","true",,,,,,,,,,,,
"60","4","0","true",,,,,,,,,,,,
"61","252","0","true",,,,,,,,,,,,
"62","4","0","true",,,,,,,,,,,,
"63","252","0","true",,,,,,,,,,,,
"64","4","0","true",,,,,,,,,,,,
"65","252","0","true",,,,,,,,,,,,
"66","4","0","true",,,,,,,,,,,,
"67","252","0","true",,,,,,,,,,,,
"68","4","0","true",,,,,,,,,,,,
"69","252","0","true",,,,,,,,,,,,
"70","4","0","true",,,,,,,,,,,,
"71","252","0","true",,,,,,,,,,,,
"72","4","0","true",,,,,,,,,,,,
"73","252","0","true",,,,,,,,,,,,
"74","4","0","true",,,,,,,,,,,,
"75","252","0","true",,,,,,,,,,,,
"76","4","0","true",,,,,,,,,,,,
"77","252","0","true",,,,,,,,,,,,
"78","4","0","true",,,,,,,,,,,,
"79","252","0","true",,,,,,,,,,,,
"80","4","0","true",,,,,,,,,,,,
"81","252","0","true",,,,,,,,,,,,
"82","4","0","true",,,,,,,,,,,,
"83","252","0","true",,,,,,,,,,,,
"84","4","0","true",,,,,,,,,,,,
"85","252","0","true",,,,,,,,,,,,
"86","4","0","true",,,,,,,,,,,,
"87","252","0","true",,,,,,,,,,,,
"88","4","0","true",,,,,,,,,,,,
"89","252","0","true",,,,,,,,,,,,
"90","4","0","true",,,,,,,,,,,,
"91","252","0","true",,,,,,,,,,,,
"92","4","0","true",,,,,,,,,,,,
"93","252","0","true",,,,,,,,,,,,
"94","4","0","true",,,,,,,,,,,,
"95","252","0","true",,,,,,,,,,,,
"96","4","0","true",,,,,,,,,,,,
"97","252","0","true",,,,,,,,,,,,
"98","4","0","true",,,,,,,,,,,,
"99","252","0","true",,,,,,,,,,,,
"100","4","0","true",,,,,,,,,,,,
"101","252","0","true",,,,,,,,,,,,
"102","4","0","true",,,,,,,,,,,,
"103","252","0","true",,,,,,,,,,,,
"104","4","0","true",,,,,,,,,,,,
"105","252","0","true",,,,,,,,,,,,
"106","4","0","true",,,,,,,,,,,,
"107","252","0","true",,,,,,,,,,,,
"108","4","0","true",,,,,,,,,,,,
"109","252","0","true",,,,,,,,,,,,
"110","4","0","true",,,,,,,,,,,,
"111","252","0","true",,,,,,,,,,,,
"112","4","0","true",,,,,,,,,,,,
"113","252","0","true",,,,,,,,,,,,
"114","4","0","true",,,,,,,,,,,,
"115","252","0","true",,,,,,,,,,,,
"116","4","0","true",,,,,,,,,,,,
"117","252","0","true",,,,,,,,,,,,
"118","4","0","true",,,,,,,,,,,,
"119","252","0","true",,,,,,,,,,,,
"120","4","0","true",,,,,,,,,,,,
"121","252","0","true",,,,,,,,,,,,
"122","4","0","true",,,,,,,,,,,,
"123","252","0","true",,,,,,,,,,,,
"124","4","0","true",,,,,,,,,,,,
"125","252","0","true",,,,,,,,,,,,
"126","4","0","true",,,,,,,,,,,,
"127","252","0","true",,,,,,,,,,,,
"128","4","0","true",,,,,,,,,,,,
"129","252","0","true",,,,,,,,,,,,
"130","4","0","true",,,,,,,,,,,,
"131","252","0","true",,,,,,,,,,,,
"132","4","0","true",,,,,,,,,,,,
"133","252","0","true",,,,,,,,,,,,
"134","4","0","true",,,,,,,,,,,,
"135","252","0","true",,,,,,,,,,,,
"136","4","0","true",,,,,,,,,,,,
"137","252","0","true",,,,,,,,,,,,
"138","4","0","true",,,,,,,,,,,,
"139","252","0","true",,,,,,,,,,,,
"140","4","0","true",,,,,,,,,,,,
"141","252","0","true",,,,,,,,,,,,
"142","4","0","true",,,,,,,,,,,,
"143","252","0","true",,,,,,,,,,,,
"144","4","0","true",,,,,,,,,,,,
"145","252","0","true",,,,,,,,,,,,
"146","4","0","true",,,,,,,,,,,,
"147","252","0","true",,,,,,,,,,,,
"148","4","0","true",,,,,,,,,,,,
"149","252","0","true",,,,,,,,,,,,
"150","4","0","true",,,,,,,,,,,,
"151","252","0","true",,,,,,,,,,,,
"152","4","0","true",,,,,,,,,,,,
"153","252","0","true",,,,,,,,,,,,
"154","4","0","true",,,,,,,,,,,,
"155","252","0","true",,,,,,,,,,,,
"156","4","0","true",,,,,,,,,,,,
"157","252","0","true",,,,,,,,,,,,
"158","4","0","true",,,,,,,,,,,,
"159","252","0","true",,,,,,,,,,,,
"160","4","0","true",,,,,,,,,,,,
"161","252","0","true",,,,,,,,,,,,
"162","4","0","true",,,,,,,,,,,,
"163","252","0","true",,,,,,,,,,,,
"164","4","0","true",,,,,,,,,,,,
"165","252","0","true",,,,,,,,,,,,
"166","4","0","true",,,,,,,,,,,,
"167","252","0","true",,,,,,,,,,,,
"168","4","0","true",,,,,,,,,,,,
"169","252","0","true",,,,,,,,,,,,
"170","4","0","true",,,,,,,,,,,,
"171","252","0","true",,,,,,,,,,,,
"172","4","0","true",,,,,,,,,,,,
"173","252","0","true",,,,,,,,,,,,
"174","4","0","true",,,,,,,,,,,,
"175","252","0","true",,,,,,,,,,,,
"176","4","0","true",,,,,,,,,,,,
"177","252","0","true",,,,,,,,,,,,
"178","4","0","true",,,,,,,,,,,,
"179","252","0","true",,,,,,,,,,,,
"180","4","0","true",,,,,,,,,,,,
"181","252","0","true",,,,,,,,,,,,
"182","4","0","true",,,,,,,,,,,,
"183","252","0","true",,,,,,,,,,,,
"184","4","0","true",,,,,,,,,,,,
"185","252","0","true",,,,,,,,,,,,
"186","4","0","true",,,,,,,,,,,,
"187","252","0","true",,,,,,,,,,,,
"188","4","0","true",,,,,,,,,,,,
"189","252","0","true",,,,,,,,,,,,
"190","4","0","true",,,,,,,,,,,,
"191","252","0","true",,,,,,,,,,,,
"192","4","0","true",,,,,,,,,,,,
"193","252","0","true",,,,,,,,,,,,
"194","4","0","true",,,,,,,,,,,,
"195","252","0","true",,,,,,,,,,,,
"196","4","0","true",,,,,,,,,,,,
"197","252","0","true",,,,,,,,,,,,
"198","4","0","true",,,,,,,,,,,,
"199","252","0","true",,,,,,,,,,,,
"200","4","0","true",,,,,,,,,,,,
"201","252","0","true",,,,,,,,,,,,
"202","4","0","true",,,,,,,,,,,,
"203","252","0","true",,,,,,,,,,,,
"204","4","0","true",,,,,,,,,,,,
"205","252","0","true",,,,,,,,,,,,
"206","4","0","true",,,,,,,,,,,,
"207","252","0","true",,,,,,,,,,,,
"208","4","0","true",,,,,,,,,,,,
"209","252","0","true",,,,,,,,,,,,
"210","4","0","true",,,,,,,,,,,,
"211","252","0","true",,,,,,,,,,,,
"212","4","0","true",,,,,,,,,,,,
"213","252","0","true",,,,,,,,,,,,
"214","4","0","true",,,,,,,,,,,,
"215","252","0","true",,,,,,,,,,,,
"216","4","0","true",,,,,,,,,,,,
"217","252","0","true",,,,,,,,,,,,
"218","4","0","true",,,,,,,,,,,,
"219","252","0","true",,,,,,,,,,,,
"220","4","0","true",,,,,,,,,,,,
"221","252","0","true",,,,,,,,,,,,
"222","4","0","true",,,,,,,,,,,,
"223","252","0","true",,,,,,,,,,,,
"224","4","0","true",,,,,,,,,,,,
"225","252","0","true",,,,,,,,,,,,
"226","4","0","true",,,,,,,,,,,,
"227","252","0","true",,,,,,,,,,,,
"228","4","0","true",,,,,,,,,,,,
"229","252","0","true",,,,,,,,,,,,
"230","4","0","true",,,,,,,,,,,,
"231","252","0","true",,,,,,,,,,,,
"232","4","0","true",,,,,,,,,,,,
"233","252","0","true",,,,,,,,,,,,
"234","4","0","true",,,,,,,,,,,,
"235","252","0","true",,,,,,,,,,,,
"236","4","0","true",,,,,,,,,,,,
"237","252","0","true",,,,,,,,,,,,
"238","4","0","true",,,,,,,,,,,,
"239","252","0","true",,,,,,,,,,,,
"240","4","0","true",,,,,,,,,,,,
"241","252","0","true",,,,,,,,,,,,
"242","4","0","true",,,,,,,,,,,,
"243","252","0","true",,,,,,,,,,,,
"244","4","0","true",,,,,,,,,,,,
"245","252","0","true",,,,,,,,,,,,
"246","4","0","true",,,,,,,,,,,,
"247","252","0","true",,,,,,,,,,,,
"248","4","0","true",,,,,,,,,,,,
"249","252","0","true",,,,,,,,,,,,
"250","4","0","true",,,,,,,,,,,,
"251","252","0","true",,,,,,,,,,,,
"252","4","0","true",,,,,,,,,,,,
"253","252","0","true",,,,,,,,,,,,
"254","4","0","true",,,,,,,,,,,,
"255","252","0","true",,,,,,,,,,,,
"256","4","0","true",,,,,,,,,,,,
"257","252","0","true",,,,,,,,,,,,
"258","4","0","true",,,,,,,,,,,,
"259","252","0","true",,,,,,,,,,,,
"260","4","0","true",,,,,,,,,,,,
"261","252","0","true",,,,,,,,,,,,
"262","4","0","true",,,,,,,,,,,,
"263","252","0","true",,,,,,,,,,,,
"264","4","0","true",,,,,,,,,,,,
"265","252","0","true",,,,,,,,,,,,
"266","4","0","true",,,,,,,,,,,,
"267","252","0","true",,,,,,,,,,,,
"268","4","0","true",,,,,,,,,,,,
"269","252","0","true",,,,,,,,,,,,
"270","4","0","true",,,,,,,,,,,,
"271","252","0","true",,,,,,,,,,,,
"272","4","0","true",,,,,,,,,,,,
"273","252","0","true",,,,,,,,,,,,
"274","4","0","true",,,,,,,,,,,,
"275","252","0","true",,,,,,,,,,,,
"276","4","0","true",,,,,,,,,,,,
"277","252","0","true",,,,,,,,,,,,
"278","4","0","true",,,,,,,,,,,,
"279","252","0","true",,,,,,,,,,,,
"280","4","0","true",,,,,,,,,,,,
"281","252","0","true",,,,,,,,,,,,
"282","4","0","true",,,,,,,,,,,,
