"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 22:59:37:502 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","true","true","0","26","false","false","false","true","false","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","124","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","55","0","true",,,,,,,,,,,,
"2","51","0","true",,,,,,,,,,,,
"3","90","0","true",,,,,,,,,,,,
"4","47","0","true",,,,,,,,,,,,
"5","76","0","true",,,,,,,,,,,,
"6","70","0","true",,,,,,,,,,,,
"7","113","0","true",,,,,,,,,,,,
"8","32","0","true",,,,,,,,,,,,
"9","55","0","true",,,,,,,,,,,,
"10","48","0","true",,,,,,,,,,,,
"11","80","0","true",,,,,,,,,,,,
"12","43","0","true",,,,,,,,,,,,
"13","66","0","true",,,,,,,,,,,,
"14","60","0","true",,,,,,,,,,,,
"15","97","0","true",,,,,,,,,,,,
"16","33","0","true",,,,,,,,,,,,
"17","58","0","true",,,,,,,,,,,,
"18","54","0","true",,,,,,,,,,,,
"19","92","0","true",,,,,,,,,,,,
"20","48","0","true",,,,,,,,,,,,
"21","79","0","true",,,,,,,,,,,,
"22","72","0","true",,,,,,,,,,,,
"23","113","0","true",,,,,,,,,,,,
"24","29","0","true",,,,,,,,,,,,
"25","50","0","true",,,,,,,,,,,,
"26","46","0","true",,,,,,,,,,,,
"27","78","0","true",,,,,,,,,,,,
"28","40","0","true",,,,,,,,,,,,
"29","65","0","true",,,,,,,,,,,,
"30","60","0","true",,,,,,,,,,,,
"31","93","0","true",,,,,,,,,,,,
"32","32","0","true",,,,,,,,,,,,
"33","55","0","true",,,,,,,,,,,,
"34","52","0","true",,,,,,,,,,,,
"35","90","0","true",,,,,,,,,,,,
"36","47","0","true",,,,,,,,,,,,
"37","76","0","true",,,,,,,,,,,,
"38","70","0","true",,,,,,,,,,,,
"39","113","0","true",,,,,,,,,,,,
"40","32","0","true",,,,,,,,,,,,
"41","55","0","true",,,,,,,,,,,,
"42","48","0","true",,,,,,,,,,,,
"43","80","0","true",,,,,,,,,,,,
"44","43","0","true",,,,,,,,,,,,
"45","66","0","true",,,,,,,,,,,,
"46","60","0","true",,,,,,,,,,,,
"47","97","0","true",,,,,,,,,,,,
"48","33","0","true",,,,,,,,,,,,
"49","58","0","true",,,,,,,,,,,,
"50","54","0","true",,,,,,,,,,,,
"51","92","0","true",,,,,,,,,,,,
"52","48","0","true",,,,,,,,,,,,
"53","79","0","true",,,,,,,,,,,,
"54","72","0","true",,,,,,,,,,,,
"55","113","0","true",,,,,,,,,,,,
"56","29","0","true",,,,,,,,,,,,
"57","50","0","true",,,,,,,,,,,,
"58","46","0","true",,,,,,,,,,,,
"59","78","0","true",,,,,,,,,,,,
"60","40","0","true",,,,,,,,,,,,
"61","65","0","true",,,,,,,,,,,,
"62","60","0","true",,,,,,,,,,,,
"63","93","0","true",,,,,,,,,,,,
"64","32","0","true",,,,,,,,,,,,
"65","55","0","true",,,,,,,,,,,,
"66","52","0","true",,,,,,,,,,,,
"67","90","0","true",,,,,,,,,,,,
"68","47","0","true",,,,,,,,,,,,
"69","76","0","true",,,,,,,,,,,,
"70","70","0","true",,,,,,,,,,,,
"71","113","0","true",,,,,,,,,,,,
"72","32","0","true",,,,,,,,,,,,
"73","55","0","true",,,,,,,,,,,,
"74","48","0","true",,,,,,,,,,,,
"75","80","0","true",,,,,,,,,,,,
"76","43","0","true",,,,,,,,,,,,
"77","66","0","true",,,,,,,,,,,,
"78","60","0","true",,,,,,,,,,,,
"79","97","0","true",,,,,,,,,,,,
"80","33","0","true",,,,,,,,,,,,
"81","58","0","true",,,,,,,,,,,,
"82","54","0","true",,,,,,,,,,,,
"83","92","0","true",,,,,,,,,,,,
"84","48","0","true",,,,,,,,,,,,
"85","79","0","true",,,,,,,,,,,,
"86","72","0","true",,,,,,,,,,,,
"87","113","0","true",,,,,,,,,,,,
"88","29","0","true",,,,,,,,,,,,
"89","50","0","true",,,,,,,,,,,,
"90","46","0","true",,,,,,,,,,,,
"91","78","0","true",,,,,,,,,,,,
"92","40","0","true",,,,,,,,,,,,
"93","65","0","true",,,,,,,,,,,,
"94","60","0","true",,,,,,,,,,,,
"95","93","0","true",,,,,,,,,,,,
"96","32","0","true",,,,,,,,,,,,
"97","55","0","true",,,,,,,,,,,,
"98","52","0","true",,,,,,,,,,,,
"99","90","0","true",,,,,,,,,,,,
"100","47","0","true",,,,,,,,,,,,
"101","76","0","true",,,,,,,,,,,,
"102","70","0","true",,,,,,,,,,,,
"103","113","0","true",,,,,,,,,,,,
"104","32","0","true",,,,,,,,,,,,
"105","55","0","true",,,,,,,,,,,,
"106","48","0","true",,,,,,,,,,,,
"107","80","0","true",,,,,,,,,,,,
"108","43","0","true",,,,,,,,,,,,
"109","66","0","true",,,,,,,,,,,,
"110","60","0","true",,,,,,,,,,,,
"111","97","0","true",,,,,,,,,,,,
"112","33","0","true",,,,,,,,,,,,
"113","58","0","true",,,,,,,,,,,,
"114","54","0","true",,,,,,,,,,,,
"115","92","0","true",,,,,,,,,,,,
"116","48","0","true",,,,,,,,,,,,
"117","79","0","true",,,,,,,,,,,,
"118","72","0","true",,,,,,,,,,,,
"119","113","0","true",,,,,,,,,,,,
"120","29","0","true",,,,,,,,,,,,
"121","50","0","true",,,,,,,,,,,,
"122","46","0","true",,,,,,,,,,,,
"123","78","0","true",,,,,,,,,,,,
"124","40","0","true",,,,,,,,,,,,
"125","65","0","true",,,,,,,,,,,,
"126","60","0","true",,,,,,,,,,,,
"127","93","0","true",,,,,,,,,,,,
"128","32","0","true",,,,,,,,,,,,
"129","55","0","true",,,,,,,,,,,,
"130","52","0","true",,,,,,,,,,,,
"131","90","0","true",,,,,,,,,,,,
"132","47","0","true",,,,,,,,,,,,
"133","76","0","true",,,,,,,,,,,,
"134","70","0","true",,,,,,,,,,,,
"135","113","0","true",,,,,,,,,,,,
"136","32","0","true",,,,,,,,,,,,
"137","55","0","true",,,,,,,,,,,,
"138","48","0","true",,,,,,,,,,,,
"139","80","0","true",,,,,,,,,,,,
"140","43","0","true",,,,,,,,,,,,
"141","66","0","true",,,,,,,,,,,,
"142","60","0","true",,,,,,,,,,,,
"143","97","0","true",,,,,,,,,,,,
"144","33","0","true",,,,,,,,,,,,
"145","58","0","true",,,,,,,,,,,,
"146","54","0","true",,,,,,,,,,,,
"147","92","0","true",,,,,,,,,,,,
"148","48","0","true",,,,,,,,,,,,
"149","79","0","true",,,,,,,,,,,,
"150","72","0","true",,,,,,,,,,,,
"151","113","0","true",,,,,,,,,,,,
"152","29","0","true",,,,,,,,,,,,
"153","50","0","true",,,,,,,,,,,,
"154","46","0","true",,,,,,,,,,,,
"155","78","0","true",,,,,,,,,,,,
"156","40","0","true",,,,,,,,,,,,
"157","65","0","true",,,,,,,,,,,,
"158","60","0","true",,,,,,,,,,,,
"159","93","0","true",,,,,,,,,,,,
"160","32","0","true",,,,,,,,,,,,
"161","55","0","true",,,,,,,,,,,,
"162","52","0","true",,,,,,,,,,,,
"163","90","0","true",,,,,,,,,,,,
"164","47","0","true",,,,,,,,,,,,
"165","76","0","true",,,,,,,,,,,,
"166","70","0","true",,,,,,,,,,,,
"167","113","0","true",,,,,,,,,,,,
"168","32","0","true",,,,,,,,,,,,
"169","55","0","true",,,,,,,,,,,,
"170","48","0","true",,,,,,,,,,,,
"171","80","0","true",,,,,,,,,,,,
"172","43","0","true",,,,,,,,,,,,
"173","66","0","true",,,,,,,,,,,,
"174","60","0","true",,,,,,,,,,,,
"175","97","0","true",,,,,,,,,,,,
"176","33","0","true",,,,,,,,,,,,
"177","58","0","true",,,,,,,,,,,,
"178","54","0","true",,,,,,,,,,,,
"179","92","0","true",,,,,,,,,,,,
"180","48","0","true",,,,,,,,,,,,
"181","79","0","true",,,,,,,,,,,,
"182","72","0","true",,,,,,,,,,,,
"183","113","0","true",,,,,,,,,,,,
"184","29","0","true",,,,,,,,,,,,
"185","50","0","true",,,,,,,,,,,,
"186","46","0","true",,,,,,,,,,,,
"187","78","0","true",,,,,,,,,,,,
"188","40","0","true",,,,,,,,,,,,
"189","65","0","true",,,,,,,,,,,,
"190","60","0","true",,,,,,,,,,,,
"191","93","0","true",,,,,,,,,,,,
"192","32","0","true",,,,,,,,,,,,
"193","55","0","true",,,,,,,,,,,,
"194","52","0","true",,,,,,,,,,,,
"195","90","0","true",,,,,,,,,,,,
"196","47","0","true",,,,,,,,,,,,
"197","76","0","true",,,,,,,,,,,,
"198","70","0","true",,,,,,,,,,,,
"199","113","0","true",,,,,,,,,,,,
"200","32","0","true",,,,,,,,,,,,
"201","55","0","true",,,,,,,,,,,,
"202","48","0","true",,,,,,,,,,,,
"203","80","0","true",,,,,,,,,,,,
"204","43","0","true",,,,,,,,,,,,
"205","66","0","true",,,,,,,,,,,,
"206","60","0","true",,,,,,,,,,,,
"207","97","0","true",,,,,,,,,,,,
"208","33","0","true",,,,,,,,,,,,
"209","58","0","true",,,,,,,,,,,,
"210","54","0","true",,,,,,,,,,,,
"211","92","0","true",,,,,,,,,,,,
"212","48","0","true",,,,,,,,,,,,
"213","79","0","true",,,,,,,,,,,,
"214","72","0","true",,,,,,,,,,,,
"215","113","0","true",,,,,,,,,,,,
"216","29","0","true",,,,,,,,,,,,
"217","50","0","true",,,,,,,,,,,,
"218","46","0","true",,,,,,,,,,,,
"219","78","0","true",,,,,,,,,,,,
"220","40","0","true",,,,,,,,,,,,
"221","65","0","true",,,,,,,,,,,,
"222","60","0","true",,,,,,,,,,,,
"223","93","0","true",,,,,,,,,,,,
"224","32","0","true",,,,,,,,,,,,
"225","55","0","true",,,,,,,,,,,,
"226","52","0","true",,,,,,,,,,,,
"227","90","0","true",,,,,,,,,,,,
"228","47","0","true",,,,,,,,,,,,
"229","76","0","true",,,,,,,,,,,,
"230","70","0","true",,,,,,,,,,,,
"231","113","0","true",,,,,,,,,,,,
"232","32","0","true",,,,,,,,,,,,
"233","55","0","true",,,,,,,,,,,,
"234","48","0","true",,,,,,,,,,,,
"235","80","0","true",,,,,,,,,,,,
"236","43","0","true",,,,,,,,,,,,
"237","66","0","true",,,,,,,,,,,,
"238","60","0","true",,,,,,,,,,,,
"239","97","0","true",,,,,,,,,,,,
"240","33","0","true",,,,,,,,,,,,
"241","58","0","true",,,,,,,,,,,,
"242","54","0","true",,,,,,,,,,,,
"243","92","0","true",,,,,,,,,,,,
"244","48","0","true",,,,,,,,,,,,
"245","79","0","true",,,,,,,,,,,,
"246","72","0","true",,,,,,,,,,,,
"247","113","0","true",,,,,,,,,,,,
"248","29","0","true",,,,,,,,,,,,
"249","50","0","true",,,,,,,,,,,,
"250","46","0","true",,,,,,,,,,,,
"251","78","0","true",,,,,,,,,,,,
"252","40","0","true",,,,,,,,,,,,
"253","65","0","true",,,,,,,,,,,,
"254","60","0","true",,,,,,,,,,,,
"255","93","0","true",,,,,,,,,,,,
"256","32","0","true",,,,,,,,,,,,
"257","55","0","true",,,,,,,,,,,,
"258","52","0","true",,,,,,,,,,,,
"259","90","0","true",,,,,,,,,,,,
"260","47","0","true",,,,,,,,,,,,
"261","76","0","true",,,,,,,,,,,,
"262","70","0","true",,,,,,,,,,,,
"263","113","0","true",,,,,,,,,,,,
"264","32","0","true",,,,,,,,,,,,
"265","55","0","true",,,,,,,,,,,,
"266","48","0","true",,,,,,,,,,,,
"267","80","0","true",,,,,,,,,,,,
"268","43","0","true",,,,,,,,,,,,
"269","66","0","true",,,,,,,,,,,,
"270","60","0","true",,,,,,,,,,,,
"271","97","0","true",,,,,,,,,,,,
"272","33","0","true",,,,,,,,,,,,
"273","58","0","true",,,,,,,,,,,,
"274","54","0","true",,,,,,,,,,,,
"275","92","0","true",,,,,,,,,,,,
"276","48","0","true",,,,,,,,,,,,
"277","79","0","true",,,,,,,,,,,,
"278","72","0","true",,,,,,,,,,,,
"279","113","0","true",,,,,,,,,,,,
"280","29","0","true",,,,,,,,,,,,
"281","50","0","true",,,,,,,,,,,,
"282","46","0","true",,,,,,,,,,,,
"283","78","0","true",,,,,,,,,,,,
"284","40","0","true",,,,,,,,,,,,
"285","65","0","true",,,,,,,,,,,,
"286","60","0","true",,,,,,,,,,,,
"287","93","0","true",,,,,,,,,,,,
"288","32","0","true",,,,,,,,,,,,
"289","55","0","true",,,,,,,,,,,,
"290","52","0","true",,,,,,,,,,,,
"291","90","0","true",,,,,,,,,,,,
"292","47","0","true",,,,,,,,,,,,
"293","76","0","true",,,,,,,,,,,,
"294","70","0","true",,,,,,,,,,,,
"295","113","0","true",,,,,,,,,,,,
"296","32","0","true",,,,,,,,,,,,
"297","55","0","true",,,,,,,,,,,,
"298","48","0","true",,,,,,,,,,,,
"299","80","0","true",,,,,,,,,,,,
"300","43","0","true",,,,,,,,,,,,
"301","66","0","true",,,,,,,,,,,,
"302","60","0","true",,,,,,,,,,,,
"303","97","0","true",,,,,,,,,,,,
"304","33","0","true",,,,,,,,,,,,
"305","58","0","true",,,,,,,,,,,,
"306","54","0","true",,,,,,,,,,,,
"307","92","0","true",,,,,,,,,,,,
"308","48","0","true",,,,,,,,,,,,
"309","79","0","true",,,,,,,,,,,,
"310","72","0","true",,,,,,,,,,,,
"311","113","0","true",,,,,,,,,,,,
"312","29","0","true",,,,,,,,,,,,
"313","50","0","true",,,,,,,,,,,,
"314","46","0","true",,,,,,,,,,,,
"315","78","0","true",,,,,,,,,,,,
"316","40","0","true",,,,,,,,,,,,
"317","65","0","true",,,,,,,,,,,,
"318","60","0","true",,,,,,,,,,,,
"319","93","0","true",,,,,,,,,,,,
"320","32","0","true",,,,,,,,,,,,
"321","55","0","true",,,,,,,,,,,,
"322","52","0","true",,,,,,,,,,,,
"323","90","0","true",,,,,,,,,,,,
"324","47","0","true",,,,,,,,,,,,
"325","76","0","true",,,,,,,,,,,,
"326","70","0","true",,,,,,,,,,,,
"327","113","0","true",,,,,,,,,,,,
"328","32","0","true",,,,,,,,,,,,
"329","55","0","true",,,,,,,,,,,,
"330","48","0","true",,,,,,,,,,,,
"331","80","0","true",,,,,,,,,,,,
"332","43","0","true",,,,,,,,,,,,
"333","66","0","true",,,,,,,,,,,,
"334","60","0","true",,,,,,,,,,,,
"335","97","0","true",,,,,,,,,,,,
