"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 23:01:32:031 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","true","true","0","27","false","false","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","255","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","232","0","true",,,,,,,,,,,,
"2","26","0","true",,,,,,,,,,,,
"3","232","0","true",,,,,,,,,,,,
"4","26","0","true",,,,,,,,,,,,
"5","232","0","true",,,,,,,,,,,,
"6","26","0","true",,,,,,,,,,,,
"7","232","0","true",,,,,,,,,,,,
"8","26","0","true",,,,,,,,,,,,
"9","232","0","true",,,,,,,,,,,,
"10","26","0","true",,,,,,,,,,,,
"11","232","0","true",,,,,,,,,,,,
"12","26","0","true",,,,,,,,,,,,
"13","232","0","true",,,,,,,,,,,,
"14","26","0","true",,,,,,,,,,,,
"15","232","0","true",,,,,,,,,,,,
"16","26","0","true",,,,,,,,,,,,
"17","232","0","true",,,,,,,,,,,,
"18","26","0","true",,,,,,,,,,,,
"19","232","0","true",,,,,,,,,,,,
"20","26","0","true",,,,,,,,,,,,
"21","232","0","true",,,,,,,,,,,,
"22","26","0","true",,,,,,,,,,,,
"23","232","0","true",,,,,,,,,,,,
"24","26","0","true",,,,,,,,,,,,
"25","232","0","true",,,,,,,,,,,,
"26","26","0","true",,,,,,,,,,,,
"27","232","0","true",,,,,,,,,,,,
"28","26","0","true",,,,,,,,,,,,
"29","232","0","true",,,,,,,,,,,,
"30","26","0","true",,,,,,,,,,,,
"31","232","0","true",,,,,,,,,,,,
"32","26","0","true",,,,,,,,,,,,
"33","232","0","true",,,,,,,,,,,,
"34","26","0","true",,,,,,,,,,,,
"35","232","0","true",,,,,,,,,,,,
"36","26","0","true",,,,,,,,,,,,
"37","232","0","true",,,,,,,,,,,,
"38","26","0","true",,,,,,,,,,,,
"39","232","0","true",,,,,,,,,,,,
"40","26","0","true",,,,,,,,,,,,
"41","232","0","true",,,,,,,,,,,,
"42","26","0","true",,,,,,,,,,,,
"43","232","0","true",,,,,,,,,,,,
"44","26","0","true",,,,,,,,,,,,
"45","232","0","true",,,,,,,,,,,,
"46","26","0","true",,,,,,,,,,,,
"47","232","0","true",,,,,,,,,,,,
"48","26","0","true",,,,,,,,,,,,
"49","232","0","true",,,,,,,,,,,,
"50","26","0","true",,,,,,,,,,,,
"51","232","0","true",,,,,,,,,,,,
"52","26","0","true",,,,,,,,,,,,
"53","232","0","true",,,,,,,,,,,,
"54","26","0","true",,,,,,,,,,,,
"55","232","0","true",,,,,,,,,,,,
"56","26","0","true",,,,,,,,,,,,
"57","232","0","true",,,,,,,,,,,,
"58","26","0","true",,,,,,,,,,,,
"59","232","0","true",,,,,,,,,,,,
"60","26","0","true",,,,,,,,,,,,
"61","232","0","true",,,,,,,,,,,,
"62","26","0","true",,,,,,,,,,,,
"63","232","0","true",,,,,,,,,,,,
"64","26","0","true",,,,,,,,,,,,
"65","232","0","true",,,,,,,,,,,,
"66","26","0","true",,,,,,,,,,,,
"67","232","0","true",,,,,,,,,,,,
"68","26","0","true",,,,,,,,,,,,
"69","232","0","true",,,,,,,,,,,,
"70","26","0","true",,,,,,,,,,,,
"71","232","0","true",,,,,,,,,,,,
"72","26","0","true",,,,,,,,,,,,
"73","232","0","true",,,,,,,,,,,,
"74","26","0","true",,,,,,,,,,,,
"75","232","0","true",,,,,,,,,,,,
"76","26","0","true",,,,,,,,,,,,
"77","232","0","true",,,,,,,,,,,,
"78","26","0","true",,,,,,,,,,,,
"79","232","0","true",,,,,,,,,,,,
"80","26","0","true",,,,,,,,,,,,
"81","232","0","true",,,,,,,,,,,,
"82","26","0","true",,,,,,,,,,,,
"83","232","0","true",,,,,,,,,,,,
"84","26","0","true",,,,,,,,,,,,
"85","232","0","true",,,,,,,,,,,,
"86","26","0","true",,,,,,,,,,,,
"87","232","0","true",,,,,,,,,,,,
"88","26","0","true",,,,,,,,,,,,
"89","232","0","true",,,,,,,,,,,,
"90","26","0","true",,,,,,,,,,,,
"91","232","0","true",,,,,,,,,,,,
"92","26","0","true",,,,,,,,,,,,
"93","232","0","true",,,,,,,,,,,,
"94","26","0","true",,,,,,,,,,,,
"95","232","0","true",,,,,,,,,,,,
"96","26","0","true",,,,,,,,,,,,
"97","232","0","true",,,,,,,,,,,,
"98","26","0","true",,,,,,,,,,,,
"99","232","0","true",,,,,,,,,,,,
"100","26","0","true",,,,,,,,,,,,
"101","232","0","true",,,,,,,,,,,,
"102","26","0","true",,,,,,,,,,,,
"103","232","0","true",,,,,,,,,,,,
"104","26","0","true",,,,,,,,,,,,
"105","232","0","true",,,,,,,,,,,,
"106","26","0","true",,,,,,,,,,,,
"107","232","0","true",,,,,,,,,,,,
"108","26","0","true",,,,,,,,,,,,
"109","232","0","true",,,,,,,,,,,,
"110","26","0","true",,,,,,,,,,,,
"111","232","0","true",,,,,,,,,,,,
"112","26","0","true",,,,,,,,,,,,
"113","232","0","true",,,,,,,,,,,,
"114","26","0","true",,,,,,,,,,,,
"115","232","0","true",,,,,,,,,,,,
"116","26","0","true",,,,,,,,,,,,
"117","232","0","true",,,,,,,,,,,,
"118","26","0","true",,,,,,,,,,,,
"119","232","0","true",,,,,,,,,,,,
"120","26","0","true",,,,,,,,,,,,
"121","232","0","true",,,,,,,,,,,,
"122","26","0","true",,,,,,,,,,,,
"123","232","0","true",,,,,,,,,,,,
"124","26","0","true",,,,,,,,,,,,
"125","232","0","true",,,,,,,,,,,,
"126","26","0","true",,,,,,,,,,,,
"127","232","0","true",,,,,,,,,,,,
"128","26","0","true",,,,,,,,,,,,
"129","232","0","true",,,,,,,,,,,,
"130","26","0","true",,,,,,,,,,,,
"131","232","0","true",,,,,,,,,,,,
"132","26","0","true",,,,,,,,,,,,
"133","232","0","true",,,,,,,,,,,,
"134","26","0","true",,,,,,,,,,,,
"135","232","0","true",,,,,,,,,,,,
"136","26","0","true",,,,,,,,,,,,
"137","232","0","true",,,,,,,,,,,,
"138","26","0","true",,,,,,,,,,,,
"139","232","0","true",,,,,,,,,,,,
"140","26","0","true",,,,,,,,,,,,
"141","232","0","true",,,,,,,,,,,,
"142","26","0","true",,,,,,,,,,,,
"143","232","0","true",,,,,,,,,,,,
"144","26","0","true",,,,,,,,,,,,
"145","232","0","true",,,,,,,,,,,,
"146","26","0","true",,,,,,,,,,,,
"147","232","0","true",,,,,,,,,,,,
"148","26","0","true",,,,,,,,,,,,
"149","232","0","true",,,,,,,,,,,,
"150","26","0","true",,,,,,,,,,,,
"151","232","0","true",,,,,,,,,,,,
"152","26","0","true",,,,,,,,,,,,
"153","232","0","true",,,,,,,,,,,,
"154","26","0","true",,,,,,,,,,,,
"155","232","0","true",,,,,,,,,,,,
"156","26","0","true",,,,,,,,,,,,
"157","232","0","true",,,,,,,,,,,,
"158","26","0","true",,,,,,,,,,,,
"159","232","0","true",,,,,,,,,,,,
"160","26","0","true",,,,,,,,,,,,
"161","232","0","true",,,,,,,,,,,,
"162","26","0","true",,,,,,,,,,,,
"163","232","0","true",,,,,,,,,,,,
"164","26","0","true",,,,,,,,,,,,
"165","232","0","true",,,,,,,,,,,,
"166","26","0","true",,,,,,,,,,,,
"167","232","0","true",,,,,,,,,,,,
"168","26","0","true",,,,,,,,,,,,
"169","232","0","true",,,,,,,,,,,,
"170","26","0","true",,,,,,,,,,,,
"171","232","0","true",,,,,,,,,,,,
"172","26","0","true",,,,,,,,,,,,
"173","232","0","true",,,,,,,,,,,,
"174","26","0","true",,,,,,,,,,,,
"175","232","0","true",,,,,,,,,,,,
"176","26","0","true",,,,,,,,,,,,
"177","232","0","true",,,,,,,,,,,,
"178","26","0","true",,,,,,,,,,,,
"179","232","0","true",,,,,,,,,,,,
"180","26","0","true",,,,,,,,,,,,
"181","232","0","true",,,,,,,,,,,,
"182","26","0","true",,,,,,,,,,,,
"183","232","0","true",,,,,,,,,,,,
"184","26","0","true",,,,,,,,,,,,
"185","232","0","true",,,,,,,,,,,,
"186","26","0","true",,,,,,,,,,,,
"187","232","0","true",,,,,,,,,,,,
"188","26","0","true",,,,,,,,,,,,
"189","232","0","true",,,,,,,,,,,,
"190","26","0","true",,,,,,,,,,,,
"191","232","0","true",,,,,,,,,,,,
"192","26","0","true",,,,,,,,,,,,
"193","232","0","true",,,,,,,,,,,,
"194","26","0","true",,,,,,,,,,,,
"195","232","0","true",,,,,,,,,,,,
"196","26","0","true",,,,,,,,,,,,
