"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 23:02:47:715 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","false","true","0","28","false","true","false","true","false","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","131","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","2","0","true",,,,,,,,,,,,
"2","2","0","true",,,,,,,,,,,,
"3","3","0","true",,,,,,,,,,,,
"4","3","0","true",,,,,,,,,,,,
"5","4","0","true",,,,,,,,,,,,
"6","4","0","true",,,,,,,,,,,,
"7","5","0","true",,,,,,,,,,,,
"8","5","0","true",,,,,,,,,,,,
"9","6","0","true",,,,,,,,,,,,
"10","6","0","true",,,,,,,,,,,,
"11","7","0","true",,,,,,,,,,,,
"12","7","0","true",,,,,,,,,,,,
"13","8","0","true",,,,,,,,,,,,
"14","8","0","true",,,,,,,,,,,,
"15","9","0","true",,,,,,,,,,,,
"16","9","0","true",,,,,,,,,,,,
"17","10","0","true",,,,,,,,,,,,
"18","10","0","true",,,,,,,,,,,,
"19","11","0","true",,,,,,,,,,,,
"20","11","0","true",,,,,,,,,,,,
"21","12","0","true",,,,,,,,,,,,
"22","12","0","true",,,,,,,,,,,,
"23","13","0","true",,,,,,,,,,,,
"24","13","0","true",,,,,,,,,,,,
"25","14","0","true",,,,,,,,,,,,
"26","14","0","true",,,,,,,,,,,,
"27","15","0","true",,,,,,,,,,,,
"28","15","0","true",,,,,,,,,,,,
"29","16","0","true",,,,,,,,,,,,
"30","16","0","true",,,,,,,,,,,,
