"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 23:05:59:066 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","false","true","0","29","false","true","false","true","true","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","248","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","225","0","true",,,,,,,,,,,,
"2","32","0","true",,,,,,,,,,,,
"3","225","0","true",,,,,,,,,,,,
"4","32","0","true",,,,,,,,,,,,
"5","225","0","true",,,,,,,,,,,,
"6","32","0","true",,,,,,,,,,,,
"7","225","0","true",,,,,,,,,,,,
"8","32","0","true",,,,,,,,,,,,
"9","225","0","true",,,,,,,,,,,,
"10","32","0","true",,,,,,,,,,,,
"11","225","0","true",,,,,,,,,,,,
"12","32","0","true",,,,,,,,,,,,
"13","225","0","true",,,,,,,,,,,,
"14","32","0","true",,,,,,,,,,,,
"15","225","0","true",,,,,,,,,,,,
"16","32","0","true",,,,,,,,,,,,
"17","225","0","true",,,,,,,,,,,,
"18","32","0","true",,,,,,,,,,,,
"19","225","0","true",,,,,,,,,,,,
"20","32","0","true",,,,,,,,,,,,
"21","225","0","true",,,,,,,,,,,,
"22","32","0","true",,,,,,,,,,,,
"23","225","0","true",,,,,,,,,,,,
"24","32","0","true",,,,,,,,,,,,
"25","225","0","true",,,,,,,,,,,,
"26","32","0","true",,,,,,,,,,,,
"27","225","0","true",,,,,,,,,,,,
"28","32","0","true",,,,,,,,,,,,
"29","225","0","true",,,,,,,,,,,,
"30","32","0","true",,,,,,,,,,,,
"31","225","0","true",,,,,,,,,,,,
"32","32","0","true",,,,,,,,,,,,
"33","225","0","true",,,,,,,,,,,,
"34","32","0","true",,,,,,,,,,,,
"35","225","0","true",,,,,,,,,,,,
"36","32","0","true",,,,,,,,,,,,
"37","225","0","true",,,,,,,,,,,,
"38","32","0","true",,,,,,,,,,,,
"39","225","0","true",,,,,,,,,,,,
"40","32","0","true",,,,,,,,,,,,
"41","225","0","true",,,,,,,,,,,,
"42","32","0","true",,,,,,,,,,,,
"43","225","0","true",,,,,,,,,,,,
"44","32","0","true",,,,,,,,,,,,
"45","225","0","true",,,,,,,,,,,,
"46","32","0","true",,,,,,,,,,,,
"47","225","0","true",,,,,,,,,,,,
"48","32","0","true",,,,,,,,,,,,
"49","225","0","true",,,,,,,,,,,,
"50","32","0","true",,,,,,,,,,,,
"51","225","0","true",,,,,,,,,,,,
"52","32","0","true",,,,,,,,,,,,
"53","225","0","true",,,,,,,,,,,,
"54","32","0","true",,,,,,,,,,,,
"55","225","0","true",,,,,,,,,,,,
"56","32","0","true",,,,,,,,,,,,
"57","225","0","true",,,,,,,,,,,,
"58","32","0","true",,,,,,,,,,,,
"59","225","0","true",,,,,,,,,,,,
"60","32","0","true",,,,,,,,,,,,
"61","225","0","true",,,,,,,,,,,,
"62","32","0","true",,,,,,,,,,,,
"63","225","0","true",,,,,,,,,,,,
"64","32","0","true",,,,,,,,,,,,
"65","225","0","true",,,,,,,,,,,,
"66","32","0","true",,,,,,,,,,,,
"67","225","0","true",,,,,,,,,,,,
"68","32","0","true",,,,,,,,,,,,
"69","225","0","true",,,,,,,,,,,,
"70","32","0","true",,,,,,,,,,,,
"71","225","0","true",,,,,,,,,,,,
"72","32","0","true",,,,,,,,,,,,
"73","225","0","true",,,,,,,,,,,,
"74","32","0","true",,,,,,,,,,,,
"75","225","0","true",,,,,,,,,,,,
"76","32","0","true",,,,,,,,,,,,
"77","225","0","true",,,,,,,,,,,,
"78","32","0","true",,,,,,,,,,,,
"79","225","0","true",,,,,,,,,,,,
"80","32","0","true",,,,,,,,,,,,
"81","225","0","true",,,,,,,,,,,,
"82","32","0","true",,,,,,,,,,,,
"83","225","0","true",,,,,,,,,,,,
"84","32","0","true",,,,,,,,,,,,
"85","225","0","true",,,,,,,,,,,,
"86","32","0","true",,,,,,,,,,,,
"87","225","0","true",,,,,,,,,,,,
"88","32","0","true",,,,,,,,,,,,
"89","225","0","true",,,,,,,,,,,,
"90","32","0","true",,,,,,,,,,,,
"91","225","0","true",,,,,,,,,,,,
"92","32","0","true",,,,,,,,,,,,
"93","225","0","true",,,,,,,,,,,,
"94","32","0","true",,,,,,,,,,,,
"95","225","0","true",,,,,,,,,,,,
"96","32","0","true",,,,,,,,,,,,
"97","225","0","true",,,,,,,,,,,,
"98","32","0","true",,,,,,,,,,,,
"99","225","0","true",,,,,,,,,,,,
"100","32","0","true",,,,,,,,,,,,
"101","225","0","true",,,,,,,,,,,,
"102","32","0","true",,,,,,,,,,,,
"103","225","0","true",,,,,,,,,,,,
"104","32","0","true",,,,,,,,,,,,
"105","225","0","true",,,,,,,,,,,,
"106","32","0","true",,,,,,,,,,,,
"107","225","0","true",,,,,,,,,,,,
"108","32","0","true",,,,,,,,,,,,
"109","225","0","true",,,,,,,,,,,,
"110","32","0","true",,,,,,,,,,,,
"111","225","0","true",,,,,,,,,,,,
"112","32","0","true",,,,,,,,,,,,
"113","225","0","true",,,,,,,,,,,,
"114","32","0","true",,,,,,,,,,,,
"115","225","0","true",,,,,,,,,,,,
"116","32","0","true",,,,,,,,,,,,
"117","225","0","true",,,,,,,,,,,,
"118","32","0","true",,,,,,,,,,,,
"119","225","0","true",,,,,,,,,,,,
"120","32","0","true",,,,,,,,,,,,
"121","225","0","true",,,,,,,,,,,,
"122","32","0","true",,,,,,,,,,,,
"123","225","0","true",,,,,,,,,,,,
"124","32","0","true",,,,,,,,,,,,
"125","225","0","true",,,,,,,,,,,,
"126","32","0","true",,,,,,,,,,,,
"127","225","0","true",,,,,,,,,,,,
"128","32","0","true",,,,,,,,,,,,
"129","225","0","true",,,,,,,,,,,,
"130","32","0","true",,,,,,,,,,,,
"131","225","0","true",,,,,,,,,,,,
"132","32","0","true",,,,,,,,,,,,
"133","225","0","true",,,,,,,,,,,,
"134","32","0","true",,,,,,,,,,,,
"135","225","0","true",,,,,,,,,,,,
"136","32","0","true",,,,,,,,,,,,
"137","225","0","true",,,,,,,,,,,,
"138","32","0","true",,,,,,,,,,,,
"139","225","0","true",,,,,,,,,,,,
"140","32","0","true",,,,,,,,,,,,
"141","225","0","true",,,,,,,,,,,,
"142","32","0","true",,,,,,,,,,,,
"143","225","0","true",,,,,,,,,,,,
"144","32","0","true",,,,,,,,,,,,
"145","225","0","true",,,,,,,,,,,,
"146","32","0","true",,,,,,,,,,,,
"147","225","0","true",,,,,,,,,,,,
"148","32","0","true",,,,,,,,,,,,
"149","225","0","true",,,,,,,,,,,,
"150","32","0","true",,,,,,,,,,,,
"151","225","0","true",,,,,,,,,,,,
"152","32","0","true",,,,,,,,,,,,
"153","225","0","true",,,,,,,,,,,,
"154","32","0","true",,,,,,,,,,,,
"155","225","0","true",,,,,,,,,,,,
"156","32","0","true",,,,,,,,,,,,
"157","225","0","true",,,,,,,,,,,,
"158","32","0","true",,,,,,,,,,,,
"159","225","0","true",,,,,,,,,,,,
"160","32","0","true",,,,,,,,,,,,
"161","225","0","true",,,,,,,,,,,,
"162","32","0","true",,,,,,,,,,,,
"163","225","0","true",,,,,,,,,,,,
"164","32","0","true",,,,,,,,,,,,
"165","225","0","true",,,,,,,,,,,,
"166","32","0","true",,,,,,,,,,,,
"167","225","0","true",,,,,,,,,,,,
"168","32","0","true",,,,,,,,,,,,
"169","225","0","true",,,,,,,,,,,,
"170","32","0","true",,,,,,,,,,,,
"171","225","0","true",,,,,,,,,,,,
"172","32","0","true",,,,,,,,,,,,
"173","225","0","true",,,,,,,,,,,,
"174","32","0","true",,,,,,,,,,,,
"175","225","0","true",,,,,,,,,,,,
"176","32","0","true",,,,,,,,,,,,
"177","225","0","true",,,,,,,,,,,,
"178","32","0","true",,,,,,,,,,,,
"179","225","0","true",,,,,,,,,,,,
"180","32","0","true",,,,,,,,,,,,
"181","225","0","true",,,,,,,,,,,,
"182","32","0","true",,,,,,,,,,,,
"183","225","0","true",,,,,,,,,,,,
"184","32","0","true",,,,,,,,,,,,
"185","225","0","true",,,,,,,,,,,,
"186","32","0","true",,,,,,,,,,,,
"187","225","0","true",,,,,,,,,,,,
"188","32","0","true",,,,,,,,,,,,
"189","225","0","true",,,,,,,,,,,,
"190","32","0","true",,,,,,,,,,,,
"191","225","0","true",,,,,,,,,,,,
"192","32","0","true",,,,,,,,,,,,
"193","225","0","true",,,,,,,,,,,,
"194","32","0","true",,,,,,,,,,,,
"195","225","0","true",,,,,,,,,,,,
"196","32","0","true",,,,,,,,,,,,
"197","225","0","true",,,,,,,,,,,,
"198","32","0","true",,,,,,,,,,,,
"199","225","0","true",,,,,,,,,,,,
"200","32","0","true",,,,,,,,,,,,
"201","225","0","true",,,,,,,,,,,,
"202","32","0","true",,,,,,,,,,,,
"203","225","0","true",,,,,,,,,,,,
"204","32","0","true",,,,,,,,,,,,
"205","225","0","true",,,,,,,,,,,,
"206","32","0","true",,,,,,,,,,,,
"207","225","0","true",,,,,,,,,,,,
"208","32","0","true",,,,,,,,,,,,
"209","225","0","true",,,,,,,,,,,,
"210","32","0","true",,,,,,,,,,,,
"211","225","0","true",,,,,,,,,,,,
"212","32","0","true",,,,,,,,,,,,
"213","225","0","true",,,,,,,,,,,,
"214","32","0","true",,,,,,,,,,,,
"215","225","0","true",,,,,,,,,,,,
"216","32","0","true",,,,,,,,,,,,
"217","225","0","true",,,,,,,,,,,,
"218","32","0","true",,,,,,,,,,,,
"219","225","0","true",,,,,,,,,,,,
"220","32","0","true",,,,,,,,,,,,
"221","225","0","true",,,,,,,,,,,,
"222","32","0","true",,,,,,,,,,,,
"223","225","0","true",,,,,,,,,,,,
"224","32","0","true",,,,,,,,,,,,
"225","225","0","true",,,,,,,,,,,,
"226","32","0","true",,,,,,,,,,,,
"227","225","0","true",,,,,,,,,,,,
"228","32","0","true",,,,,,,,,,,,
"229","225","0","true",,,,,,,,,,,,
"230","32","0","true",,,,,,,,,,,,
"231","225","0","true",,,,,,,,,,,,
"232","32","0","true",,,,,,,,,,,,
"233","225","0","true",,,,,,,,,,,,
"234","32","0","true",,,,,,,,,,,,
"235","225","0","true",,,,,,,,,,,,
"236","32","0","true",,,,,,,,,,,,
"237","225","0","true",,,,,,,,,,,,
"238","32","0","true",,,,,,,,,,,,
"239","225","0","true",,,,,,,,,,,,
"240","32","0","true",,,,,,,,,,,,
"241","225","0","true",,,,,,,,,,,,
"242","32","0","true",,,,,,,,,,,,
"243","225","0","true",,,,,,,,,,,,
"244","32","0","true",,,,,,,,,,,,
"245","225","0","true",,,,,,,,,,,,
"246","32","0","true",,,,,,,,,,,,
"247","225","0","true",,,,,,,,,,,,
"248","32","0","true",,,,,,,,,,,,
"249","225","0","true",,,,,,,,,,,,
"250","32","0","true",,,,,,,,,,,,
"251","225","0","true",,,,,,,,,,,,
"252","32","0","true",,,,,,,,,,,,
"253","225","0","true",,,,,,,,,,,,
"254","32","0","true",,,,,,,,,,,,
"255","225","0","true",,,,,,,,,,,,
"256","32","0","true",,,,,,,,,,,,
"257","225","0","true",,,,,,,,,,,,
"258","32","0","true",,,,,,,,,,,,
"259","225","0","true",,,,,,,,,,,,
"260","32","0","true",,,,,,,,,,,,
"261","225","0","true",,,,,,,,,,,,
"262","32","0","true",,,,,,,,,,,,
"263","225","0","true",,,,,,,,,,,,
"264","32","0","true",,,,,,,,,,,,
"265","225","0","true",,,,,,,,,,,,
"266","32","0","true",,,,,,,,,,,,
"267","225","0","true",,,,,,,,,,,,
"268","32","0","true",,,,,,,,,,,,
"269","225","0","true",,,,,,,,,,,,
"270","32","0","true",,,,,,,,,,,,
"271","225","0","true",,,,,,,,,,,,
"272","32","0","true",,,,,,,,,,,,
"273","225","0","true",,,,,,,,,,,,
"274","32","0","true",,,,,,,,,,,,
"275","225","0","true",,,,,,,,,,,,
"276","32","0","true",,,,,,,,,,,,
"277","225","0","true",,,,,,,,,,,,
"278","32","0","true",,,,,,,,,,,,
"279","225","0","true",,,,,,,,,,,,
"280","32","0","true",,,,,,,,,,,,
"281","225","0","true",,,,,,,,,,,,
"282","32","0","true",,,,,,,,,,,,
"283","225","0","true",,,,,,,,,,,,
"284","32","0","true",,,,,,,,,,,,
"285","225","0","true",,,,,,,,,,,,
"286","32","0","true",,,,,,,,,,,,
"287","225","0","true",,,,,,,,,,,,
"288","32","0","true",,,,,,,,,,,,
"289","225","0","true",,,,,,,,,,,,
"290","32","0","true",,,,,,,,,,,,
"291","225","0","true",,,,,,,,,,,,
"292","32","0","true",,,,,,,,,,,,
"293","225","0","true",,,,,,,,,,,,
"294","32","0","true",,,,,,,,,,,,
"295","225","0","true",,,,,,,,,,,,
"296","32","0","true",,,,,,,,,,,,
"297","225","0","true",,,,,,,,,,,,
"298","32","0","true",,,,,,,,,,,,
"299","225","0","true",,,,,,,,,,,,
"300","32","0","true",,,,,,,,,,,,
"301","225","0","true",,,,,,,,,,,,
"302","32","0","true",,,,,,,,,,,,
"303","225","0","true",,,,,,,,,,,,
"304","32","0","true",,,,,,,,,,,,
"305","225","0","true",,,,,,,,,,,,
"306","32","0","true",,,,,,,,,,,,
"307","225","0","true",,,,,,,,,,,,
"308","32","0","true",,,,,,,,,,,,
"309","225","0","true",,,,,,,,,,,,
"310","32","0","true",,,,,,,,,,,,
"311","225","0","true",,,,,,,,,,,,
"312","32","0","true",,,,,,,,,,,,
"313","225","0","true",,,,,,,,,,,,
"314","32","0","true",,,,,,,,,,,,
"315","225","0","true",,,,,,,,,,,,
"316","32","0","true",,,,,,,,,,,,
"317","225","0","true",,,,,,,,,,,,
"318","32","0","true",,,,,,,,,,,,
"319","225","0","true",,,,,,,,,,,,
"320","32","0","true",,,,,,,,,,,,
"321","225","0","true",,,,,,,,,,,,
"322","32","0","true",,,,,,,,,,,,
"323","225","0","true",,,,,,,,,,,,
"324","32","0","true",,,,,,,,,,,,
"325","225","0","true",,,,,,,,,,,,
"326","32","0","true",,,,,,,,,,,,
"327","225","0","true",,,,,,,,,,,,
"328","32","0","true",,,,,,,,,,,,
"329","225","0","true",,,,,,,,,,,,
"330","32","0","true",,,,,,,,,,,,
"331","225","0","true",,,,,,,,,,,,
"332","32","0","true",,,,,,,,,,,,
"333","225","0","true",,,,,,,,,,,,
"334","32","0","true",,,,,,,,,,,,
"335","225","0","true",,,,,,,,,,,,
"336","32","0","true",,,,,,,,,,,,
"337","225","0","true",,,,,,,,,,,,
"338","32","0","true",,,,,,,,,,,,
"339","225","0","true",,,,,,,,,,,,
"340","32","0","true",,,,,,,,,,,,
"341","225","0","true",,,,,,,,,,,,
"342","32","0","true",,,,,,,,,,,,
"343","225","0","true",,,,,,,,,,,,
"344","32","0","true",,,,,,,,,,,,
"345","225","0","true",,,,,,,,,,,,
"346","32","0","true",,,,,,,,,,,,
"347","225","0","true",,,,,,,,,,,,
"348","32","0","true",,,,,,,,,,,,
"349","225","0","true",,,,,,,,,,,,
"350","32","0","true",,,,,,,,,,,,
"351","225","0","true",,,,,,,,,,,,
"352","32","0","true",,,,,,,,,,,,
"353","225","0","true",,,,,,,,,,,,
"354","32","0","true",,,,,,,,,,,,
"355","225","0","true",,,,,,,,,,,,
"356","32","0","true",,,,,,,,,,,,
"357","225","0","true",,,,,,,,,,,,
"358","32","0","true",,,,,,,,,,,,
"359","225","0","true",,,,,,,,,,,,
"360","32","0","true",,,,,,,,,,,,
"361","225","0","true",,,,,,,,,,,,
"362","32","0","true",,,,,,,,,,,,
"363","225","0","true",,,,,,,,,,,,
"364","32","0","true",,,,,,,,,,,,
"365","225","0","true",,,,,,,,,,,,
"366","32","0","true",,,,,,,,,,,,
"367","225","0","true",,,,,,,,,,,,
"368","32","0","true",,,,,,,,,,,,
"369","225","0","true",,,,,,,,,,,,
"370","32","0","true",,,,,,,,,,,,
"371","225","0","true",,,,,,,,,,,,
"372","32","0","true",,,,,,,,,,,,
"373","225","0","true",,,,,,,,,,,,
"374","32","0","true",,,,,,,,,,,,
"375","225","0","true",,,,,,,,,,,,
"376","32","0","true",,,,,,,,,,,,
"377","225","0","true",,,,,,,,,,,,
"378","32","0","true",,,,,,,,,,,,
"379","225","0","true",,,,,,,,,,,,
"380","32","0","true",,,,,,,,,,,,
"381","225","0","true",,,,,,,,,,,,
"382","32","0","true",,,,,,,,,,,,
"383","225","0","true",,,,,,,,,,,,
"384","32","0","true",,,,,,,,,,,,
"385","225","0","true",,,,,,,,,,,,
"386","32","0","true",,,,,,,,,,,,
"387","225","0","true",,,,,,,,,,,,
"388","32","0","true",,,,,,,,,,,,
"389","225","0","true",,,,,,,,,,,,
"390","32","0","true",,,,,,,,,,,,
"391","225","0","true",,,,,,,,,,,,
"392","32","0","true",,,,,,,,,,,,
"393","225","0","true",,,,,,,,,,,,
"394","32","0","true",,,,,,,,,,,,
"395","225","0","true",,,,,,,,,,,,
"396","32","0","true",,,,,,,,,,,,
"397","225","0","true",,,,,,,,,,,,
"398","32","0","true",,,,,,,,,,,,
"399","225","0","true",,,,,,,,,,,,
"400","32","0","true",,,,,,,,,,,,
"401","225","0","true",,,,,,,,,,,,
"402","32","0","true",,,,,,,,,,,,
"403","225","0","true",,,,,,,,,,,,
"404","32","0","true",,,,,,,,,,,,
"405","225","0","true",,,,,,,,,,,,
"406","32","0","true",,,,,,,,,,,,
"407","225","0","true",,,,,,,,,,,,
"408","32","0","true",,,,,,,,,,,,
"409","225","0","true",,,,,,,,,,,,
"410","32","0","true",,,,,,,,,,,,
"411","225","0","true",,,,,,,,,,,,
"412","32","0","true",,,,,,,,,,,,
"413","225","0","true",,,,,,,,,,,,
"414","32","0","true",,,,,,,,,,,,
"415","225","0","true",,,,,,,,,,,,
"416","32","0","true",,,,,,,,,,,,
"417","225","0","true",,,,,,,,,,,,
"418","32","0","true",,,,,,,,,,,,
"419","225","0","true",,,,,,,,,,,,
"420","32","0","true",,,,,,,,,,,,
"421","225","0","true",,,,,,,,,,,,
"422","32","0","true",,,,,,,,,,,,
"423","225","0","true",,,,,,,,,,,,
"424","32","0","true",,,,,,,,,,,,
"425","225","0","true",,,,,,,,,,,,
"426","32","0","true",,,,,,,,,,,,
"427","225","0","true",,,,,,,,,,,,
"428","32","0","true",,,,,,,,,,,,
"429","225","0","true",,,,,,,,,,,,
"430","32","0","true",,,,,,,,,,,,
"431","225","0","true",,,,,,,,,,,,
"432","32","0","true",,,,,,,,,,,,
"433","225","0","true",,,,,,,,,,,,
"434","32","0","true",,,,,,,,,,,,
"435","225","0","true",,,,,,,,,,,,
"436","32","0","true",,,,,,,,,,,,
"437","225","0","true",,,,,,,,,,,,
"438","32","0","true",,,,,,,,,,,,
"439","225","0","true",,,,,,,,,,,,
"440","32","0","true",,,,,,,,,,,,
"441","225","0","true",,,,,,,,,,,,
"442","32","0","true",,,,,,,,,,,,
"443","225","0","true",,,,,,,,,,,,
"444","32","0","true",,,,,,,,,,,,
"445","225","0","true",,,,,,,,,,,,
"446","32","0","true",,,,,,,,,,,,
"447","225","0","true",,,,,,,,,,,,
"448","32","0","true",,,,,,,,,,,,
"449","225","0","true",,,,,,,,,,,,
"450","32","0","true",,,,,,,,,,,,
"451","225","0","true",,,,,,,,,,,,
"452","32","0","true",,,,,,,,,,,,
"453","225","0","true",,,,,,,,,,,,
"454","32","0","true",,,,,,,,,,,,
"455","225","0","true",,,,,,,,,,,,
"456","32","0","true",,,,,,,,,,,,
"457","225","0","true",,,,,,,,,,,,
"458","32","0","true",,,,,,,,,,,,
"459","225","0","true",,,,,,,,,,,,
"460","32","0","true",,,,,,,,,,,,
"461","225","0","true",,,,,,,,,,,,
"462","32","0","true",,,,,,,,,,,,
"463","225","0","true",,,,,,,,,,,,
"464","32","0","true",,,,,,,,,,,,
"465","225","0","true",,,,,,,,,,,,
"466","32","0","true",,,,,,,,,,,,
"467","225","0","true",,,,,,,,,,,,
"468","32","0","true",,,,,,,,,,,,
"469","225","0","true",,,,,,,,,,,,
"470","32","0","true",,,,,,,,,,,,
"471","225","0","true",,,,,,,,,,,,
"472","32","0","true",,,,,,,,,,,,
"473","225","0","true",,,,,,,,,,,,
"474","32","0","true",,,,,,,,,,,,
"475","225","0","true",,,,,,,,,,,,
"476","32","0","true",,,,,,,,,,,,
"477","225","0","true",,,,,,,,,,,,
"478","32","0","true",,,,,,,,,,,,
"479","225","0","true",,,,,,,,,,,,
"480","32","0","true",,,,,,,,,,,,
"481","225","0","true",,,,,,,,,,,,
"482","32","0","true",,,,,,,,,,,,
"483","225","0","true",,,,,,,,,,,,
"484","32","0","true",,,,,,,,,,,,
"485","225","0","true",,,,,,,,,,,,
"486","32","0","true",,,,,,,,,,,,
"487","225","0","true",,,,,,,,,,,,
"488","32","0","true",,,,,,,,,,,,
