"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"07/23/2018 23:07:57:148 -0500"

"MODEL SETTINGS"
"oii","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","true","true","0","30","false","true","false","true","false","55","false"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","160","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","10100"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","67","0","true",,,,,,,,,,,,
"2","57","0","true",,,,,,,,,,,,
"3","105","0","true",,,,,,,,,,,,
"4","70","0","true",,,,,,,,,,,,
"5","125","0","true",,,,,,,,,,,,
"6","81","0","true",,,,,,,,,,,,
"7","145","0","true",,,,,,,,,,,,
"8","90","0","true",,,,,,,,,,,,
"9","119","0","true",,,,,,,,,,,,
"10","108","0","true",,,,,,,,,,,,
"11","126","0","true",,,,,,,,,,,,
"12","112","0","true",,,,,,,,,,,,
"13","143","0","true",,,,,,,,,,,,
"14","112","0","true",,,,,,,,,,,,
"15","145","0","true",,,,,,,,,,,,
"16","124","0","true",,,,,,,,,,,,
"17","114","0","true",,,,,,,,,,,,
"18","127","0","true",,,,,,,,,,,,
"19","130","0","true",,,,,,,,,,,,
"20","137","0","true",,,,,,,,,,,,
"21","120","0","true",,,,,,,,,,,,
"22","138","0","true",,,,,,,,,,,,
"23","123","0","true",,,,,,,,,,,,
"24","139","0","true",,,,,,,,,,,,
"25","132","0","true",,,,,,,,,,,,
"26","128","0","true",,,,,,,,,,,,
"27","119","0","true",,,,,,,,,,,,
"28","131","0","true",,,,,,,,,,,,
"29","126","0","true",,,,,,,,,,,,
"30","136","0","true",,,,,,,,,,,,
"31","127","0","true",,,,,,,,,,,,
"32","133","0","true",,,,,,,,,,,,
"33","135","0","true",,,,,,,,,,,,
"34","124","0","true",,,,,,,,,,,,
"35","136","0","true",,,,,,,,,,,,
"36","117","0","true",,,,,,,,,,,,
"37","128","0","true",,,,,,,,,,,,
"38","129","0","true",,,,,,,,,,,,
"39","143","0","true",,,,,,,,,,,,
"40","122","0","true",,,,,,,,,,,,
"41","131","0","true",,,,,,,,,,,,
"42","136","0","true",,,,,,,,,,,,
"43","136","0","true",,,,,,,,,,,,
"44","114","0","true",,,,,,,,,,,,
"45","125","0","true",,,,,,,,,,,,
"46","123","0","true",,,,,,,,,,,,
"47","136","0","true",,,,,,,,,,,,
"48","120","0","true",,,,,,,,,,,,
"49","143","0","true",,,,,,,,,,,,
"50","120","0","true",,,,,,,,,,,,
"51","132","0","true",,,,,,,,,,,,
"52","122","0","true",,,,,,,,,,,,
"53","133","0","true",,,,,,,,,,,,
"54","121","0","true",,,,,,,,,,,,
"55","129","0","true",,,,,,,,,,,,
"56","132","0","true",,,,,,,,,,,,
"57","130","0","true",,,,,,,,,,,,
"58","119","0","true",,,,,,,,,,,,
"59","135","0","true",,,,,,,,,,,,
"60","120","0","true",,,,,,,,,,,,
"61","140","0","true",,,,,,,,,,,,
"62","117","0","true",,,,,,,,,,,,
"63","137","0","true",,,,,,,,,,,,
"64","122","0","true",,,,,,,,,,,,
"65","135","0","true",,,,,,,,,,,,
"66","121","0","true",,,,,,,,,,,,
"67","120","0","true",,,,,,,,,,,,
"68","123","0","true",,,,,,,,,,,,
"69","147","0","true",,,,,,,,,,,,
"70","118","0","true",,,,,,,,,,,,
"71","146","0","true",,,,,,,,,,,,
"72","122","0","true",,,,,,,,,,,,
"73","132","0","true",,,,,,,,,,,,
"74","121","0","true",,,,,,,,,,,,
"75","132","0","true",,,,,,,,,,,,
"76","123","0","true",,,,,,,,,,,,
"77","135","0","true",,,,,,,,,,,,
"78","131","0","true",,,,,,,,,,,,
"79","125","0","true",,,,,,,,,,,,
"80","136","0","true",,,,,,,,,,,,
"81","120","0","true",,,,,,,,,,,,
"82","137","0","true",,,,,,,,,,,,
"83","126","0","true",,,,,,,,,,,,
"84","126","0","true",,,,,,,,,,,,
"85","127","0","true",,,,,,,,,,,,
"86","122","0","true",,,,,,,,,,,,
"87","128","0","true",,,,,,,,,,,,
"88","112","0","true",,,,,,,,,,,,
"89","124","0","true",,,,,,,,,,,,
"90","132","0","true",,,,,,,,,,,,
"91","136","0","true",,,,,,,,,,,,
"92","120","0","true",,,,,,,,,,,,
"93","142","0","true",,,,,,,,,,,,
"94","122","0","true",,,,,,,,,,,,
"95","126","0","true",,,,,,,,,,,,
"96","113","0","true",,,,,,,,,,,,
"97","138","0","true",,,,,,,,,,,,
"98","125","0","true",,,,,,,,,,,,
"99","128","0","true",,,,,,,,,,,,
"100","129","0","true",,,,,,,,,,,,
"101","139","0","true",,,,,,,,,,,,
"102","123","0","true",,,,,,,,,,,,
"103","128","0","true",,,,,,,,,,,,
"104","133","0","true",,,,,,,,,,,,
"105","134","0","true",,,,,,,,,,,,
"106","134","0","true",,,,,,,,,,,,
"107","132","0","true",,,,,,,,,,,,
"108","122","0","true",,,,,,,,,,,,
"109","134","0","true",,,,,,,,,,,,
"110","128","0","true",,,,,,,,,,,,
