"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/24/2018 19:00:29:415 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"false","10","true","true","0","30","false","true","false","false","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","168","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","3","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","6","0","true",,,,,,,,,,,,
"4","4","0","true",,,,,,,,,,,,
"5","9","0","true",,,,,,,,,,,,
"6","5","0","true",,,,,,,,,,,,
"7","12","0","true",,,,,,,,,,,,
"8","7","0","true",,,,,,,,,,,,
"9","12","0","true",,,,,,,,,,,,
"10","11","0","true",,,,,,,,,,,,
"11","14","0","true",,,,,,,,,,,,
"12","12","0","true",,,,,,,,,,,,
"13","19","0","true",,,,,,,,,,,,
"14","13","0","true",,,,,,,,,,,,
"15","22","0","true",,,,,,,,,,,,
"16","15","0","true",,,,,,,,,,,,
"17","19","0","true",,,,,,,,,,,,
"18","20","0","true",,,,,,,,,,,,
"19","24","0","true",,,,,,,,,,,,
"20","21","0","true",,,,,,,,,,,,
"21","23","0","true",,,,,,,,,,,,
"22","23","0","true",,,,,,,,,,,,
"23","28","0","true",,,,,,,,,,,,
"24","26","0","true",,,,,,,,,,,,
"25","27","0","true",,,,,,,,,,,,
"26","26","0","true",,,,,,,,,,,,
"27","33","0","true",,,,,,,,,,,,
"28","30","0","true",,,,,,,,,,,,
"29","34","0","true",,,,,,,,,,,,
"30","31","0","true",,,,,,,,,,,,
"31","39","0","true",,,,,,,,,,,,
"32","26","0","true",,,,,,,,,,,,
"33","39","0","true",,,,,,,,,,,,
"34","29","0","true",,,,,,,,,,,,
"35","46","0","true",,,,,,,,,,,,
"36","32","0","true",,,,,,,,,,,,
"37","44","0","true",,,,,,,,,,,,
"38","38","0","true",,,,,,,,,,,,
"39","45","0","true",,,,,,,,,,,,
"40","47","0","true",,,,,,,,,,,,
"41","41","0","true",,,,,,,,,,,,
"42","45","0","true",,,,,,,,,,,,
"43","49","0","true",,,,,,,,,,,,
"44","38","0","true",,,,,,,,,,,,
"45","55","0","true",,,,,,,,,,,,
"46","42","0","true",,,,,,,,,,,,
"47","51","0","true",,,,,,,,,,,,
"48","44","0","true",,,,,,,,,,,,
"49","53","0","true",,,,,,,,,,,,
"50","43","0","true",,,,,,,,,,,,
"51","59","0","true",,,,,,,,,,,,
"52","52","0","true",,,,,,,,,,,,
"53","60","0","true",,,,,,,,,,,,
"54","49","0","true",,,,,,,,,,,,
"55","65","0","true",,,,,,,,,,,,
"56","57","0","true",,,,,,,,,,,,
"57","60","0","true",,,,,,,,,,,,
"58","56","0","true",,,,,,,,,,,,
"59","69","0","true",,,,,,,,,,,,
"60","61","0","true",,,,,,,,,,,,
"61","70","0","true",,,,,,,,,,,,
"62","59","0","true",,,,,,,,,,,,
"63","78","0","true",,,,,,,,,,,,
"64","64","0","true",,,,,,,,,,,,
"65","56","0","true",,,,,,,,,,,,
"66","65","0","true",,,,,,,,,,,,
"67","69","0","true",,,,,,,,,,,,
"68","69","0","true",,,,,,,,,,,,
"69","67","0","true",,,,,,,,,,,,
"70","77","0","true",,,,,,,,,,,,
"71","78","0","true",,,,,,,,,,,,
"72","73","0","true",,,,,,,,,,,,
"73","68","0","true",,,,,,,,,,,,
"74","83","0","true",,,,,,,,,,,,
"75","78","0","true",,,,,,,,,,,,
"76","78","0","true",,,,,,,,,,,,
"77","87","0","true",,,,,,,,,,,,
"78","80","0","true",,,,,,,,,,,,
"79","86","0","true",,,,,,,,,,,,
"80","88","0","true",,,,,,,,,,,,
"81","79","0","true",,,,,,,,,,,,
"82","81","0","true",,,,,,,,,,,,
"83","94","0","true",,,,,,,,,,,,
"84","81","0","true",,,,,,,,,,,,
"85","101","0","true",,,,,,,,,,,,
"86","78","0","true",,,,,,,,,,,,
"87","88","0","true",,,,,,,,,,,,
"88","91","0","true",,,,,,,,,,,,
"89","86","0","true",,,,,,,,,,,,
"90","86","0","true",,,,,,,,,,,,
"91","113","0","true",,,,,,,,,,,,
"92","79","0","true",,,,,,,,,,,,
"93","101","0","true",,,,,,,,,,,,
"94","90","0","true",,,,,,,,,,,,
"95","108","0","true",,,,,,,,,,,,
"96","94","0","true",,,,,,,,,,,,
"97","97","0","true",,,,,,,,,,,,
"98","99","0","true",,,,,,,,,,,,
"99","110","0","true",,,,,,,,,,,,
"100","103","0","true",,,,,,,,,,,,
"101","104","0","true",,,,,,,,,,,,
"102","103","0","true",,,,,,,,,,,,
"103","119","0","true",,,,,,,,,,,,
"104","95","0","true",,,,,,,,,,,,
"105","91","0","true",,,,,,,,,,,,
"106","102","0","true",,,,,,,,,,,,
"107","110","0","true",,,,,,,,,,,,
"108","111","0","true",,,,,,,,,,,,
"109","114","0","true",,,,,,,,,,,,
"110","111","0","true",,,,,,,,,,,,
"111","121","0","true",,,,,,,,,,,,
"112","115","0","true",,,,,,,,,,,,
"113","109","0","true",,,,,,,,,,,,
"114","120","0","true",,,,,,,,,,,,
"115","133","0","true",,,,,,,,,,,,
"116","113","0","true",,,,,,,,,,,,
"117","121","0","true",,,,,,,,,,,,
"118","123","0","true",,,,,,,,,,,,
"119","126","0","true",,,,,,,,,,,,
"120","122","0","true",,,,,,,,,,,,
"121","118","0","true",,,,,,,,,,,,
"122","123","0","true",,,,,,,,,,,,
"123","137","0","true",,,,,,,,,,,,
"124","122","0","true",,,,,,,,,,,,
"125","125","0","true",,,,,,,,,,,,
"126","129","0","true",,,,,,,,,,,,
"127","132","0","true",,,,,,,,,,,,
"128","132","0","true",,,,,,,,,,,,
"129","122","0","true",,,,,,,,,,,,
"130","120","0","true",,,,,,,,,,,,
"131","136","0","true",,,,,,,,,,,,
"132","125","0","true",,,,,,,,,,,,
"133","123","0","true",,,,,,,,,,,,
"134","127","0","true",,,,,,,,,,,,
"135","133","0","true",,,,,,,,,,,,
"136","132","0","true",,,,,,,,,,,,
"137","118","0","true",,,,,,,,,,,,
"138","125","0","true",,,,,,,,,,,,
"139","131","0","true",,,,,,,,,,,,
"140","120","0","true",,,,,,,,,,,,
"141","139","0","true",,,,,,,,,,,,
"142","127","0","true",,,,,,,,,,,,
"143","140","0","true",,,,,,,,,,,,
"144","120","0","true",,,,,,,,,,,,
"145","133","0","true",,,,,,,,,,,,
"146","126","0","true",,,,,,,,,,,,
"147","140","0","true",,,,,,,,,,,,
"148","128","0","true",,,,,,,,,,,,
"149","130","0","true",,,,,,,,,,,,
"150","116","0","true",,,,,,,,,,,,
"151","120","0","true",,,,,,,,,,,,
"152","126","0","true",,,,,,,,,,,,
"153","132","0","true",,,,,,,,,,,,
"154","117","0","true",,,,,,,,,,,,
"155","140","0","true",,,,,,,,,,,,
"156","111","0","true",,,,,,,,,,,,
"157","136","0","true",,,,,,,,,,,,
"158","121","0","true",,,,,,,,,,,,
"159","124","0","true",,,,,,,,,,,,
"160","128","0","true",,,,,,,,,,,,
"161","135","0","true",,,,,,,,,,,,
"162","131","0","true",,,,,,,,,,,,
"163","136","0","true",,,,,,,,,,,,
"164","122","0","true",,,,,,,,,,,,
"165","133","0","true",,,,,,,,,,,,
"166","125","0","true",,,,,,,,,,,,
"167","129","0","true",,,,,,,,,,,,
"168","131","0","true",,,,,,,,,,,,
"169","135","0","true",,,,,,,,,,,,
"170","118","0","true",,,,,,,,,,,,
"171","143","0","true",,,,,,,,,,,,
"172","122","0","true",,,,,,,,,,,,
"173","129","0","true",,,,,,,,,,,,
"174","126","0","true",,,,,,,,,,,,
"175","153","0","true",,,,,,,,,,,,
"176","114","0","true",,,,,,,,,,,,
"177","126","0","true",,,,,,,,,,,,
"178","120","0","true",,,,,,,,,,,,
"179","141","0","true",,,,,,,,,,,,
"180","122","0","true",,,,,,,,,,,,
"181","138","0","true",,,,,,,,,,,,
"182","128","0","true",,,,,,,,,,,,
"183","114","0","true",,,,,,,,,,,,
"184","130","0","true",,,,,,,,,,,,
"185","120","0","true",,,,,,,,,,,,
"186","142","0","true",,,,,,,,,,,,
"187","131","0","true",,,,,,,,,,,,
"188","124","0","true",,,,,,,,,,,,
"189","121","0","true",,,,,,,,,,,,
"190","132","0","true",,,,,,,,,,,,
"191","126","0","true",,,,,,,,,,,,
"192","135","0","true",,,,,,,,,,,,
"193","111","0","true",,,,,,,,,,,,
"194","123","0","true",,,,,,,,,,,,
"195","126","0","true",,,,,,,,,,,,
"196","141","0","true",,,,,,,,,,,,
"197","128","0","true",,,,,,,,,,,,
"198","134","0","true",,,,,,,,,,,,
"199","126","0","true",,,,,,,,,,,,
"200","141","0","true",,,,,,,,,,,,
"201","111","0","true",,,,,,,,,,,,
"202","132","0","true",,,,,,,,,,,,
"203","120","0","true",,,,,,,,,,,,
"204","141","0","true",,,,,,,,,,,,
"205","111","0","true",,,,,,,,,,,,
"206","138","0","true",,,,,,,,,,,,
"207","125","0","true",,,,,,,,,,,,
"208","127","0","true",,,,,,,,,,,,
"209","126","0","true",,,,,,,,,,,,
"210","143","0","true",,,,,,,,,,,,
"211","116","0","true",,,,,,,,,,,,
"212","144","0","true",,,,,,,,,,,,
"213","115","0","true",,,,,,,,,,,,
"214","129","0","true",,,,,,,,,,,,
"215","132","0","true",,,,,,,,,,,,
"216","128","0","true",,,,,,,,,,,,
"217","131","0","true",,,,,,,,,,,,
"218","116","0","true",,,,,,,,,,,,
"219","130","0","true",,,,,,,,,,,,
"220","127","0","true",,,,,,,,,,,,
"221","129","0","true",,,,,,,,,,,,
"222","121","0","true",,,,,,,,,,,,
"223","123","0","true",,,,,,,,,,,,
"224","138","0","true",,,,,,,,,,,,
"225","137","0","true",,,,,,,,,,,,
"226","117","0","true",,,,,,,,,,,,
"227","131","0","true",,,,,,,,,,,,
"228","143","0","true",,,,,,,,,,,,
"229","117","0","true",,,,,,,,,,,,
"230","134","0","true",,,,,,,,,,,,
"231","128","0","true",,,,,,,,,,,,
"232","138","0","true",,,,,,,,,,,,
"233","130","0","true",,,,,,,,,,,,
"234","124","0","true",,,,,,,,,,,,
"235","129","0","true",,,,,,,,,,,,
"236","133","0","true",,,,,,,,,,,,
"237","117","0","true",,,,,,,,,,,,
"238","125","0","true",,,,,,,,,,,,
"239","124","0","true",,,,,,,,,,,,
"240","132","0","true",,,,,,,,,,,,
"241","128","0","true",,,,,,,,,,,,
"242","130","0","true",,,,,,,,,,,,
"243","130","0","true",,,,,,,,,,,,
"244","132","0","true",,,,,,,,,,,,
"245","119","0","true",,,,,,,,,,,,
"246","131","0","true",,,,,,,,,,,,
"247","132","0","true",,,,,,,,,,,,
"248","133","0","true",,,,,,,,,,,,
"249","136","0","true",,,,,,,,,,,,
"250","115","0","true",,,,,,,,,,,,
"251","116","0","true",,,,,,,,,,,,
"252","124","0","true",,,,,,,,,,,,
"253","124","0","true",,,,,,,,,,,,
"254","116","0","true",,,,,,,,,,,,
"255","125","0","true",,,,,,,,,,,,
"256","135","0","true",,,,,,,,,,,,
"257","132","0","true",,,,,,,,,,,,
"258","121","0","true",,,,,,,,,,,,
