"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/24/2018 19:29:25:219 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"false","10","false","false","0","45","false","true","true","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","281","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","255","0","true",,,,,,,,,,,,
"2","4","0","true",,,,,,,,,,,,
"3","252","0","true",,,,,,,,,,,,
"4","5","0","true",,,,,,,,,,,,
"5","253","0","true",,,,,,,,,,,,
"6","8","0","true",,,,,,,,,,,,
"7","250","0","true",,,,,,,,,,,,
"8","7","0","true",,,,,,,,,,,,
"9","251","0","true",,,,,,,,,,,,
"10","9","0","true",,,,,,,,,,,,
"11","246","0","true",,,,,,,,,,,,
"12","11","0","true",,,,,,,,,,,,
"13","248","0","true",,,,,,,,,,,,
"14","15","0","true",,,,,,,,,,,,
"15","244","0","true",,,,,,,,,,,,
"16","14","0","true",,,,,,,,,,,,
"17","245","0","true",,,,,,,,,,,,
"18","16","0","true",,,,,,,,,,,,
"19","240","0","true",,,,,,,,,,,,
"20","15","0","true",,,,,,,,,,,,
"21","244","0","true",,,,,,,,,,,,
"22","23","0","true",,,,,,,,,,,,
"23","233","0","true",,,,,,,,,,,,
"24","20","0","true",,,,,,,,,,,,
"25","242","0","true",,,,,,,,,,,,
"26","18","0","true",,,,,,,,,,,,
"27","232","0","true",,,,,,,,,,,,
"28","32","0","true",,,,,,,,,,,,
"29","228","0","true",,,,,,,,,,,,
"30","30","0","true",,,,,,,,,,,,
"31","228","0","true",,,,,,,,,,,,
"32","28","0","true",,,,,,,,,,,,
"33","227","0","true",,,,,,,,,,,,
"34","33","0","true",,,,,,,,,,,,
"35","230","0","true",,,,,,,,,,,,
"36","27","0","true",,,,,,,,,,,,
"37","234","0","true",,,,,,,,,,,,
"38","25","0","true",,,,,,,,,,,,
"39","231","0","true",,,,,,,,,,,,
"40","32","0","true",,,,,,,,,,,,
"41","221","0","true",,,,,,,,,,,,
"42","38","0","true",,,,,,,,,,,,
"43","224","0","true",,,,,,,,,,,,
"44","28","0","true",,,,,,,,,,,,
"45","228","0","true",,,,,,,,,,,,
"46","36","0","true",,,,,,,,,,,,
"47","219","0","true",,,,,,,,,,,,
"48","38","0","true",,,,,,,,,,,,
"49","219","0","true",,,,,,,,,,,,
"50","43","0","true",,,,,,,,,,,,
"51","213","0","true",,,,,,,,,,,,
"52","39","0","true",,,,,,,,,,,,
"53","215","0","true",,,,,,,,,,,,
"54","43","0","true",,,,,,,,,,,,
"55","211","0","true",,,,,,,,,,,,
"56","44","0","true",,,,,,,,,,,,
"57","216","0","true",,,,,,,,,,,,
"58","51","0","true",,,,,,,,,,,,
"59","205","0","true",,,,,,,,,,,,
"60","48","0","true",,,,,,,,,,,,
"61","213","0","true",,,,,,,,,,,,
"62","40","0","true",,,,,,,,,,,,
"63","209","0","true",,,,,,,,,,,,
"64","41","0","true",,,,,,,,,,,,
"65","208","0","true",,,,,,,,,,,,
"66","50","0","true",,,,,,,,,,,,
"67","205","0","true",,,,,,,,,,,,
"68","45","0","true",,,,,,,,,,,,
"69","209","0","true",,,,,,,,,,,,
"70","47","0","true",,,,,,,,,,,,
"71","207","0","true",,,,,,,,,,,,
"72","51","0","true",,,,,,,,,,,,
"73","200","0","true",,,,,,,,,,,,
"74","62","0","true",,,,,,,,,,,,
"75","196","0","true",,,,,,,,,,,,
"76","56","0","true",,,,,,,,,,,,
"77","205","0","true",,,,,,,,,,,,
"78","51","0","true",,,,,,,,,,,,
"79","192","0","true",,,,,,,,,,,,
"80","57","0","true",,,,,,,,,,,,
"81","188","0","true",,,,,,,,,,,,
"82","61","0","true",,,,,,,,,,,,
"83","203","0","true",,,,,,,,,,,,
"84","53","0","true",,,,,,,,,,,,
"85","200","0","true",,,,,,,,,,,,
"86","55","0","true",,,,,,,,,,,,
"87","191","0","true",,,,,,,,,,,,
"88","70","0","true",,,,,,,,,,,,
"89","188","0","true",,,,,,,,,,,,
"90","73","0","true",,,,,,,,,,,,
"91","178","0","true",,,,,,,,,,,,
"92","68","0","true",,,,,,,,,,,,
"93","190","0","true",,,,,,,,,,,,
"94","64","0","true",,,,,,,,,,,,
"95","188","0","true",,,,,,,,,,,,
"96","72","0","true",,,,,,,,,,,,
"97","179","0","true",,,,,,,,,,,,
"98","75","0","true",,,,,,,,,,,,
"99","175","0","true",,,,,,,,,,,,
"100","77","0","true",,,,,,,,,,,,
"101","175","0","true",,,,,,,,,,,,
"102","80","0","true",,,,,,,,,,,,
"103","170","0","true",,,,,,,,,,,,
"104","79","0","true",,,,,,,,,,,,
"105","175","0","true",,,,,,,,,,,,
"106","81","0","true",,,,,,,,,,,,
"107","166","0","true",,,,,,,,,,,,
"108","77","0","true",,,,,,,,,,,,
"109","191","0","true",,,,,,,,,,,,
"110","63","0","true",,,,,,,,,,,,
"111","173","0","true",,,,,,,,,,,,
"112","93","0","true",,,,,,,,,,,,
"113","157","0","true",,,,,,,,,,,,
"114","90","0","true",,,,,,,,,,,,
"115","170","0","true",,,,,,,,,,,,
"116","80","0","true",,,,,,,,,,,,
"117","175","0","true",,,,,,,,,,,,
"118","86","0","true",,,,,,,,,,,,
"119","163","0","true",,,,,,,,,,,,
"120","95","0","true",,,,,,,,,,,,
"121","167","0","true",,,,,,,,,,,,
"122","90","0","true",,,,,,,,,,,,
"123","161","0","true",,,,,,,,,,,,
"124","95","0","true",,,,,,,,,,,,
"125","157","0","true",,,,,,,,,,,,
"126","91","0","true",,,,,,,,,,,,
"127","160","0","true",,,,,,,,,,,,
"128","88","0","true",,,,,,,,,,,,
"129","164","0","true",,,,,,,,,,,,
"130","98","0","true",,,,,,,,,,,,
"131","157","0","true",,,,,,,,,,,,
"132","101","0","true",,,,,,,,,,,,
"133","158","0","true",,,,,,,,,,,,
"134","97","0","true",,,,,,,,,,,,
"135","156","0","true",,,,,,,,,,,,
"136","94","0","true",,,,,,,,,,,,
"137","158","0","true",,,,,,,,,,,,
"138","106","0","true",,,,,,,,,,,,
"139","143","0","true",,,,,,,,,,,,
"140","106","0","true",,,,,,,,,,,,
"141","157","0","true",,,,,,,,,,,,
"142","97","0","true",,,,,,,,,,,,
"143","150","0","true",,,,,,,,,,,,
"144","117","0","true",,,,,,,,,,,,
"145","138","0","true",,,,,,,,,,,,
"146","109","0","true",,,,,,,,,,,,
"147","142","0","true",,,,,,,,,,,,
"148","103","0","true",,,,,,,,,,,,
"149","146","0","true",,,,,,,,,,,,
"150","116","0","true",,,,,,,,,,,,
"151","130","0","true",,,,,,,,,,,,
"152","114","0","true",,,,,,,,,,,,
"153","150","0","true",,,,,,,,,,,,
"154","112","0","true",,,,,,,,,,,,
"155","135","0","true",,,,,,,,,,,,
"156","119","0","true",,,,,,,,,,,,
"157","136","0","true",,,,,,,,,,,,
"158","113","0","true",,,,,,,,,,,,
"159","138","0","true",,,,,,,,,,,,
"160","113","0","true",,,,,,,,,,,,
"161","136","0","true",,,,,,,,,,,,
"162","125","0","true",,,,,,,,,,,,
"163","128","0","true",,,,,,,,,,,,
"164","123","0","true",,,,,,,,,,,,
"165","133","0","true",,,,,,,,,,,,
"166","126","0","true",,,,,,,,,,,,
"167","132","0","true",,,,,,,,,,,,
"168","125","0","true",,,,,,,,,,,,
"169","129","0","true",,,,,,,,,,,,
"170","127","0","true",,,,,,,,,,,,
"171","127","0","true",,,,,,,,,,,,
"172","123","0","true",,,,,,,,,,,,
"173","146","0","true",,,,,,,,,,,,
"174","113","0","true",,,,,,,,,,,,
"175","134","0","true",,,,,,,,,,,,
"176","135","0","true",,,,,,,,,,,,
"177","122","0","true",,,,,,,,,,,,
"178","129","0","true",,,,,,,,,,,,
"179","130","0","true",,,,,,,,,,,,
"180","119","0","true",,,,,,,,,,,,
"181","128","0","true",,,,,,,,,,,,
"182","125","0","true",,,,,,,,,,,,
"183","124","0","true",,,,,,,,,,,,
"184","131","0","true",,,,,,,,,,,,
"185","136","0","true",,,,,,,,,,,,
"186","118","0","true",,,,,,,,,,,,
"187","130","0","true",,,,,,,,,,,,
"188","130","0","true",,,,,,,,,,,,
"189","133","0","true",,,,,,,,,,,,
"190","115","0","true",,,,,,,,,,,,
"191","141","0","true",,,,,,,,,,,,
"192","122","0","true",,,,,,,,,,,,
"193","127","0","true",,,,,,,,,,,,
"194","133","0","true",,,,,,,,,,,,
"195","117","0","true",,,,,,,,,,,,
"196","130","0","true",,,,,,,,,,,,
"197","122","0","true",,,,,,,,,,,,
"198","127","0","true",,,,,,,,,,,,
"199","136","0","true",,,,,,,,,,,,
"200","130","0","true",,,,,,,,,,,,
"201","129","0","true",,,,,,,,,,,,
"202","119","0","true",,,,,,,,,,,,
"203","135","0","true",,,,,,,,,,,,
"204","121","0","true",,,,,,,,,,,,
"205","129","0","true",,,,,,,,,,,,
"206","138","0","true",,,,,,,,,,,,
"207","127","0","true",,,,,,,,,,,,
"208","119","0","true",,,,,,,,,,,,
"209","131","0","true",,,,,,,,,,,,
"210","117","0","true",,,,,,,,,,,,
"211","133","0","true",,,,,,,,,,,,
"212","139","0","true",,,,,,,,,,,,
"213","128","0","true",,,,,,,,,,,,
"214","128","0","true",,,,,,,,,,,,
"215","119","0","true",,,,,,,,,,,,
"216","131","0","true",,,,,,,,,,,,
"217","135","0","true",,,,,,,,,,,,
"218","122","0","true",,,,,,,,,,,,
"219","134","0","true",,,,,,,,,,,,
"220","135","0","true",,,,,,,,,,,,
"221","113","0","true",,,,,,,,,,,,
"222","144","0","true",,,,,,,,,,,,
"223","113","0","true",,,,,,,,,,,,
"224","129","0","true",,,,,,,,,,,,
"225","136","0","true",,,,,,,,,,,,
"226","112","0","true",,,,,,,,,,,,
"227","127","0","true",,,,,,,,,,,,
"228","133","0","true",,,,,,,,,,,,
"229","125","0","true",,,,,,,,,,,,
"230","138","0","true",,,,,,,,,,,,
"231","116","0","true",,,,,,,,,,,,
"232","136","0","true",,,,,,,,,,,,
"233","125","0","true",,,,,,,,,,,,
"234","123","0","true",,,,,,,,,,,,
"235","142","0","true",,,,,,,,,,,,
"236","121","0","true",,,,,,,,,,,,
"237","127","0","true",,,,,,,,,,,,
"238","127","0","true",,,,,,,,,,,,
"239","134","0","true",,,,,,,,,,,,
"240","119","0","true",,,,,,,,,,,,
"241","135","0","true",,,,,,,,,,,,
"242","126","0","true",,,,,,,,,,,,
"243","131","0","true",,,,,,,,,,,,
"244","117","0","true",,,,,,,,,,,,
"245","146","0","true",,,,,,,,,,,,
"246","115","0","true",,,,,,,,,,,,
"247","132","0","true",,,,,,,,,,,,
"248","135","0","true",,,,,,,,,,,,
"249","117","0","true",,,,,,,,,,,,
"250","130","0","true",,,,,,,,,,,,
"251","144","0","true",,,,,,,,,,,,
"252","124","0","true",,,,,,,,,,,,
"253","117","0","true",,,,,,,,,,,,
"254","141","0","true",,,,,,,,,,,,
"255","113","0","true",,,,,,,,,,,,
"256","133","0","true",,,,,,,,,,,,
"257","126","0","true",,,,,,,,,,,,
"258","132","0","true",,,,,,,,,,,,
"259","132","0","true",,,,,,,,,,,,
"260","136","0","true",,,,,,,,,,,,
"261","123","0","true",,,,,,,,,,,,
"262","123","0","true",,,,,,,,,,,,
"263","137","0","true",,,,,,,,,,,,
"264","123","0","true",,,,,,,,,,,,
"265","123","0","true",,,,,,,,,,,,
"266","123","0","true",,,,,,,,,,,,
"267","126","0","true",,,,,,,,,,,,
"268","131","0","true",,,,,,,,,,,,
"269","124","0","true",,,,,,,,,,,,
"270","119","0","true",,,,,,,,,,,,
"271","140","0","true",,,,,,,,,,,,
"272","118","0","true",,,,,,,,,,,,
"273","118","0","true",,,,,,,,,,,,
"274","144","0","true",,,,,,,,,,,,
"275","123","0","true",,,,,,,,,,,,
"276","116","0","true",,,,,,,,,,,,
"277","139","0","true",,,,,,,,,,,,
"278","121","0","true",,,,,,,,,,,,
"279","113","0","true",,,,,,,,,,,,
"280","142","0","true",,,,,,,,,,,,
"281","120","0","true",,,,,,,,,,,,
"282","119","0","true",,,,,,,,,,,,
