"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/25/2018 01:33:09:157 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","ooo","auto-continue?","foreground","oii"
"false","10","true","true","0","62","false","true","true","false","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","174","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","3","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","6","0","true",,,,,,,,,,,,
"4","5","0","true",,,,,,,,,,,,
"5","8","0","true",,,,,,,,,,,,
"6","9","0","true",,,,,,,,,,,,
"7","10","0","true",,,,,,,,,,,,
"8","10","0","true",,,,,,,,,,,,
"9","14","0","true",,,,,,,,,,,,
"10","13","0","true",,,,,,,,,,,,
"11","15","0","true",,,,,,,,,,,,
"12","16","0","true",,,,,,,,,,,,
"13","18","0","true",,,,,,,,,,,,
"14","18","0","true",,,,,,,,,,,,
"15","21","0","true",,,,,,,,,,,,
"16","20","0","true",,,,,,,,,,,,
"17","23","0","true",,,,,,,,,,,,
"18","24","0","true",,,,,,,,,,,,
"19","25","0","true",,,,,,,,,,,,
"20","25","0","true",,,,,,,,,,,,
"21","29","0","true",,,,,,,,,,,,
"22","28","0","true",,,,,,,,,,,,
"23","30","0","true",,,,,,,,,,,,
"24","31","0","true",,,,,,,,,,,,
"25","33","0","true",,,,,,,,,,,,
"26","33","0","true",,,,,,,,,,,,
"27","36","0","true",,,,,,,,,,,,
"28","35","0","true",,,,,,,,,,,,
"29","38","0","true",,,,,,,,,,,,
"30","39","0","true",,,,,,,,,,,,
"31","40","0","true",,,,,,,,,,,,
"32","40","0","true",,,,,,,,,,,,
"33","44","0","true",,,,,,,,,,,,
"34","43","0","true",,,,,,,,,,,,
"35","45","0","true",,,,,,,,,,,,
"36","46","0","true",,,,,,,,,,,,
"37","48","0","true",,,,,,,,,,,,
"38","48","0","true",,,,,,,,,,,,
"39","51","0","true",,,,,,,,,,,,
"40","50","0","true",,,,,,,,,,,,
"41","53","0","true",,,,,,,,,,,,
"42","54","0","true",,,,,,,,,,,,
"43","55","0","true",,,,,,,,,,,,
"44","55","0","true",,,,,,,,,,,,
"45","59","0","true",,,,,,,,,,,,
"46","58","0","true",,,,,,,,,,,,
"47","60","0","true",,,,,,,,,,,,
"48","61","0","true",,,,,,,,,,,,
"49","63","0","true",,,,,,,,,,,,
"50","63","0","true",,,,,,,,,,,,
"51","66","0","true",,,,,,,,,,,,
"52","65","0","true",,,,,,,,,,,,
"53","68","0","true",,,,,,,,,,,,
"54","69","0","true",,,,,,,,,,,,
"55","70","0","true",,,,,,,,,,,,
"56","70","0","true",,,,,,,,,,,,
"57","74","0","true",,,,,,,,,,,,
"58","73","0","true",,,,,,,,,,,,
"59","75","0","true",,,,,,,,,,,,
"60","76","0","true",,,,,,,,,,,,
"61","78","0","true",,,,,,,,,,,,
"62","78","0","true",,,,,,,,,,,,
"63","81","0","true",,,,,,,,,,,,
"64","80","0","true",,,,,,,,,,,,
"65","83","0","true",,,,,,,,,,,,
"66","84","0","true",,,,,,,,,,,,
"67","85","0","true",,,,,,,,,,,,
"68","85","0","true",,,,,,,,,,,,
"69","89","0","true",,,,,,,,,,,,
"70","88","0","true",,,,,,,,,,,,
"71","90","0","true",,,,,,,,,,,,
"72","91","0","true",,,,,,,,,,,,
"73","93","0","true",,,,,,,,,,,,
"74","93","0","true",,,,,,,,,,,,
"75","96","0","true",,,,,,,,,,,,
"76","95","0","true",,,,,,,,,,,,
"77","98","0","true",,,,,,,,,,,,
"78","99","0","true",,,,,,,,,,,,
"79","100","0","true",,,,,,,,,,,,
"80","100","0","true",,,,,,,,,,,,
"81","104","0","true",,,,,,,,,,,,
"82","103","0","true",,,,,,,,,,,,
"83","105","0","true",,,,,,,,,,,,
"84","106","0","true",,,,,,,,,,,,
"85","108","0","true",,,,,,,,,,,,
"86","108","0","true",,,,,,,,,,,,
"87","111","0","true",,,,,,,,,,,,
"88","110","0","true",,,,,,,,,,,,
"89","113","0","true",,,,,,,,,,,,
"90","114","0","true",,,,,,,,,,,,
"91","115","0","true",,,,,,,,,,,,
"92","115","0","true",,,,,,,,,,,,
"93","119","0","true",,,,,,,,,,,,
"94","118","0","true",,,,,,,,,,,,
"95","120","0","true",,,,,,,,,,,,
"96","121","0","true",,,,,,,,,,,,
"97","123","0","true",,,,,,,,,,,,
"98","123","0","true",,,,,,,,,,,,
"99","126","0","true",,,,,,,,,,,,
"100","125","0","true",,,,,,,,,,,,
"101","128","0","true",,,,,,,,,,,,
"102","129","0","true",,,,,,,,,,,,
"103","130","0","true",,,,,,,,,,,,
"104","130","0","true",,,,,,,,,,,,
"105","134","0","true",,,,,,,,,,,,
"106","133","0","true",,,,,,,,,,,,
"107","135","0","true",,,,,,,,,,,,
"108","136","0","true",,,,,,,,,,,,
"109","138","0","true",,,,,,,,,,,,
"110","138","0","true",,,,,,,,,,,,
"111","141","0","true",,,,,,,,,,,,
"112","140","0","true",,,,,,,,,,,,
"113","143","0","true",,,,,,,,,,,,
"114","144","0","true",,,,,,,,,,,,
"115","145","0","true",,,,,,,,,,,,
"116","145","0","true",,,,,,,,,,,,
"117","149","0","true",,,,,,,,,,,,
"118","148","0","true",,,,,,,,,,,,
"119","150","0","true",,,,,,,,,,,,
"120","151","0","true",,,,,,,,,,,,
"121","153","0","true",,,,,,,,,,,,
"122","153","0","true",,,,,,,,,,,,
"123","156","0","true",,,,,,,,,,,,
"124","155","0","true",,,,,,,,,,,,
"125","158","0","true",,,,,,,,,,,,
"126","159","0","true",,,,,,,,,,,,
"127","160","0","true",,,,,,,,,,,,
"128","160","0","true",,,,,,,,,,,,
"129","161","0","true",,,,,,,,,,,,
"130","161","0","true",,,,,,,,,,,,
"131","159","0","true",,,,,,,,,,,,
"132","162","0","true",,,,,,,,,,,,
"133","160","0","true",,,,,,,,,,,,
"134","160","0","true",,,,,,,,,,,,
"135","161","0","true",,,,,,,,,,,,
"136","161","0","true",,,,,,,,,,,,
"137","159","0","true",,,,,,,,,,,,
"138","162","0","true",,,,,,,,,,,,
"139","160","0","true",,,,,,,,,,,,
"140","160","0","true",,,,,,,,,,,,
"141","161","0","true",,,,,,,,,,,,
"142","161","0","true",,,,,,,,,,,,
"143","159","0","true",,,,,,,,,,,,
"144","162","0","true",,,,,,,,,,,,
"145","160","0","true",,,,,,,,,,,,
"146","160","0","true",,,,,,,,,,,,
"147","161","0","true",,,,,,,,,,,,
"148","161","0","true",,,,,,,,,,,,
"149","159","0","true",,,,,,,,,,,,
"150","162","0","true",,,,,,,,,,,,
"151","160","0","true",,,,,,,,,,,,
"152","160","0","true",,,,,,,,,,,,
"153","161","0","true",,,,,,,,,,,,
"154","161","0","true",,,,,,,,,,,,
"155","159","0","true",,,,,,,,,,,,
"156","162","0","true",,,,,,,,,,,,
"157","160","0","true",,,,,,,,,,,,
"158","160","0","true",,,,,,,,,,,,
"159","161","0","true",,,,,,,,,,,,
"160","161","0","true",,,,,,,,,,,,
"161","159","0","true",,,,,,,,,,,,
"162","162","0","true",,,,,,,,,,,,
"163","160","0","true",,,,,,,,,,,,
"164","160","0","true",,,,,,,,,,,,
"165","161","0","true",,,,,,,,,,,,
"166","161","0","true",,,,,,,,,,,,
"167","159","0","true",,,,,,,,,,,,
"168","162","0","true",,,,,,,,,,,,
"169","160","0","true",,,,,,,,,,,,
"170","160","0","true",,,,,,,,,,,,
"171","161","0","true",,,,,,,,,,,,
"172","161","0","true",,,,,,,,,,,,
"173","159","0","true",,,,,,,,,,,,
"174","162","0","true",,,,,,,,,,,,
"175","160","0","true",,,,,,,,,,,,
"176","160","0","true",,,,,,,,,,,,
"177","161","0","true",,,,,,,,,,,,
"178","161","0","true",,,,,,,,,,,,
"179","159","0","true",,,,,,,,,,,,
"180","162","0","true",,,,,,,,,,,,
"181","160","0","true",,,,,,,,,,,,
"182","160","0","true",,,,,,,,,,,,
"183","161","0","true",,,,,,,,,,,,
"184","161","0","true",,,,,,,,,,,,
"185","159","0","true",,,,,,,,,,,,
"186","162","0","true",,,,,,,,,,,,
"187","160","0","true",,,,,,,,,,,,
"188","160","0","true",,,,,,,,,,,,
"189","161","0","true",,,,,,,,,,,,
"190","161","0","true",,,,,,,,,,,,
"191","159","0","true",,,,,,,,,,,,
"192","162","0","true",,,,,,,,,,,,
"193","160","0","true",,,,,,,,,,,,
"194","160","0","true",,,,,,,,,,,,
"195","161","0","true",,,,,,,,,,,,
"196","161","0","true",,,,,,,,,,,,
"197","159","0","true",,,,,,,,,,,,
"198","162","0","true",,,,,,,,,,,,
"199","160","0","true",,,,,,,,,,,,
"200","160","0","true",,,,,,,,,,,,
"201","161","0","true",,,,,,,,,,,,
"202","161","0","true",,,,,,,,,,,,
"203","159","0","true",,,,,,,,,,,,
"204","162","0","true",,,,,,,,,,,,
"205","160","0","true",,,,,,,,,,,,
"206","160","0","true",,,,,,,,,,,,
"207","161","0","true",,,,,,,,,,,,
"208","161","0","true",,,,,,,,,,,,
"209","159","0","true",,,,,,,,,,,,
"210","162","0","true",,,,,,,,,,,,
"211","160","0","true",,,,,,,,,,,,
"212","160","0","true",,,,,,,,,,,,
"213","161","0","true",,,,,,,,,,,,
"214","161","0","true",,,,,,,,,,,,
"215","159","0","true",,,,,,,,,,,,
"216","162","0","true",,,,,,,,,,,,
"217","160","0","true",,,,,,,,,,,,
"218","160","0","true",,,,,,,,,,,,
"219","161","0","true",,,,,,,,,,,,
"220","161","0","true",,,,,,,,,,,,
"221","159","0","true",,,,,,,,,,,,
"222","162","0","true",,,,,,,,,,,,
"223","160","0","true",,,,,,,,,,,,
"224","160","0","true",,,,,,,,,,,,
"225","161","0","true",,,,,,,,,,,,
"226","161","0","true",,,,,,,,,,,,
"227","159","0","true",,,,,,,,,,,,
"228","162","0","true",,,,,,,,,,,,
"229","160","0","true",,,,,,,,,,,,
"230","160","0","true",,,,,,,,,,,,
"231","161","0","true",,,,,,,,,,,,
"232","161","0","true",,,,,,,,,,,,
"233","159","0","true",,,,,,,,,,,,
"234","162","0","true",,,,,,,,,,,,
"235","160","0","true",,,,,,,,,,,,
"236","160","0","true",,,,,,,,,,,,
"237","161","0","true",,,,,,,,,,,,
"238","161","0","true",,,,,,,,,,,,
"239","159","0","true",,,,,,,,,,,,
"240","162","0","true",,,,,,,,,,,,
"241","160","0","true",,,,,,,,,,,,
"242","160","0","true",,,,,,,,,,,,
"243","161","0","true",,,,,,,,,,,,
"244","161","0","true",,,,,,,,,,,,
"245","159","0","true",,,,,,,,,,,,
"246","162","0","true",,,,,,,,,,,,
"247","160","0","true",,,,,,,,,,,,
"248","160","0","true",,,,,,,,,,,,
"249","161","0","true",,,,,,,,,,,,
"250","161","0","true",,,,,,,,,,,,
"251","159","0","true",,,,,,,,,,,,
"252","162","0","true",,,,,,,,,,,,
"253","160","0","true",,,,,,,,,,,,
"254","160","0","true",,,,,,,,,,,,
"255","161","0","true",,,,,,,,,,,,
"256","161","0","true",,,,,,,,,,,,
"257","159","0","true",,,,,,,,,,,,
"258","162","0","true",,,,,,,,,,,,
