"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/27/2018 12:57:27:041 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","oii"
"true","10","false","false","0","73","false","false","false","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","279","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","254","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","250","0","true",,,,,,,,,,,,
"4","7","0","true",,,,,,,,,,,,
"5","248","0","true",,,,,,,,,,,,
"6","5","0","true",,,,,,,,,,,,
"7","244","0","true",,,,,,,,,,,,
"8","9","0","true",,,,,,,,,,,,
"9","244","0","true",,,,,,,,,,,,
"10","5","0","true",,,,,,,,,,,,
"11","244","0","true",,,,,,,,,,,,
"12","13","0","true",,,,,,,,,,,,
"13","236","0","true",,,,,,,,,,,,
"14","11","0","true",,,,,,,,,,,,
"15","236","0","true",,,,,,,,,,,,
"16","15","0","true",,,,,,,,,,,,
"17","232","0","true",,,,,,,,,,,,
"18","19","0","true",,,,,,,,,,,,
"19","228","0","true",,,,,,,,,,,,
"20","23","0","true",,,,,,,,,,,,
"21","224","0","true",,,,,,,,,,,,
"22","17","0","true",,,,,,,,,,,,
"23","230","0","true",,,,,,,,,,,,
"24","19","0","true",,,,,,,,,,,,
"25","222","0","true",,,,,,,,,,,,
"26","25","0","true",,,,,,,,,,,,
"27","220","0","true",,,,,,,,,,,,
"28","19","0","true",,,,,,,,,,,,
"29","218","0","true",,,,,,,,,,,,
"30","25","0","true",,,,,,,,,,,,
"31","208","0","true",,,,,,,,,,,,
"32","37","0","true",,,,,,,,,,,,
"33","210","0","true",,,,,,,,,,,,
"34","27","0","true",,,,,,,,,,,,
"35","212","0","true",,,,,,,,,,,,
"36","35","0","true",,,,,,,,,,,,
"37","202","0","true",,,,,,,,,,,,
"38","37","0","true",,,,,,,,,,,,
"39","208","0","true",,,,,,,,,,,,
