"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/27/2018 12:36:47:675 -0500"

"MODEL SETTINGS"
"iio","density","ooi","ioo","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","oii"
"true","10","true","false","0","75","false","false","false","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","281","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","255","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","254","0","true",,,,,,,,,,,,
"4","5","0","true",,,,,,,,,,,,
"5","251","0","true",,,,,,,,,,,,
"6","5","0","true",,,,,,,,,,,,
"7","251","0","true",,,,,,,,,,,,
"8","7","0","true",,,,,,,,,,,,
"9","248","0","true",,,,,,,,,,,,
"10","8","0","true",,,,,,,,,,,,
"11","248","0","true",,,,,,,,,,,,
"12","10","0","true",,,,,,,,,,,,
"13","247","0","true",,,,,,,,,,,,
"14","10","0","true",,,,,,,,,,,,
"15","244","0","true",,,,,,,,,,,,
"16","13","0","true",,,,,,,,,,,,
"17","241","0","true",,,,,,,,,,,,
"18","14","0","true",,,,,,,,,,,,
"19","242","0","true",,,,,,,,,,,,
"20","17","0","true",,,,,,,,,,,,
"21","241","0","true",,,,,,,,,,,,
"22","15","0","true",,,,,,,,,,,,
"23","238","0","true",,,,,,,,,,,,
"24","19","0","true",,,,,,,,,,,,
"25","239","0","true",,,,,,,,,,,,
"26","14","0","true",,,,,,,,,,,,
"27","241","0","true",,,,,,,,,,,,
"28","22","0","true",,,,,,,,,,,,
"29","233","0","true",,,,,,,,,,,,
"30","24","0","true",,,,,,,,,,,,
"31","230","0","true",,,,,,,,,,,,
"32","26","0","true",,,,,,,,,,,,
"33","230","0","true",,,,,,,,,,,,
"34","24","0","true",,,,,,,,,,,,
"35","236","0","true",,,,,,,,,,,,
"36","27","0","true",,,,,,,,,,,,
"37","224","0","true",,,,,,,,,,,,
"38","32","0","true",,,,,,,,,,,,
"39","226","0","true",,,,,,,,,,,,
"40","30","0","true",,,,,,,,,,,,
"41","231","0","true",,,,,,,,,,,,
"42","29","0","true",,,,,,,,,,,,
"43","226","0","true",,,,,,,,,,,,
"44","36","0","true",,,,,,,,,,,,
"45","224","0","true",,,,,,,,,,,,
"46","38","0","true",,,,,,,,,,,,
"47","220","0","true",,,,,,,,,,,,
"48","34","0","true",,,,,,,,,,,,
"49","228","0","true",,,,,,,,,,,,
"50","32","0","true",,,,,,,,,,,,
"51","222","0","true",,,,,,,,,,,,
"52","45","0","true",,,,,,,,,,,,
"53","213","0","true",,,,,,,,,,,,
"54","41","0","true",,,,,,,,,,,,
"55","219","0","true",,,,,,,,,,,,
"56","43","0","true",,,,,,,,,,,,
"57","216","0","true",,,,,,,,,,,,
"58","46","0","true",,,,,,,,,,,,
"59","220","0","true",,,,,,,,,,,,
"60","43","0","true",,,,,,,,,,,,
"61","219","0","true",,,,,,,,,,,,
"62","49","0","true",,,,,,,,,,,,
"63","209","0","true",,,,,,,,,,,,
"64","46","0","true",,,,,,,,,,,,
"65","216","0","true",,,,,,,,,,,,
"66","43","0","true",,,,,,,,,,,,
"67","215","0","true",,,,,,,,,,,,
"68","56","0","true",,,,,,,,,,,,
"69","205","0","true",,,,,,,,,,,,
"70","61","0","true",,,,,,,,,,,,
"71","203","0","true",,,,,,,,,,,,
"72","54","0","true",,,,,,,,,,,,
"73","216","0","true",,,,,,,,,,,,
"74","51","0","true",,,,,,,,,,,,
"75","208","0","true",,,,,,,,,,,,
"76","60","0","true",,,,,,,,,,,,
"77","199","0","true",,,,,,,,,,,,
"78","57","0","true",,,,,,,,,,,,
"79","201","0","true",,,,,,,,,,,,
"80","59","0","true",,,,,,,,,,,,
"81","202","0","true",,,,,,,,,,,,
"82","62","0","true",,,,,,,,,,,,
"83","202","0","true",,,,,,,,,,,,
"84","62","0","true",,,,,,,,,,,,
"85","195","0","true",,,,,,,,,,,,
"86","67","0","true",,,,,,,,,,,,
"87","184","0","true",,,,,,,,,,,,
"88","75","0","true",,,,,,,,,,,,
"89","193","0","true",,,,,,,,,,,,
"90","66","0","true",,,,,,,,,,,,
"91","199","0","true",,,,,,,,,,,,
"92","69","0","true",,,,,,,,,,,,
"93","181","0","true",,,,,,,,,,,,
"94","84","0","true",,,,,,,,,,,,
"95","178","0","true",,,,,,,,,,,,
"96","74","0","true",,,,,,,,,,,,
"97","192","0","true",,,,,,,,,,,,
"98","70","0","true",,,,,,,,,,,,
"99","183","0","true",,,,,,,,,,,,
"100","84","0","true",,,,,,,,,,,,
"101","180","0","true",,,,,,,,,,,,
"102","69","0","true",,,,,,,,,,,,
"103","181","0","true",,,,,,,,,,,,
"104","84","0","true",,,,,,,,,,,,
"105","175","0","true",,,,,,,,,,,,
"106","90","0","true",,,,,,,,,,,,
"107","170","0","true",,,,,,,,,,,,
"108","91","0","true",,,,,,,,,,,,
"109","175","0","true",,,,,,,,,,,,
"110","90","0","true",,,,,,,,,,,,
"111","165","0","true",,,,,,,,,,,,
"112","92","0","true",,,,,,,,,,,,
"113","175","0","true",,,,,,,,,,,,
"114","79","0","true",,,,,,,,,,,,
"115","178","0","true",,,,,,,,,,,,
"116","94","0","true",,,,,,,,,,,,
"117","156","0","true",,,,,,,,,,,,
"118","100","0","true",,,,,,,,,,,,
"119","164","0","true",,,,,,,,,,,,
"120","87","0","true",,,,,,,,,,,,
"121","177","0","true",,,,,,,,,,,,
"122","85","0","true",,,,,,,,,,,,
"123","169","0","true",,,,,,,,,,,,
"124","101","0","true",,,,,,,,,,,,
"125","157","0","true",,,,,,,,,,,,
"126","94","0","true",,,,,,,,,,,,
"127","165","0","true",,,,,,,,,,,,
"128","100","0","true",,,,,,,,,,,,
"129","162","0","true",,,,,,,,,,,,
"130","101","0","true",,,,,,,,,,,,
"131","172","0","true",,,,,,,,,,,,
"132","96","0","true",,,,,,,,,,,,
"133","154","0","true",,,,,,,,,,,,
"134","109","0","true",,,,,,,,,,,,
"135","149","0","true",,,,,,,,,,,,
"136","112","0","true",,,,,,,,,,,,
"137","157","0","true",,,,,,,,,,,,
"138","101","0","true",,,,,,,,,,,,
"139","157","0","true",,,,,,,,,,,,
"140","114","0","true",,,,,,,,,,,,
"141","140","0","true",,,,,,,,,,,,
"142","112","0","true",,,,,,,,,,,,
"143","151","0","true",,,,,,,,,,,,
"144","114","0","true",,,,,,,,,,,,
"145","150","0","true",,,,,,,,,,,,
"146","115","0","true",,,,,,,,,,,,
"147","147","0","true",,,,,,,,,,,,
"148","116","0","true",,,,,,,,,,,,
"149","141","0","true",,,,,,,,,,,,
"150","107","0","true",,,,,,,,,,,,
"151","147","0","true",,,,,,,,,,,,
"152","118","0","true",,,,,,,,,,,,
"153","145","0","true",,,,,,,,,,,,
"154","107","0","true",,,,,,,,,,,,
"155","151","0","true",,,,,,,,,,,,
"156","124","0","true",,,,,,,,,,,,
"157","132","0","true",,,,,,,,,,,,
"158","122","0","true",,,,,,,,,,,,
"159","133","0","true",,,,,,,,,,,,
"160","130","0","true",,,,,,,,,,,,
"161","124","0","true",,,,,,,,,,,,
"162","129","0","true",,,,,,,,,,,,
"163","135","0","true",,,,,,,,,,,,
"164","113","0","true",,,,,,,,,,,,
"165","144","0","true",,,,,,,,,,,,
"166","126","0","true",,,,,,,,,,,,
"167","130","0","true",,,,,,,,,,,,
"168","123","0","true",,,,,,,,,,,,
"169","136","0","true",,,,,,,,,,,,
"170","126","0","true",,,,,,,,,,,,
"171","131","0","true",,,,,,,,,,,,
"172","124","0","true",,,,,,,,,,,,
"173","137","0","true",,,,,,,,,,,,
"174","127","0","true",,,,,,,,,,,,
"175","126","0","true",,,,,,,,,,,,
"176","122","0","true",,,,,,,,,,,,
"177","130","0","true",,,,,,,,,,,,
"178","124","0","true",,,,,,,,,,,,
"179","143","0","true",,,,,,,,,,,,
"180","121","0","true",,,,,,,,,,,,
"181","134","0","true",,,,,,,,,,,,
"182","133","0","true",,,,,,,,,,,,
"183","122","0","true",,,,,,,,,,,,
"184","129","0","true",,,,,,,,,,,,
"185","132","0","true",,,,,,,,,,,,
"186","135","0","true",,,,,,,,,,,,
"187","131","0","true",,,,,,,,,,,,
"188","126","0","true",,,,,,,,,,,,
"189","132","0","true",,,,,,,,,,,,
"190","126","0","true",,,,,,,,,,,,
"191","131","0","true",,,,,,,,,,,,
"192","129","0","true",,,,,,,,,,,,
"193","120","0","true",,,,,,,,,,,,
"194","123","0","true",,,,,,,,,,,,
"195","145","0","true",,,,,,,,,,,,
"196","124","0","true",,,,,,,,,,,,
"197","131","0","true",,,,,,,,,,,,
"198","135","0","true",,,,,,,,,,,,
"199","129","0","true",,,,,,,,,,,,
"200","123","0","true",,,,,,,,,,,,
"201","142","0","true",,,,,,,,,,,,
"202","137","0","true",,,,,,,,,,,,
"203","121","0","true",,,,,,,,,,,,
"204","121","0","true",,,,,,,,,,,,
"205","142","0","true",,,,,,,,,,,,
"206","122","0","true",,,,,,,,,,,,
"207","131","0","true",,,,,,,,,,,,
"208","119","0","true",,,,,,,,,,,,
"209","142","0","true",,,,,,,,,,,,
"210","121","0","true",,,,,,,,,,,,
"211","140","0","true",,,,,,,,,,,,
"212","114","0","true",,,,,,,,,,,,
"213","139","0","true",,,,,,,,,,,,
"214","123","0","true",,,,,,,,,,,,
"215","128","0","true",,,,,,,,,,,,
"216","128","0","true",,,,,,,,,,,,
"217","125","0","true",,,,,,,,,,,,
"218","131","0","true",,,,,,,,,,,,
"219","131","0","true",,,,,,,,,,,,
"220","126","0","true",,,,,,,,,,,,
"221","144","0","true",,,,,,,,,,,,
"222","123","0","true",,,,,,,,,,,,
"223","141","0","true",,,,,,,,,,,,
"224","128","0","true",,,,,,,,,,,,
"225","134","0","true",,,,,,,,,,,,
"226","124","0","true",,,,,,,,,,,,
"227","136","0","true",,,,,,,,,,,,
"228","125","0","true",,,,,,,,,,,,
"229","141","0","true",,,,,,,,,,,,
"230","127","0","true",,,,,,,,,,,,
"231","136","0","true",,,,,,,,,,,,
"232","127","0","true",,,,,,,,,,,,
"233","136","0","true",,,,,,,,,,,,
"234","124","0","true",,,,,,,,,,,,
"235","144","0","true",,,,,,,,,,,,
"236","124","0","true",,,,,,,,,,,,
"237","128","0","true",,,,,,,,,,,,
"238","141","0","true",,,,,,,,,,,,
"239","117","0","true",,,,,,,,,,,,
"240","132","0","true",,,,,,,,,,,,
"241","142","0","true",,,,,,,,,,,,
"242","111","0","true",,,,,,,,,,,,
"243","123","0","true",,,,,,,,,,,,
"244","141","0","true",,,,,,,,,,,,
"245","129","0","true",,,,,,,,,,,,
"246","120","0","true",,,,,,,,,,,,
"247","148","0","true",,,,,,,,,,,,
"248","121","0","true",,,,,,,,,,,,
"249","147","0","true",,,,,,,,,,,,
"250","117","0","true",,,,,,,,,,,,
"251","142","0","true",,,,,,,,,,,,
"252","121","0","true",,,,,,,,,,,,
"253","126","0","true",,,,,,,,,,,,
"254","135","0","true",,,,,,,,,,,,
"255","122","0","true",,,,,,,,,,,,
"256","127","0","true",,,,,,,,,,,,
"257","131","0","true",,,,,,,,,,,,
"258","120","0","true",,,,,,,,,,,,
"259","133","0","true",,,,,,,,,,,,
"260","135","0","true",,,,,,,,,,,,
"261","130","0","true",,,,,,,,,,,,
"262","109","0","true",,,,,,,,,,,,
"263","135","0","true",,,,,,,,,,,,
"264","126","0","true",,,,,,,,,,,,
"265","125","0","true",,,,,,,,,,,,
"266","134","0","true",,,,,,,,,,,,
"267","120","0","true",,,,,,,,,,,,
"268","128","0","true",,,,,,,,,,,,
"269","131","0","true",,,,,,,,,,,,
"270","134","0","true",,,,,,,,,,,,
"271","127","0","true",,,,,,,,,,,,
"272","124","0","true",,,,,,,,,,,,
"273","126","0","true",,,,,,,,,,,,
"274","131","0","true",,,,,,,,,,,,
"275","130","0","true",,,,,,,,,,,,
"276","139","0","true",,,,,,,,,,,,
"277","116","0","true",,,,,,,,,,,,
"278","134","0","true",,,,,,,,,,,,
"279","127","0","true",,,,,,,,,,,,
"280","131","0","true",,,,,,,,,,,,
"281","135","0","true",,,,,,,,,,,,
"282","120","0","true",,,,,,,,,,,,
