"export-plots data (NetLogo 6.0.4)"
".CA 1D Elementary_extraer_datos.tmp.nlogo"
"08/28/2018 15:43:04:737 -0500"

"MODEL SETTINGS"
"oii","density","ioo","ooi","background","rule","iii","oio","ioi","auto-continue?","ooo","foreground","iio"
"true","10","false","false","0","77","false","true","false","true","true","55","true"

"""plot 1"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","62500","0","281","true","""fila actual""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""fila actual""","true","0","1","0","60000"
"""regla antigua""","true","0","1","5","0"
"""rules shown""","true","0","1","15","0"
"""gone""","true","0","1","25","0"

"""fila actual""",,,,"""regla antigua""",,,,"""rules shown""",,,,"""gone"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true",,,,,,,,,,,,
"1","255","0","true",,,,,,,,,,,,
"2","3","0","true",,,,,,,,,,,,
"3","253","0","true",,,,,,,,,,,,
"4","5","0","true",,,,,,,,,,,,
"5","251","0","true",,,,,,,,,,,,
"6","7","0","true",,,,,,,,,,,,
"7","249","0","true",,,,,,,,,,,,
"8","9","0","true",,,,,,,,,,,,
"9","247","0","true",,,,,,,,,,,,
"10","11","0","true",,,,,,,,,,,,
"11","245","0","true",,,,,,,,,,,,
"12","13","0","true",,,,,,,,,,,,
"13","243","0","true",,,,,,,,,,,,
"14","15","0","true",,,,,,,,,,,,
"15","241","0","true",,,,,,,,,,,,
"16","17","0","true",,,,,,,,,,,,
"17","239","0","true",,,,,,,,,,,,
"18","19","0","true",,,,,,,,,,,,
"19","237","0","true",,,,,,,,,,,,
"20","21","0","true",,,,,,,,,,,,
"21","235","0","true",,,,,,,,,,,,
"22","23","0","true",,,,,,,,,,,,
"23","233","0","true",,,,,,,,,,,,
"24","25","0","true",,,,,,,,,,,,
"25","231","0","true",,,,,,,,,,,,
"26","27","0","true",,,,,,,,,,,,
"27","229","0","true",,,,,,,,,,,,
"28","29","0","true",,,,,,,,,,,,
"29","227","0","true",,,,,,,,,,,,
"30","31","0","true",,,,,,,,,,,,
"31","225","0","true",,,,,,,,,,,,
"32","33","0","true",,,,,,,,,,,,
"33","223","0","true",,,,,,,,,,,,
"34","35","0","true",,,,,,,,,,,,
"35","221","0","true",,,,,,,,,,,,
"36","37","0","true",,,,,,,,,,,,
"37","219","0","true",,,,,,,,,,,,
"38","39","0","true",,,,,,,,,,,,
"39","217","0","true",,,,,,,,,,,,
"40","41","0","true",,,,,,,,,,,,
"41","215","0","true",,,,,,,,,,,,
"42","43","0","true",,,,,,,,,,,,
"43","213","0","true",,,,,,,,,,,,
"44","45","0","true",,,,,,,,,,,,
"45","211","0","true",,,,,,,,,,,,
"46","47","0","true",,,,,,,,,,,,
"47","209","0","true",,,,,,,,,,,,
"48","49","0","true",,,,,,,,,,,,
"49","207","0","true",,,,,,,,,,,,
"50","51","0","true",,,,,,,,,,,,
"51","205","0","true",,,,,,,,,,,,
"52","53","0","true",,,,,,,,,,,,
"53","203","0","true",,,,,,,,,,,,
"54","55","0","true",,,,,,,,,,,,
"55","201","0","true",,,,,,,,,,,,
"56","57","0","true",,,,,,,,,,,,
"57","199","0","true",,,,,,,,,,,,
"58","59","0","true",,,,,,,,,,,,
"59","197","0","true",,,,,,,,,,,,
"60","61","0","true",,,,,,,,,,,,
"61","195","0","true",,,,,,,,,,,,
"62","63","0","true",,,,,,,,,,,,
"63","193","0","true",,,,,,,,,,,,
"64","65","0","true",,,,,,,,,,,,
"65","191","0","true",,,,,,,,,,,,
"66","67","0","true",,,,,,,,,,,,
"67","189","0","true",,,,,,,,,,,,
"68","69","0","true",,,,,,,,,,,,
"69","187","0","true",,,,,,,,,,,,
"70","71","0","true",,,,,,,,,,,,
"71","185","0","true",,,,,,,,,,,,
"72","73","0","true",,,,,,,,,,,,
"73","183","0","true",,,,,,,,,,,,
"74","75","0","true",,,,,,,,,,,,
"75","181","0","true",,,,,,,,,,,,
"76","77","0","true",,,,,,,,,,,,
"77","179","0","true",,,,,,,,,,,,
"78","79","0","true",,,,,,,,,,,,
"79","177","0","true",,,,,,,,,,,,
"80","81","0","true",,,,,,,,,,,,
"81","175","0","true",,,,,,,,,,,,
"82","83","0","true",,,,,,,,,,,,
"83","173","0","true",,,,,,,,,,,,
"84","85","0","true",,,,,,,,,,,,
"85","171","0","true",,,,,,,,,,,,
"86","87","0","true",,,,,,,,,,,,
"87","169","0","true",,,,,,,,,,,,
"88","89","0","true",,,,,,,,,,,,
"89","167","0","true",,,,,,,,,,,,
"90","91","0","true",,,,,,,,,,,,
"91","165","0","true",,,,,,,,,,,,
"92","93","0","true",,,,,,,,,,,,
"93","163","0","true",,,,,,,,,,,,
"94","95","0","true",,,,,,,,,,,,
"95","161","0","true",,,,,,,,,,,,
"96","97","0","true",,,,,,,,,,,,
"97","159","0","true",,,,,,,,,,,,
"98","99","0","true",,,,,,,,,,,,
"99","157","0","true",,,,,,,,,,,,
"100","101","0","true",,,,,,,,,,,,
"101","155","0","true",,,,,,,,,,,,
"102","103","0","true",,,,,,,,,,,,
"103","153","0","true",,,,,,,,,,,,
"104","105","0","true",,,,,,,,,,,,
"105","151","0","true",,,,,,,,,,,,
"106","107","0","true",,,,,,,,,,,,
"107","149","0","true",,,,,,,,,,,,
"108","109","0","true",,,,,,,,,,,,
"109","147","0","true",,,,,,,,,,,,
"110","111","0","true",,,,,,,,,,,,
"111","145","0","true",,,,,,,,,,,,
"112","113","0","true",,,,,,,,,,,,
"113","143","0","true",,,,,,,,,,,,
"114","115","0","true",,,,,,,,,,,,
"115","141","0","true",,,,,,,,,,,,
"116","117","0","true",,,,,,,,,,,,
"117","139","0","true",,,,,,,,,,,,
"118","119","0","true",,,,,,,,,,,,
"119","137","0","true",,,,,,,,,,,,
"120","121","0","true",,,,,,,,,,,,
"121","135","0","true",,,,,,,,,,,,
"122","123","0","true",,,,,,,,,,,,
"123","133","0","true",,,,,,,,,,,,
"124","125","0","true",,,,,,,,,,,,
"125","131","0","true",,,,,,,,,,,,
"126","127","0","true",,,,,,,,,,,,
"127","129","0","true",,,,,,,,,,,,
"128","129","0","true",,,,,,,,,,,,
"129","129","0","true",,,,,,,,,,,,
"130","129","0","true",,,,,,,,,,,,
"131","129","0","true",,,,,,,,,,,,
"132","129","0","true",,,,,,,,,,,,
"133","129","0","true",,,,,,,,,,,,
"134","129","0","true",,,,,,,,,,,,
"135","129","0","true",,,,,,,,,,,,
"136","129","0","true",,,,,,,,,,,,
"137","129","0","true",,,,,,,,,,,,
"138","129","0","true",,,,,,,,,,,,
"139","129","0","true",,,,,,,,,,,,
"140","129","0","true",,,,,,,,,,,,
"141","129","0","true",,,,,,,,,,,,
"142","129","0","true",,,,,,,,,,,,
"143","129","0","true",,,,,,,,,,,,
"144","129","0","true",,,,,,,,,,,,
"145","129","0","true",,,,,,,,,,,,
"146","129","0","true",,,,,,,,,,,,
"147","129","0","true",,,,,,,,,,,,
"148","129","0","true",,,,,,,,,,,,
"149","129","0","true",,,,,,,,,,,,
"150","129","0","true",,,,,,,,,,,,
"151","129","0","true",,,,,,,,,,,,
"152","129","0","true",,,,,,,,,,,,
"153","129","0","true",,,,,,,,,,,,
"154","129","0","true",,,,,,,,,,,,
"155","129","0","true",,,,,,,,,,,,
"156","129","0","true",,,,,,,,,,,,
"157","129","0","true",,,,,,,,,,,,
"158","129","0","true",,,,,,,,,,,,
"159","129","0","true",,,,,,,,,,,,
"160","129","0","true",,,,,,,,,,,,
"161","129","0","true",,,,,,,,,,,,
"162","129","0","true",,,,,,,,,,,,
"163","129","0","true",,,,,,,,,,,,
"164","129","0","true",,,,,,,,,,,,
"165","129","0","true",,,,,,,,,,,,
"166","129","0","true",,,,,,,,,,,,
"167","129","0","true",,,,,,,,,,,,
"168","129","0","true",,,,,,,,,,,,
"169","129","0","true",,,,,,,,,,,,
"170","129","0","true",,,,,,,,,,,,
"171","129","0","true",,,,,,,,,,,,
"172","129","0","true",,,,,,,,,,,,
"173","129","0","true",,,,,,,,,,,,
"174","129","0","true",,,,,,,,,,,,
"175","129","0","true",,,,,,,,,,,,
"176","129","0","true",,,,,,,,,,,,
"177","129","0","true",,,,,,,,,,,,
"178","129","0","true",,,,,,,,,,,,
"179","129","0","true",,,,,,,,,,,,
"180","129","0","true",,,,,,,,,,,,
"181","129","0","true",,,,,,,,,,,,
"182","129","0","true",,,,,,,,,,,,
"183","129","0","true",,,,,,,,,,,,
"184","129","0","true",,,,,,,,,,,,
"185","129","0","true",,,,,,,,,,,,
"186","129","0","true",,,,,,,,,,,,
"187","129","0","true",,,,,,,,,,,,
"188","129","0","true",,,,,,,,,,,,
"189","129","0","true",,,,,,,,,,,,
"190","129","0","true",,,,,,,,,,,,
"191","129","0","true",,,,,,,,,,,,
"192","129","0","true",,,,,,,,,,,,
"193","129","0","true",,,,,,,,,,,,
"194","129","0","true",,,,,,,,,,,,
"195","129","0","true",,,,,,,,,,,,
"196","129","0","true",,,,,,,,,,,,
"197","129","0","true",,,,,,,,,,,,
"198","129","0","true",,,,,,,,,,,,
"199","129","0","true",,,,,,,,,,,,
"200","129","0","true",,,,,,,,,,,,
"201","129","0","true",,,,,,,,,,,,
"202","129","0","true",,,,,,,,,,,,
"203","129","0","true",,,,,,,,,,,,
"204","129","0","true",,,,,,,,,,,,
"205","129","0","true",,,,,,,,,,,,
"206","129","0","true",,,,,,,,,,,,
"207","129","0","true",,,,,,,,,,,,
"208","129","0","true",,,,,,,,,,,,
"209","129","0","true",,,,,,,,,,,,
"210","129","0","true",,,,,,,,,,,,
"211","129","0","true",,,,,,,,,,,,
"212","129","0","true",,,,,,,,,,,,
"213","129","0","true",,,,,,,,,,,,
"214","129","0","true",,,,,,,,,,,,
"215","129","0","true",,,,,,,,,,,,
"216","129","0","true",,,,,,,,,,,,
"217","129","0","true",,,,,,,,,,,,
"218","129","0","true",,,,,,,,,,,,
"219","129","0","true",,,,,,,,,,,,
"220","129","0","true",,,,,,,,,,,,
"221","129","0","true",,,,,,,,,,,,
"222","129","0","true",,,,,,,,,,,,
"223","129","0","true",,,,,,,,,,,,
"224","129","0","true",,,,,,,,,,,,
"225","129","0","true",,,,,,,,,,,,
"226","129","0","true",,,,,,,,,,,,
"227","129","0","true",,,,,,,,,,,,
"228","129","0","true",,,,,,,,,,,,
"229","129","0","true",,,,,,,,,,,,
"230","129","0","true",,,,,,,,,,,,
"231","129","0","true",,,,,,,,,,,,
"232","129","0","true",,,,,,,,,,,,
"233","129","0","true",,,,,,,,,,,,
"234","129","0","true",,,,,,,,,,,,
"235","129","0","true",,,,,,,,,,,,
"236","129","0","true",,,,,,,,,,,,
"237","129","0","true",,,,,,,,,,,,
"238","129","0","true",,,,,,,,,,,,
"239","129","0","true",,,,,,,,,,,,
"240","129","0","true",,,,,,,,,,,,
"241","129","0","true",,,,,,,,,,,,
"242","129","0","true",,,,,,,,,,,,
"243","129","0","true",,,,,,,,,,,,
"244","129","0","true",,,,,,,,,,,,
"245","129","0","true",,,,,,,,,,,,
"246","129","0","true",,,,,,,,,,,,
"247","129","0","true",,,,,,,,,,,,
"248","129","0","true",,,,,,,,,,,,
"249","129","0","true",,,,,,,,,,,,
"250","129","0","true",,,,,,,,,,,,
"251","129","0","true",,,,,,,,,,,,
"252","129","0","true",,,,,,,,,,,,
"253","129","0","true",,,,,,,,,,,,
"254","129","0","true",,,,,,,,,,,,
"255","129","0","true",,,,,,,,,,,,
"256","129","0","true",,,,,,,,,,,,
"257","129","0","true",,,,,,,,,,,,
"258","129","0","true",,,,,,,,,,,,
"259","129","0","true",,,,,,,,,,,,
"260","129","0","true",,,,,,,,,,,,
"261","129","0","true",,,,,,,,,,,,
"262","129","0","true",,,,,,,,,,,,
"263","129","0","true",,,,,,,,,,,,
"264","129","0","true",,,,,,,,,,,,
"265","129","0","true",,,,,,,,,,,,
"266","129","0","true",,,,,,,,,,,,
"267","129","0","true",,,,,,,,,,,,
"268","129","0","true",,,,,,,,,,,,
"269","129","0","true",,,,,,,,,,,,
"270","129","0","true",,,,,,,,,,,,
"271","129","0","true",,,,,,,,,,,,
"272","129","0","true",,,,,,,,,,,,
"273","129","0","true",,,,,,,,,,,,
"274","129","0","true",,,,,,,,,,,,
"275","129","0","true",,,,,,,,,,,,
"276","129","0","true",,,,,,,,,,,,
"277","129","0","true",,,,,,,,,,,,
"278","129","0","true",,,,,,,,,,,,
"279","129","0","true",,,,,,,,,,,,
"280","129","0","true",,,,,,,,,,,,
"281","129","0","true",,,,,,,,,,,,
"282","129","0","true",,,,,,,,,,,,
